experiment	harvest_year	treatment	start_date	end_date	type	operations
W/RN/3	1968	potatoes arable rotation	30-Jul-68		diary record	sprayed with mancozeb at l.2 lb in 38 gals
W/RN/3	1968	potatoes arable rotation	06-Aug-68		diary record	sprayed with mancozeb at l.2 lb in 38 gals
W/RN/3	1968	potatoes arable rotation	04-Sep-68		diary record	sprayed with undiluted BOV at 15 gals
W/RN/3	1968	potatoes arable rotation	02-Oct-68		diary record	lifted
W/RN/3	1968	rye arable rotation	18-Sep-67		diary record	ploughed
W/RN/3	1968	rye arable rotation	13-Oct-67		diary record	seed combine drilled at 150 lb
W/RN/3	1968	rye arable rotation	29-Mar-68		diary record	seed undersown (AH plots)
W/RN/3	1968	rye arable rotation	08-Apr-68		diary record	'Nitro-chalk' applied
W/RN/3	1968	rye arable rotation	23-Aug-68		diary record	combine harvested
W/RN/3	1968	seeds hay arable rotation	24-Apr-67		diary record	seed undersown in rye at 30 lb
W/RN/3	1968	seeds hay arable rotation	26-Mar-68		diary record	NPK applied
W/RN/3	1968	seeds hay arable rotation	18-Jun-68		diary record	NK applied
W/RN/3	1968	seeds hay arable rotation	06-Jun-68		diary record	cut twice
W/RN/3	1968	seeds hay arable rotation	12-Aug-68		diary record	cut twice
W/RN/3	1968	carrots arable rotation	12-Oct-67		diary record	ploughed
W/RN/3	1968	carrots arable rotation	05-Apr-68		diary record	NPK applied
W/RN/3	1968	carrots arable rotation	11-Apr-68		diary record	seed drilled at 3.5 1b
W/RN/3	1968	carrots arable rotation	28-May-68		diary record	sprayed with linuron at 0.5 lb in 50 gals
W/RN/3	1968	carrots arable rotation	30-May-68		diary record	sprayed with DDT at 0.5 pints in 20 gals
W/RN/3	1968	carrots arable rotation	18-Jun-68		diary record	sprayed with menazon at 0.25 lb in 50 gals
W/RN/3	1968	carrots arable rotation	12-Nov-68	13-Nov-68	diary record	lifted
W/RN/3	1968	barley	25-Oct-67		diary record	first test crop: Half corrective K applied
W/RN/3	1968	barley	13-Nov-67		diary record	ploughed
W/RN/3	1968	barley	13-Feb-68		diary record	remaining corrective K applied
W/RN/3	1968	barley	06-Mar-68		diary record	seed combine drilled at 140 lb
W/RN/3	1968	barley	14-Mar-68		diary record	test 'Nitro-chalk' applied
W/RN/3	1968	barley	26-Apr-68		diary record	sprayed with Ioxynil/mecoprop (Actril C at 5 pints in 25 gals
W/RN/3	1968	barley second test crop	17-Nov-67		diary record	"Magnesian limestone applied at 45 cwt, ploughed"
W/RN/3	1968	barley second test crop	09-Mar-68		diary record	seed combine drilled at 140 lb
W/RN/3	1968	barley second test crop	11-Mar-68		diary record	'Nitro-chalk' applied
W/RN/3	1968	barley second test crop	26-Apr-68		diary record	sprayed with Ioxynil/mecoprop (Actril C at 5 pints in 25 gals
W/RN/3	1968	barley second test crop	20-Aug-68		diary record	combine harvested
W/RN/3	1969	ley first year	15-Oct-68		diary record	ploughed
W/RN/3	1969	ley first year	25-Mar-69		diary record	Mg applied
W/RN/3	1969	ley first year	14-Apr-69		diary record	NPK applied
W/RN/3	1969	ley first year	16-Apr-69		diary record	seed sown at 40 lb
W/RN/3	1969	ley first year	01-Aug-69		diary record	NK applied
W/RN/3	1969	ley first year	01-Aug-69		diary record	cut twice
W/RN/3	1969	ley first year	04-Sep-69		diary record	cut twice
W/RN/3	1969	ley second year	09-Apr-69		diary record	NK applied
W/RN/3	1969	ley second year	17-Jul-69		diary record	NK applied
W/RN/3	1969	ley second year	09-Jun-69		diary record	cut twice
W/RN/3	1969	ley second year	04-Sep-69		diary record	cut twice
W/RN/3	1969	ley third year	09-Apr-69		diary record	NK applied
W/RN/3	1969	ley third year	17-Jul-69		diary record	NK applied
W/RN/3	1969	ley third year	01-Aug-69		diary record	NK applied
W/RN/3	1969	ley third year	08-May-69	09-Sep-69	diary record	grazed 7 circuits
W/RN/3	1969	sainfoin first year	15-Oct-68		diary record	ploughed
W/RN/3	1969	sainfoin first year	25-Mar-69		diary record	Mg applied
W/RN/3	1969	sainfoin first year	16-Apr-69		diary record	seed drilled at 40 lb
W/RN/3	1969	sainfoin first year	01-Aug-69		diary record	cut one
W/RN/3	1969	sainfoin second year	10-Jan-69		diary record	sprayed with paraquat at 0.5 lb ion in 16 gals
W/RN/3	1969	sainfoin second year	09-Apr-69		diary record	N and K applied
W/RN/3	1969	sainfoin second year	06-Jun-69		diary record	cut one
W/RN/3	1969	sainfoin second year	09-Jun-69		diary record	sprayed with paraquat at 0.75 lb ion in 25 gals to kill
W/RN/3	1969	sainfoin second year	17-Jun-69		diary record	rotary cultivated
W/RN/3	1969	sainfoin second year	27-Jun-69		diary record	seed drilled at 40 lb
W/RN/3	1969	sainfoin third year	10-Jan-69		diary record	sprayed with paraquat at 0.5 lb ion in 16 gals
W/RN/3	1969	sainfoin third year	09-Apr-69		diary record	N and K applied
W/RN/3	1969	sainfoin third year	06-Jun-69		diary record	cut
W/RN/3	1969	sainfoin third year	12-Jun-69		diary record	sprayed with paraquat at 0.5 lb ion in 25 gals
W/RN/3	1969	sainfoin third year	04-Sep-69		diary record	cut
W/RN/3	1969	potatoes arable rotation	15-Oct-68		diary record	ploughed
W/RN/3	1969	potatoes arable rotation	16-Oct-68		diary record	rotary cultivated
W/RN/3	1969	potatoes arable rotation	23-Oct-68		diary record	dichloropicolinic applied
W/RN/3	1969	potatoes arable rotation	25-Mar-69		diary record	Mg applied
W/RN/3	1969	potatoes arable rotation	14-Apr-69		diary record	N and PK applied
W/RN/3	1969	potatoes arable rotation	17-Apr-69		diary record	"Temik applied, potatoes planted"
W/RN/3	1969	potatoes arable rotation	15-May-69		diary record	sprayed with paraquat at 0.37 lb ion plus linuron at 0.5 1b im 25 gals
W/RN/3	1969	potatoes arable rotation	18-Jul-69		diary record	sprayed with mancozeb at 1.2 lb plus demeton-s-methyl at 3.5 oz in 37 gals
W/RN/3	1969	potatoes arable rotation	07-Aug-69		diary record	sprayed with mancozeb at l.2 lb in 37 gals (twice)
W/RN/3	1969	potatoes arable rotation	27-Aug-69		diary record	sprayed with mancozeb at l.2 lb in 37 gals (twice)
W/RN/3	1969	potatoes arable rotation	24-Sep-69		diary record	sprayed with undiluted BOV at 16 gals
W/RN/3	1969	potatoes arable rotation	07-Oct-69		diary record	lifted
W/RN/3	1969	rye arable rotation	14-Oct-68		diary record	spring-tine cultivated twice
W/RN/3	1969	rye arable rotation	16-Oct-68		diary record	spring-tine cultivated twice
W/RN/3	1969	rye arable rotation	17-Oct-68		diary record	seed combine drilled at 175 lb
W/RN/3	1969	rye arable rotation	15-Apr-69		diary record	'Nitro-chalk' applied
W/RN/3	1969	rye arable rotation	16-Apr-69		diary record	seed hay undersown at 30 1b (AH plots
W/RN/3	1969	rye arable rotation	25-Aug-69		diary record	combine harvested
W/RN/3	1969	seeds hay arable rotation	29-Mar-68		diary record	seed undersown in rye at 30 lb
W/RN/3	1969	seeds hay arable rotation	14-Mar-69		diary record	and PK applied
W/RN/3	1969	seeds hay arable rotation	17-Jun-69		diary record	NK applied
W/RN/3	1969	seeds hay arable rotation	09-Jun-69		diary record	cut twicez
W/RN/3	1969	seeds hay arable rotation	04-Sep-69		diary record	cut twicez
W/RN/3	1969	carrots arable rotation	25-Nov-68		diary record	ploughed
W/RN/3	1969	carrots arable rotation	15-Apr-69		diary record	NPK applied
W/RN/3	1969	carrots arable rotation	16-Apr-69		diary record	seed drilled at 3 lb
W/RN/3	1969	carrots arable rotation	02-Jun-69		diary record	sprayed with linuron at 0.5 1b in 50 gals
W/RN/3	1969	carrots arable rotation	26-Jun-69		diary record	sprayed with demeton-s-methyl at 3.5 oz in 30 gals
W/RN/3	1969	carrots arable rotation	19-Sep-69		diary record	lifted
W/RN/3	1969	barley first test crop	02-Dec-68		diary record	first test crop: Half corrective K applied
W/RN/3	1969	barley first test crop	07-Dec-68		diary record	ploughed
W/RN/3	1969	barley first test crop	06-Mar-69		diary record	remaining corrective K applied
W/RN/3	1969	barley first test crop	24-Mar-69		diary record	seed combine drilled at 140 lb
W/RN/3	1969	barley first test crop	03-Apr-69		diary record	'Nitro-chalk' applied
W/RN/3	1969	barley first test crop	22-May-69		diary record	"sprayed with ioxynil octanoate, bromoxynil octanoate, and iso-octyl eastern of dichlorprop ('Oxytril P' at 1 pt. in 25 gals"
W/RN/3	1969	barley first test crop	14-Aug-69		diary record	combine harvested
W/RN/3	1969	barley second test crop	04-Nov-68		diary record	Magnesian limestone applied at 40 cwt
W/RN/3	1969	barley second test crop	18-Nov-68		diary record	ploughed
W/RN/3	1969	barley second test crop	24-Mar-69		diary record	seed combine drilled at 140 lb
W/RN/3	1969	barley second test crop	22-May-69		diary record	"sprayed with ioxynil octanoate, bromoxynil octanoate, and iso-octyl eastern of dichlorprop ('Oxytril P' at 1 pt in 25 gals"
W/RN/3	1969	barley second test crop	14-Aug-69		diary record	combine harvested
W/RN/3	1970	ley first year	27-Aug-69		diary record	ploughed
W/RN/3	1970	ley first year	16-Apr-70		diary record	Mg applied
W/RN/3	1970	ley first year	22-Apr-70		diary record	NPK applied
W/RN/3	1970	ley first year	24-Apr-70		diary record	seed sown at 40 lb
W/RN/3	1970	ley first year	18-Jun-70		diary record	WK applied
W/RN/3	1970	ley first year	05-Aug-70		diary record	WK applied
W/RN/3	1970	ley first year	03-Aug-70		diary record	cut twice
W/RN/3	1970	ley first year	29-Sep-70		diary record	cut twice
W/RN/3	1970	ley second year	16-Mar-70		diary record	NK applied
W/RN/3	1970	ley second year	16-Jun-70		diary record	NK applied
W/RN/3	1970	ley second year	05-Aug-70		diary record	NK applied
W/RN/3	1970	ley second year	10-Jun-70		diary record	cut three times
W/RN/3	1970	ley second year	03-Aug-70		diary record	cut three times
W/RN/3	1970	ley second year	29-Sep-70		diary record	cut three times
W/RN/3	1970	ley third year	16-Mar-70		diary record	NK applied
W/RN/3	1970	ley third year	16-Jun-70		diary record	NK applied
W/RN/3	1970	ley third year	05-Aug-70		diary record	NK applied
W/RN/3	1970	ley third year	10-Jun-70		diary record	cut three times
W/RN/3	1970	ley third year	03-Aug-70		diary record	cut three times
W/RN/3	1970	ley third year	28-Sep-70		diary record	cut three times
W/RN/3	1970	sainfoin first year	27-Aug-69		diary record	ploughed
W/RN/3	1970	sainfoin first year	16-Apr-70		diary record	Mg applied
W/RN/3	1970	sainfoin first year	22-Apr-70		diary record	NPK applied
W/RN/3	1970	sainfoin first year	24-Apr-70		diary record	seed drilled at 40 lb
W/RN/3	1970	sainfoin first year	03-Aug-70		diary record	cut twice
W/RN/3	1970	sainfoin first year	29-Sep-70		diary record	cut twice
W/RN/3	1970	sainfoin second year	26-Mar-70		diary record	N and K applied
W/RN/3	1970	sainfoin second year	19-Jun-70		diary record	sprayed between rows with paraquat at 0.6 lb ion in 24 gals
W/RN/3	1970	sainfoin second year	02-Jun-70		diary record	cut three times
W/RN/3	1970	sainfoin second year	03-Aug-70		diary record	cut three times
W/RN/3	1970	sainfoin second year	29-Sep-70		diary record	cut three times
W/RN/3	1970	sainfoin third year	16-Mar-70		diary record	N and K applied
W/RN/3	1970	sainfoin third year	24-Mar-70		diary record	sprayed with paraquat at 0.3 1b ion in 25 gals
W/RN/3	1970	sainfoin third year	22-Apr-70		diary record	rotary cultivated
W/RN/3	1970	sainfoin third year	23-Apr-70		diary record	power harrowed
W/RN/3	1970	sainfoin third year	24-Apr-70		diary record	re-drilled at 40 lb
W/RN/3	1970	sainfoin third year	28-May-70		diary record	sprayed between rows with paraquat at 0.6 1b ion in 24 gals
W/RN/3	1970	sainfoin third year	03-Aug-70		diary record	cut twice
W/RN/3	1970	sainfoin third year	28-Sep-70		diary record	cut twice
W/RN/3	1970	potatoes arable rotation	16-Oct-70		diary record	"ploughed: 27 and, 1969, rotary cultivated"
W/RN/3	1970	potatoes arable rotation	26-Nov-70		diary record	dichloropicolinic applied
W/RN/3	1970	potatoes arable rotation	16-Apr-70		diary record	PK and Mg applied
W/RN/3	1970	potatoes arable rotation	20-Apr-70		diary record	"'Temik' applied, rotary cultivated"
W/RN/3	1970	potatoes arable rotation	21-Apr-70		diary record	N applied
W/RN/3	1970	potatoes arable rotation	22-Apr-70		diary record	potatoes planted
W/RN/3	1970	potatoes arable rotation	13-May-70		diary record	sprayed with linuron at l.0 lb plus paraquat at 0.37 lb ion in 33 gis
W/RN/3	1970	potatoes arable rotation	03-Jun-70		diary record	grubbed
W/RN/3	1970	potatoes arable rotation	05-Jun-70		diary record	rotary ridged
W/RN/3	1970	potatoes arable rotation	31-Jul-70		diary record	sprayed with mancozeb at l.2 1b plus demeton-s-methyl at 3.5 fl oz in 37 gals
W/RN/3	1970	potatoes arable rotation	18-Aug-70		diary record	sprayed with mancozeb at l.2 1b in 37 gals
W/RN/3	1970	potatoes arable rotation	18-Sep-70		diary record	sprayed with undiluted BOV at 15 gals
W/RN/3	1970	potatoes arable rotation	23-Sep-70		diary record	Haulm destroyed mechanically
W/RN/3	1970	potatoes arable rotation	25-Sep-70		diary record	lifted
W/RN/3	1970	rye arable rotation	08-Oct-69	09-Oct-69	diary record	Deep-tine cultivated twice
W/RN/3	1970	rye arable rotation	20-Oct-69		diary record	seed combine drilled at 170 lb
W/RN/3	1970	rye arable rotation	23-Apr-70		diary record	N applied
W/RN/3	1970	rye arable rotation	2b-Apr-1970		diary record	seed barley undersown at 30 lb (AS plots
W/RN/3	1970	rye arable rotation	15-Aug-70		diary record	combine harvested
W/RN/3	1970	seeds hay arable rotation	16-Apr-69		diary record	seed undersown in rye at 30 lb
W/RN/3	1970	seeds hay arable rotation	16-Mar-70		diary record	NPK applied
W/RN/3	1970	seeds hay arable rotation	16-Jun-70		diary record	NK applied
W/RN/3	1970	seeds hay arable rotation	02-Jun-70		diary record	cut three times
W/RN/3	1970	seeds hay arable rotation	03-Aug-70		diary record	cut three times
W/RN/3	1970	seeds hay arable rotation	28-Sep-70		diary record	cut three times
W/RN/3	1970	carrots arable rotation	12-Sep-69		diary record	ploughed
W/RN/3	1970	carrots arable rotation	23-Apr-70		diary record	"NPK applied, power harrowed"
W/RN/3	1970	carrots arable rotation	24-Apr-70		diary record	seed drilled at 3 lb
W/RN/3	1970	carrots arable rotation	20-My-1970	2l-My-1970	diary record	hand hoed
W/RN/3	1970	carrots arable rotation	07-Sep-70	08-Sep-70	diary record	lifted
W/RN/3	1970	barley	31-Oct-69		diary record	first test crop: Half corrective K applied
W/RN/3	1970	barley	14-Nov-69	18-Nov-69	diary record	ploughed
W/RN/3	1970	barley	20-Mar-70		diary record	remaining corrective K applied
W/RN/3	1970	barley	25-Mar-70		diary record	"power harrowed, seed combine drilled at 140 lv"
W/RN/3	1970	barley	02-Apr-70		diary record	N applied
W/RN/3	1970	barley	18-May-70		diary record	sprayed with ioxynil at 7.5 oz plus mecoprop at 22.5 oz in 25 gals
W/RN/3	1970	barley	12-Aug-70		diary record	combine harvested
W/RN/3	1970	barley second test crop	02-Oct-69		diary record	Chalk applied at 40 cwt
W/RN/3	1970	barley second test crop	03-Oct-69		diary record	ploughed
W/RN/3	1970	barley second test crop	25-Mar-70		diary record	"power harrowed, seed combine drilled at 140 lb"
W/RN/3	1970	barley second test crop	18-May-70		diary record	"sprayed with ioxynil at 7.5 oz plus mecoprop at 22,5 oz in 25 gals"
W/RN/3	1970	barley second test crop	12-Aug-70		diary record	combine harvested
W/RN/3	1971	ley first year	04-Sep-70		diary record	ploughed
W/RN/3	1971	ley first year	31-Mar-71		diary record	NPK applied
W/RN/3	1971	ley first year	22-Apr-71		diary record	"power harrowed, seed sown at 45 kg"
W/RN/3	1971	ley first year	11-Aug-71		diary record	NK applied
W/RN/3	1971	ley first year	02-Aug-71		diary record	cut twice
W/RN/3	1971	ley first year	08-Sep-71		diary record	cut twice
W/RN/3	1971	ley second year	10-Mar-71		diary record	NK applied
W/RN/3	1971	ley second year	15-Jun-71		diary record	NK applied
W/RN/3	1971	ley second year	10-Aug-71		diary record	NK applied
W/RN/3	1971	ley second year	01-Jun-71		diary record	cut three times
W/RN/3	1971	ley second year	02-Aug-71		diary record	cut three times
W/RN/3	1971	ley second year	08-Sep-71		diary record	cut three times
W/RN/3	1971	ley third year	10-Mar-71		diary record	NK applied
W/RN/3	1971	ley third year	15-Jun-71		diary record	NK applied
W/RN/3	1971	ley third year	10-Aug-71		diary record	NK applied
W/RN/3	1971	ley third year	01-Jun-71		diary record	cut three times
W/RN/3	1971	ley third year	02-Aug-71		diary record	cut three times
W/RN/3	1971	ley third year	08-Sep-71		diary record	cut three times
W/RN/3	1971	sainfoin first year	04-Sep-70		diary record	ploughed
W/RN/3	1971	sainfoin first year	31-Mar-71		diary record	NPK applied
W/RN/3	1971	sainfoin first year	22-Apr-71		diary record	"power harrowed, seed drilled at 45 kg"
W/RN/3	1971	sainfoin first year	12-May-71		diary record	"seed re-drilled, because of bird damage, at 34 kg"
W/RN/3	1971	sainfoin first year	24-Jun-71		diary record	Deep-tine cultivated because of second failure
W/RN/3	1971	sainfoin first year	23-Jul-71		diary record	Red clover sown at 45 kg
W/RN/3	1971	sainfoin first year			variety	"Sainfoin: compound, Red clover: S123."
W/RN/3	1971	sainfoin second year	05-Feb-71		diary record	sprayed with paraquat at 0.6 kg ion in 281 l
W/RN/3	1971	sainfoin second year	10-Mar-71		diary record	NK applied
W/RN/3	1971	sainfoin second year	01-Jun-71		diary record	cut one
W/RN/3	1971	sainfoin second year	22-Jul-71		diary record	Deep-tine cultivated because of crop failure
W/RN/3	1971	sainfoin second year	23-Jul-71		diary record	Red clover sown at 45 kg
W/RN/3	1971	sainfoin second year			variety	Red clover S123.
W/RN/3	1971	sainfoin third year	05-Feb-71		diary record	sprayed with paraquat at 0.6 kg ion in 261 l
W/RN/3	1971	sainfoin third year	10-Mar-71		diary record	NK applied
W/RN/3	1971	sainfoin third year	04-Jun-71		diary record	sprayed with paraquat at 1.1 kg ion in 281 l
W/RN/3	1971	sainfoin third year	30-Jun-71		diary record	rotary cultivated after crop failure
W/RN/3	1971	sainfoin third year	09-Aug-71		diary record	Deep-tine cultivated
W/RN/3	1971	potatoes arable rotation	04-Sep-70		diary record	ploughed
W/RN/3	1971	potatoes arable rotation	26-Mar-71		diary record	"NPK applied (13:13:20) 252 kg N, 252 kg P2O5, 376 kg K20"
W/RN/3	1971	potatoes arable rotation	29-Mar-71		diary record	rotary cultivated
W/RN/3	1971	potatoes arable rotation	30-Mar-71		diary record	potatoes planted
W/RN/3	1971	potatoes arable rotation	05-May-71		diary record	sprayed with linuron at l.12 kg in 371 l
W/RN/3	1971	potatoes arable rotation	01-Jun-71		diary record	rotary ridged
W/RN/3	1971	potatoes arable rotation	28-Jun-71		diary record	sprayed with mancozeb at l.34 kg plus demeton-s-methyl at 265 g in 416 l
W/RN/3	1971	potatoes arable rotation	23-Aug-71		diary record	Haulm destroyed mechanically
W/RN/3	1971	potatoes arable rotation	24-Aug-71		diary record	lifted
W/RN/3	1971	potatoes arable rotation			variety	"Maris Piper,"
W/RN/3	1971	rye arable rotation	29-Sep-70		diary record	Deep-tine cultivated twice
W/RN/3	1971	rye arable rotation	14-Oct-70		diary record	seed combine drilled at 190 kg
W/RN/3	1971	rye arable rotation	13-Apr-71		diary record	N applied
W/RN/3	1971	hay	22-Apr-71		diary record	undersown at 45 kg (AH plots)
W/RN/3	1971	hay	31-Aug-71		diary record	combine harvested
W/RN/3	1971	hay			variety	King II.
W/RN/3	1971	seeds hay arable rotation	24-Apr-70		diary record	seed undersown in rye at 34 kg
W/RN/3	1971	seeds hay arable rotation	10-Mar-71		diary record	NPK applied
W/RN/3	1971	seeds hay arable rotation	16-Aug-71		diary record	NK applied
W/RN/3	1971	seeds hay arable rotation	01-Jun-71		diary record	cut three times
W/RN/3	1971	seeds hay arable rotation	02-Aug-71		diary record	cut three times
W/RN/3	1971	seeds hay arable rotation	08-Sep-71		diary record	cut three times
W/RN/3	1971	carrots arable rotation	04-Sep-70		diary record	ploughed twice
W/RN/3	1971	carrots arable rotation	26-Sep-70		diary record	ploughed twice
W/RN/3	1971	carrots arable rotation	01-Apr-71		diary record	NPK applied
W/RN/3	1971	carrots arable rotation	15-Apr-71		diary record	power harrowed
W/RN/3	1971	carrots arable rotation	16-Apr-71		diary record	seed drilled at 4.5 kg
W/RN/3	1971	carrots arable rotation	19-Jul-71		diary record	sprayed with demeton-s-methyl at 245 g in 281 l
W/RN/3	1971	carrots arable rotation	04-Jun-71	05-Jun-71	diary record	mechanically hoed
W/RN/3	1971	carrots arable rotation	07-Jun-71		diary record	hand hoed twice
W/RN/3	1971	carrots arable rotation	02-Jul-71		diary record	hand hoed twice
W/RN/3	1971	carrots arable rotation			variety	"autumn King,"
W/RN/3	1971	potatoes first test crop	23-Sep-70		diary record	Half corrective K applied to all plots except 35 and 36 after carrots
W/RN/3	1971	potatoes first test crop	36-Oct-1970		diary record	Half corrective K applied to plots 35 and
W/RN/3	1971	potatoes first test crop	27-Oct-70		diary record	Half corrective K applied to plots 35 and
W/RN/3	1971	potatoes first test crop	03-Nov-70		diary record	ploughed
W/RN/3	1971	potatoes first test crop	18-Dec-70		diary record	dichloropicolinic applied
W/RN/3	1971	potatoes first test crop	05-Mar-71		diary record	remaining corrective K applied to all plots
W/RN/3	1971	potatoes first test crop	26-Mar-71		diary record	"NPK applied (13:13:20) 252 kg N, 252 kg P2O5, 376 kg K20"
W/RN/3	1971	potatoes first test crop	29-Mar-71		diary record	"Aldicarb applied, rotary cultivated"
W/RN/3	1971	potatoes first test crop	30-Mar-71		diary record	potatoes planted
W/RN/3	1971	potatoes first test crop	05-May-71		diary record	sprayed with linuron at l.12 kg in 371 l
W/RN/3	1971	potatoes first test crop	01-Jun-71		diary record	rotary ridged
W/RN/3	1971	potatoes first test crop	28-Jun-71		diary record	sprayed with mancozeb at l.34 kg plus demeton-s-methyl at 245 g in 416 l
W/RN/3	1971	potatoes first test crop	12-Aug-71		diary record	sprayed with mancozeb at l.34 kg in 371 l
W/RN/3	1971	potatoes first test crop	17-Sep-71		diary record	Haulm destroyed mechanically
W/RN/3	1971	potatoes first test crop	20-Sep-71		diary record	sprayed with undiluted BOV at 225 l
W/RN/3	1971	potatoes first test crop	28-Sep-71	30-Sep-71	diary record	lifted
W/RN/3	1971	barley second test crop	08-Oct-70		diary record	Magnesian limestone applied at 5020 kg
W/RN/3	1971	barley second test crop	26-Oct-70		diary record	ploughed
W/RN/3	1971	barley second test crop	10-Mar-71		diary record	seed combine drilled at 168 kg
W/RN/3	1971	barley second test crop	30-Apr-71		diary record	sprayed with ioxynil at 0.53 kg and mecoprop at l.58 kg in l
W/RN/3	1971	barley second test crop	18-Aug-71		diary record	combine harvested
W/RN/3	1971	barley second test crop			variety	"Julia,"
W/RN/3	1972	ley first year	09-Sep-71		diary record	paraquat applied at 0.56 kg ion in 280 l
W/RN/3	1972	ley first year	14-Oct-71		diary record	ploughed
W/RN/3	1972	ley first year	04-Nov-71		diary record	Deep-tine cultivated
W/RN/3	1972	ley first year	29-Feb-72		diary record	ploughed
W/RN/3	1972	ley first year	19-Apr-72		diary record	"N, P and K applied"
W/RN/3	1972	ley first year	21-Apr-72		diary record	rotary cultivated
W/RN/3	1972	ley first year	26-Apr-72		diary record	"rolled, seed sown"
W/RN/3	1972	ley first year	03-Jul-72		diary record	NK applied
W/RN/3	1972	ley first year	16-Aug-72		diary record	cut one
W/RN/3	1972	ley first year	18-Aug-72		diary record	NK applied
W/RN/3	1972	ley second and third years	09-Mar-72		diary record	NK applied
W/RN/3	1972	ley second and third years	16-Jun-72		diary record	NK applied
W/RN/3	1972	ley second and third years	18-Aug-72		diary record	NK applied
W/RN/3	1972	ley second and third years	07-Jun-72		diary record	cut twice
W/RN/3	1972	ley second and third years	16-Aug-72		diary record	cut twice
W/RN/3	1972	clover first year	09-Sep-71		diary record	paraquat applied at 0.56 kg ion in 280 l
W/RN/3	1972	clover first year	14-Oct-71		diary record	ploughed
W/RN/3	1972	clover first year	04-Nov-71		diary record	Deep-tine cultivated
W/RN/3	1972	clover first year	29-Feb-72		diary record	ploughed
W/RN/3	1972	clover first year	19-Apr-72		diary record	"N, P and K applied, 63 kg N as 'Nitro-chalk', 189 kg P2O5 as superphosphate, 126 kg K2O as muriate of potash"
W/RN/3	1972	clover first year	21-Apr-72		diary record	rotary cultivated
W/RN/3	1972	clover first year	26-Apr-72		diary record	"rolled, seed sown"
W/RN/3	1972	clover first year	16-Aug-72		diary record	cut one
W/RN/3	1972	clover second and third years	09-Mar-72		diary record	"N and K applied, 63 kg N as 'Nitro-chalk', 189 kg K2O as muriate of potash"
W/RN/3	1972	clover second and third years	07-Jun-72		diary record	cut twice
W/RN/3	1972	clover second and third years	16-Aug-72		diary record	cut twice
