Experiment,year,new_start_date,new_end_date,operation,operation_type,plot,amount,rate,water amount,water unit,method
R/CS/10,1968,03/05/1968,,Linuron,chemical pest management process,,0.75,lb/acre,36,gallons/acre,
R/CS/10,1968,04/07/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,37,gallons/acre,
R/CS/10,1968,19/07/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,37,gallons/acre,
R/CS/10,1968,05/08/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,37,gallons/acre,
R/CS/10,1968,19/07/1968,,demeton-s-methyl,chemical pest management process,,3.5,oz/acre,,,
R/CS/10,1968,30/08/1968,,undiluted BOV,chemical pest management process,,15,gallons/acre,,,sprayed
W/CS/10,1968,03/05/1968,,paraquat,chemical pest management process,,0.38,lb/acre,50,gallons/acre,
W/CS/10,1968,03/05/1968,,Linuron,chemical pest management process,,0.5,lb/acre,50,gallons/acre,
W/CS/10,1968,12/07/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,38,gallons/acre,
W/CS/10,1968,18/07/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,38,gallons/acre,
W/CS/10,1968,30/07/1968,,mancozeb,chemical pest management process,,1.2,lb/acre,38,gallons/acre,
W/CS/10,1968,12/07/1968,,demeton-s-methyl,chemical pest management process,,3.5,oz/acre,,,
W/CS/10,1968,04/09/1968,,undiluted BOV,chemical pest management process,,15,gallons/acre,,,sprayed
R/CS/10,1970,18/05/1970,,"2,4-D",chemical pest management process,,0.5,lb/acre,20,gallons/acre,
R/CS/10,1970,18/05/1970,,dichlorprop,chemical pest management process,,2,lb/acre,20,gallons/acre,
W/CS/10,1970,18/05/1970,,ioxynil,chemical pest management process,,7.5,oz/acre,25,gallons/acre,
W/CS/10,1970,18/05/1970,,mecoprop,chemical pest management process,,22.5,oz/acre,25,gallons/acre,
R/CS/10,1971,22/09/1970,,paraquat,chemical pest management process,,0.84,kg/ha,225,l/ha,
R/CS/10,1971,04/05/1971,,"ioxynil octanoate, bromoxynil octanoate and the iso-octyl ester of dichlorprop as 'Oxytril P'",chemical pest management process,,1.4,l/ha,225,l/ha,
W/CS/10,1971,16/09/1970,,paraquat,chemical pest management process,CA0 PO K1,0.56,kg/ha,281,l/ha,
W/CS/10,1971,16/09/1970,,paraquat,chemical pest management process,CA0 PO K1,1.12,kg/ha,281,l/ha,
W/CS/10,1971,17/05/1971,,ioxynil,chemical pest management process,,0.525,kg/ha,281,l/ha,
W/CS/10,1971,17/05/1971,,mecoprop,chemical pest management process,,1.58,kg/ha,281,l/ha,
R/CS/10,1972,09/09/1971,,paraquat,chemical pest management process,,0.56,kg/ha,220,l/ha,
R/CS/10,1972,17/05/1972,,"ioxynil, bromoxynil, 2,4-DP and MCPA as 'Tetroxone'",chemical pest management process,,5.6,l/ha,220,l/ha,
W/CS/10,1972,09/09/1971,,paraquat,chemical pest management process,,0.56,kg/ha,280,l/ha,
R/CS/10,1973,15/05/1973,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,5.6,l/ha,220,l/ha,
W/CS/10,1973,11/05/1973,,ioxynil,chemical pest management process,,0.53,kg/ha,280,l/ha,
W/CS/10,1973,11/05/1973,,mecoprop,chemical pest management process,,1.6,kg/ha,280,l/ha,
R/CS/10,1974,17/05/1974,,Linuron,chemical pest management process,,1.2,kg/ha,450,l/ha,
R/CS/10,1974,17/05/1974,,paraquat,chemical pest management process,,0.42,kg/ha,450,l/ha,
R/CS/10,1974,11/07/1974,,mancozeb,chemical pest management process,,1.3,kg/ha,450,l/ha,
R/CS/10,1974,11/07/1974,,demeton-s-methyl,chemical pest management process,,0.25,kg/ha,450,l/ha,
R/CS/10,1974,02/08/1974,,mancozeb,chemical pest management process,,1.3,kg/ha,450,l/ha,
R/CS/10,1974,19/09/1974,,undiluted BOV,chemical pest management process,,225,l/ha,,,sprayed
W/CS/10,1974,13/09/1973,,Aminotriazole,chemical pest management process,,4.5,kg/ha,370,l/ha,
W/CS/10,1974,13/09/1973,,ammonium thiocyanate,chemical pest management process,,4.1,kg/ha,370,l/ha,
W/CS/10,1974,15/05/1974,,Linuron,chemical pest management process,,1.2,kg/ha,280,l/ha,
W/CS/10,1974,15/05/1974,,paraquat,chemical pest management process,,0.28,kg/ha,280,l/ha,
W/CS/10,1974,19/07/1974,,mancozeb,chemical pest management process,,1.3,kg/ha,450,l/ha,
W/CS/10,1974,19/07/1974,,demeton-s-methyl,chemical pest management process,,0.25,kg/ha,450,l/ha,
W/CS/10,1974,07/08/1974,,mancozeb,chemical pest management process,,1.3,kg/ha,450,l/ha,
W/CS/10,1974,30/09/1973,,undiluted BOV,chemical pest management process,,170,l/ha,,,sprayed
R/CS/10,1975,19/05/1975,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,5.6,l/ha,220,l/ha,
W/CS/10,1975,22/05/1975,,ioxynil,chemical pest management process,,0.52,kg/ha,280,l/ha,
W/CS/10,1975,22/05/1975,,mecoprop,chemical pest management process,,1.6,kg/ha,280,l/ha,
R/CS/10,1976,07/10/1975,,paraquat,chemical pest management process,,0.56,kg/ha,220,l/ha,
R/CS/10,1977,30/05/1977,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,4.9,l/ha,220,l/ha,
W/CS/10,1977,30/05/1977,,ioxynil,chemical pest management process,,0.53,kg/ha,420,l/ha,
,1977,30/05/1977,,mecoprop,chemical pest management process,,1.6,kg/ha,420,l/ha,
R/CS/10,1978,08/06/1978,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,4.9,l/ha,220,l/ha,
W/CS/10,1978,23/09/1977,,paraquat,chemical pest management process,,0.56,kg/ha,220,l/ha,
W/CS/10,1978,15/05/1978,,"mecoprop, bromoxynil and ioxynil as 'Brittox'",chemical pest management process,,2.5,kg/ha,280,l/ha,
W/CS/10,1978,15/05/1978,,Tridemorph,chemical pest management process,,0.53,kg/ha,280,l/ha,
R/CS/10,1979,24/10/1978,,glyphosate,chemical pest management process,,1.5,kg/ha,220,l/ha,
W/CS/10,1979,14/09/1978,,glyphosate,chemical pest management process,,1.5,kg/ha,280,l/ha,
R/CS/10,1981,01/06/1981,,"Dicamba, mecoprop, MCPA as 'Herrisol'",chemical pest management process,,5,l/ha,250,l/ha,
W/CS/10,1981,01/06/1981,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,4.9,l/ha,280,l/ha,
W/CS/10,1981,01/06/1981,,Tridemorph,chemical pest management process,,0.53,l/ha,,,
R/CS/10,1982,26/05/1982,,"Dicamba, mecoprop, MCPA as 'Banlene Plus'",chemical pest management process,,5,l/ha,280,l/ha,
W/CS/10,1982,26/05/1982,,"Dicamba, mecoprop, MCPA as 'Herrisol'",chemical pest management process,,4.9,l/ha,290,l/ha,
R/CS/10,1983,07/06/1983,,Linuron,chemical pest management process,,1,l/ha,500,l/ha,
R/CS/10,1983,07/06/1983,,paraquat,chemical pest management process,,0.4,kg/ha,500,l/ha,
R/CS/10,1983,22/06/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
R/CS/10,1983,25/08/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
R/CS/10,1983,09/09/1982,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
R/CS/10,1983,01/07/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
R/CS/10,1983,01/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
R/CS/10,1983,08/07/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
R/CS/10,1983,08/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
R/CS/10,1983,18/07/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
R/CS/10,1983,18/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
R/CS/10,1983,28/07/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
R/CS/10,1983,28/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
R/CS/10,1983,11/08/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
R/CS/10,1983,19/10/1983,,Haulm desiccant applied Undiluted BOV,chemical pest management process,,170,l/ha,,,
W/CS/10,1983,12/09/1982,,glyphosate,chemical pest management process,,1.5,kg/ha,280,l/ha,
W/CS/10,1983,07/06/1983,,Linuron,chemical pest management process,,1,l/ha,500,l/ha,
W/CS/10,1983,07/06/1983,,paraquat,chemical pest management process,,0.4,kg/ha,500,l/ha,
W/CS/10,1983,22/06/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
W/CS/10,1983,22/06/1983,,primicarb,chemical pest management process,,0.14,kg/ha,,,
W/CS/10,1983,08/07/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
W/CS/10,1983,08/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,,,
W/CS/10,1983,18/07/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
W/CS/10,1983,18/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,,,
W/CS/10,1983,01/07/1983,,mancozeb,chemical pest management process,,1.4,kg/ha,250,l/ha,
W/CS/10,1983,29/07/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
W/CS/10,1983,29/07/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
W/CS/10,1983,11/08/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
W/CS/10,1983,11/08/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
W/CS/10,1983,26/08/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
W/CS/10,1983,26/08/1983,,primicarb,chemical pest management process,,0.14,kg/ha,250,l/ha,
W/CS/10,1983,09/09/1983,,Fentin hydroxide,chemical pest management process,,0.28,kg/ha,250,l/ha,
W/CS/10,1983,17/10/1983,,Haulm desiccant applied diquat,chemical pest management process,,0.5,kg/ha,250,l/ha,
R/CS/10,1985,16/05/1985,,mecoprop,chemical pest management process,,1.6,kg/ha,200,l/ha,
R/CS/10,1985,16/05/1985,,bromoxynil,chemical pest management process,,0.2,kg/ha,200,l/ha,
R/CS/10,1985,16/05/1985,,ioxynil,chemical pest management process,,0.2,kg/ha,200,l/ha,
R/CS/10,1985,16/05/1985,,Tridemorph,chemical pest management process,,0.52,kg/ha,,,
W/CS/10,1985,16/05/1985,,mecoprop,chemical pest management process,,1.2,kg/ha,250,l/ha,
W/CS/10,1985,16/05/1985,,bromoxynil,chemical pest management process,,0.26,kg/ha,250,l/ha,
W/CS/10,1985,16/05/1985,,ioxynil,chemical pest management process,,0.26,kg/ha,250,l/ha,
R/CS/10,1986,23/09/1985,,glyphosate,chemical pest management process,,1.4,kg/ha,200,l/ha,
W/CS/10,1986,19/05/1986,,Clopyralid,chemical pest management process,,0.05,kg/ha,250,l/ha,
W/CS/10,1986,19/05/1986,,bromoxynil octanoate,chemical pest management process,,0.24,kg/ha,250,l/ha,
W/CS/10,1986,19/05/1986,,mecoprop,chemical pest management process,,2.1,kg/ha,250,l/ha,
R/CS/10,1987,13/04/1987,,Terbutryne,chemical pest management process,,0.98,kg/ha,200,l/ha,
R/CS/10,1987,13/04/1987,,terbuthylazine,chemical pest management process,,0.42,kg/ha,200,l/ha,
R/CS/10,1987,09/07/1987,,Benomyl,chemical pest management process,,0.5,kg/ha,200,l/ha,
R/CS/10,1987,09/07/1987,,wetting agent Agral,chemical pest management process,,0.06,l/ha,200,l/ha,
R/CS/10,1987,09/07/1987,,primicarb,chemical pest management process,,0.14,kg/ha,200,l/ha,
W/CS/10,1987,16/09/1986,,glyphosate,chemical pest management process,,1.4,kg/ha,200,l/ha,
W/CS/10,1987,13/04/1987,,Terbutryne,chemical pest management process,,0.56,kg/ha,240,l/ha,
W/CS/10,1987,13/04/1987,,terbuthylazine,chemical pest management process,,0.24,kg/ha,240,l/ha,
W/CS/10,1987,08/05/1987,,Deltamethrin,chemical pest management process,,0.038,kg/ha,200,l/ha,
W/CS/10,1987,13/07/1987,,Benomyl,chemical pest management process,,1,kg/ha,200,l/ha,
W/CS/10,1987,13/07/1987,,wetting agent Enhance,chemical pest management process,,0.06,l/ha,200,l/ha,
W/CS/10,1987,13/07/1987,,primicarb,chemical pest management process,,0.15,kg/ha,200,l/ha,
R/CS/10,1988,12/04/1988,,Trifluralin,chemical pest management process,,1.1,kg/ha,450,l/ha,
R/CS/10,1988,19/09/1988,,Diquat,chemical pest management process,,0.6,kg/ha,240,l/ha,
R/CS/10,1988,19/09/1988,,wetting agent Agral,chemical pest management process,,0.5,l/ha,240,l/ha,
W/CS/10,1988,22/04/1988,,Trifluralin,chemical pest management process,,0.84,kg/ha,200,l/ha,
W/CS/10,1988,05/05/1988,,Linuron,chemical pest management process,,0.26,kg/ha,220,l/ha,
W/CS/10,1988,21/09/1988,,Diquat,chemical pest management process,,0.6,kg/ha,400,l/ha,
R/CS/10,1989,31/03/1989,,Simazine,chemical pest management process,,0.17,kg/ha,200,l/ha,
R/CS/10,1989,31/03/1989,,trietazine,chemical pest management process,,1.2,kg/ha,200,l/ha,
R/CS/10,1989,10/05/1989,,Deltamethrin,chemical pest management process,,7.5,g/ha,400,l/ha,
R/CS/10,1989,31/05/1989,,Deltamethrin,chemical pest management process,,7.5,g/ha,400,l/ha,
R/CS/10,1989,14/06/1989,,primicarb,chemical pest management process,,0.14,kg/ha,200,l/ha,
R/CS/10,1989,14/07/1989,,Benomyl,chemical pest management process,,0.55,kg/ha,200,l/ha,
R/CS/10,1989,14/07/1989,,Fenpropimorph,chemical pest management process,,0.75,kg/ha,200,l/ha,
W/CS/10,1989,21/04/1989,,Simazine,chemical pest management process,,0.14,kg/ha,220,l/ha,
W/CS/10,1989,21/04/1989,,trietazine,chemical pest management process,,1,kg/ha,220,l/ha,
W/CS/10,1989,22/05/1989,,Deltamethrin,chemical pest management process,,6.2,g/ha,220,l/ha,
W/CS/10,1989,07/06/1989,,Deltamethrin,chemical pest management process,,7.5,g/ha,220,l/ha,
W/CS/10,1989,07/06/1989,,Alloxydim-sodium,chemical pest management process,,1.5,kg/ha,220,l/ha,
W/CS/10,1989,22/06/1989,,primicarb,chemical pest management process,,0.14,kg/ha,220,l/ha,
W/CS/10,1989,12/07/1989,,Benomyl applied with a wetting agent,chemical pest management process,,0.55,kg/ha,220,l/ha,
W/CS/10,1989,12/07/1989,,Fenpropimorph,chemical pest management process,,0.75,kg/ha,220,l/ha,
R/CS/10,1990,06/03/1990,,phorate,chemical pest management process,,2.2,kg/ha,,,
R/CS/10,1990,12/03/1990,,Simazine,chemical pest management process,,0.17,kg/ha,200,l/ha,
R/CS/10,1990,12/03/1990,,trietazine,chemical pest management process,,1.2,kg/ha,200,l/ha,
R/CS/10,1990,02/05/1990,,Deltamethrin,chemical pest management process,,7.5,g/ha,200,l/ha,
R/CS/10,1990,17/05/1990,,Deltamethrin,chemical pest management process,,7.5,g/ha,200,l/ha,
R/CS/10,1990,05/06/1990,,primicarb,chemical pest management process,,0.14,kg/ha,200,l/ha,
W/CS/10,1990,01/09/1989,,glyphosate,chemical pest management process,,1.4,kg/ha,220,l/ha,
W/CS/10,1990,05/03/1990,,phorate,chemical pest management process,,1.8,kg/ha,,,
W/CS/10,1990,13/03/1990,,Simazine,chemical pest management process,,0.14,kg/ha,220,l/ha,
W/CS/10,1990,13/03/1990,,trietazine,chemical pest management process,,0.97,kg/ha,220,l/ha,
W/CS/10,1990,25/05/1990,,paraquat,chemical pest management process,,0.6,kg/ha,,,
R/CS/10,1991,31/08/1990,,metazachlor,chemical pest management process,,0.75,kg/ha,200,l/ha,
R/CS/10,1991,07/11/1990,,Deltamethrin,chemical pest management process,,6.2,g/ha,200,l/ha,
R/CS/10,1991,03/12/1990,,Prochloraz,chemical pest management process,,0.5,kg/ha,200,l/ha,
R/CS/10,1991,17/12/1990,,Clopyralid,chemical pest management process,,0.1,kg/ha,200,l/ha,
R/CS/10,1991,12/04/1991,,Deltamethrin,chemical pest management process,,12,g/ha,200,l/ha,
R/CS/10,1991,23/04/1991,,Prochloraz,chemical pest management process,,0.4,kg/ha,200,l/ha,
R/CS/10,1991,30/07/1991,,Diquat,chemical pest management process,,0.6,kg/ha,520,l/ha,
R/CS/10,1991,30/07/1991,,wetting agent Vassgro,chemical pest management process,,0.52,l/ha,,,
W/CS/10,1991,15/08/1990,,disced,chemical pest management process,,,,,,
W/CS/10,1991,01/11/1990,,Quizalofop-ethyl,chemical pest management process,,38,g/ha,220,l/ha,
W/CS/10,1991,01/11/1990,,metazachlor,chemical pest management process,,0.75,kg/ha,220,l/ha,
W/CS/10,1991,01/11/1990,,adjuvant Cropspray 11 E,chemical pest management process,,2,l/ha,220,l/ha,
W/CS/10,1991,15/11/1990,,Deltamethrin,chemical pest management process,,6.2,g/ha,220,l/ha,
W/CS/10,1991,12/04/1991,,Deltamethrin,chemical pest management process,,12,g/ha,200,l/ha,
W/CS/10,1991,12/04/1991,,Prochloraz,chemical pest management process,,0.28,kg/ha,200,l/ha,
W/CS/10,1991,01/08/1991,,Diquat,chemical pest management process,,0.6,kg/ha,400,l/ha,
W/CS/10,1991,01/08/1991,,wetting agent Agral,chemical pest management process,,0.4,l/ha,,,
R/CS/10,1992,06/09/1991,,Butisan S,chemical pest management process,,2.5,l/ha,200,l/ha,
R/CS/10,1992,02/12/1991,,Vytel Liquid carted Magnesium,chemical pest management process,,2,l/ha,200,l/ha,
R/CS/10,1992,05/03/1992,,calcium sulphate as gypsum,chemical pest management process,,30,kgS/ha,,,
W/CS/10,1992,15/01/1992,,Benazalox,chemical pest management process,,1.25,kg/ha,200,l/ha,
W/CS/10,1992,05/03/1992,,calcium sulphate as gypsum,chemical pest management process,,30,kgS/ha,,,
R/CS/10,1993,13/10/1992,,Opogard 500 FW,chemical pest management process,,2.8,l/ha,200,l/ha,
R/CS/10,1993,16/04/1993,,calcium sulphate as gypsum,chemical pest management process,,30,kgS/ha,,,
R/CS/10,1993,22/06/1993,,Power Dimethoate 40,chemical pest management process,,1.7,l/ha,200,l/ha,
R/CS/10,1993,02/07/1993,,Mistral,chemical pest management process,,1,l/ha,200,l/ha,
R/CS/10,1993,02/07/1993,,Sportak 45,chemical pest management process,,1.1,l/ha,200,l/ha,
R/CS/10,1993,06/09/1993,,Stefes Diquat,chemical pest management process,,3,l/ha,260,l/ha,
R/CS/10,1993,06/09/1993,,Vassgro Spreader,chemical pest management process,,0.3,l/ha,260,l/ha,
W/CS/10,1993,12/10/1992,,Opogard 500 FW,chemical pest management process,,1.8,l/ha,200,l/ha,
W/CS/10,1993,12/10/1992,,Scythe ,chemical pest management process,,3,l/ha,200,l/ha,
R/CS/10,1994,26/10/1993,,Opogard 500 FW,chemical pest management process,,2.8,l/ha,200,l/ha,
R/CS/10,1994,16/02/1994,,Atlas Simazine,chemical pest management process,,1,l/ha,200,l/ha,
R/CS/10,1994,13/06/1994,,calcium sulphate as gypsum,chemical pest management process,,30,kgS/ha,,,
R/CS/10,1994,06/09/1994,,Barclay Gallup,chemical pest management process,,4,l/ha,200,l/ha,
W/CS/10,1994,18/02/1994,,Atlas Simazine,chemical pest management process,,1,l/ha,200,l/ha,
W/CS/10,1994,10/03/1994,,calcium sulphate as gypsum,chemical pest management process,,30,kgS/ha,,,
W/CS/10,1994,09/05/1994,,Sportak 45,chemical pest management process,,1.5,l/ha,200,l/ha,
R/CS/10,1995,06/09/1994,,Barclay Gallup,chemical pest management process,,4,l/ha,200,l/ha,
R/CS/10,1995,12/09/1994,,topped.,chemical pest management process,,,,,,
R/CS/10,1995,29/09/1994,,disced,chemical pest management process,,,,,,
R/CS/10,1995,24/11/1994,,Alpha Isoproturon 500,chemical pest management process,,2.5,l/ha,200,l/ha,
R/CS/10,1995,24/11/1994,,Stomp 400,chemical pest management process,,2.5,l/ha,200,l/ha,
R/CS/10,1995,01/05/1995,,calcium sulphate as gypsum,chemical pest management process,,17.5,% S,171,kg/ha,
R/CS/10,1995,10/05/1995,,Halo,chemical pest management process,,2,l/ha,200,l/ha,
R/CS/10,1995,16/06/1995,,Halo,chemical pest management process,,2,l/ha,300,l/ha,
R/CS/10,1995,16/06/1995,,Patrol,chemical pest management process,,0.5,l/ha,300,l/ha,
W/CS/10,1995,28/11/1994,,Panther,chemical pest management process,,2,l/ha,200,l/ha,
W/CS/10,1995,28/11/1994,,Decis,chemical pest management process,,0.2,l/ha,200,l/ha,
W/CS/10,1995,13/03/1995,,calcium sulphate as gypsum,chemical pest management process,,17.5,% S,171,kg/ha,
W/CS/10,1995,28/04/1995,,Halo,chemical pest management process,,2,l/ha,200,l/ha,
W/CS/10,1995,01/06/1995,,Cyclone,chemical pest management process,,1,l/ha,200,l/ha,
W/CS/10,1995,01/06/1995,,Mallard,chemical pest management process,,0.3,l/ha,200,l/ha,
W/CS/10,1995,30/06/1995,,Pirimicarb 50 DG,chemical pest management process,,280,g/ha,300,l/ha,
R/CS/10,1996,09/04/1996,,calcium sulphate as gypsum,chemical pest management process,,17.5,% S,171,kg/ha,
R/CS/10,1996,26/04/1996,,Ally,chemical pest management process,,30,g/ha,200,l/ha,
R/CS/10,1996,26/04/1996,,Cheetah Super,chemical pest management process,,1.25,l/ha,200,l/ha,
R/CS/10,1996,26/04/1996,,Barclay Holdup,chemical pest management process,,2.3,l/ha,200,l/ha,
R/CS/10,1996,13/06/1996,,Alto 100 SL,chemical pest management process,,0.6,l/ha,300,l/ha,
R/CS/10,1996,13/06/1996,,Mallard 750 EC,chemical pest management process,,0.4,l/ha,300,l/ha,
W/CS/10,1996,13/11/1995,,Panther,chemical pest management process,,2,l/ha,200,l/ha,
W/CS/10,1996,19/03/1996,,calcium sulphate as gypsum,chemical pest management process,,17.5,% S,171,kg/ha,
W/CS/10,1996,30/04/1996,,Halo,chemical pest management process,,1.5,l/ha,200,l/ha,
W/CS/10,1996,06/06/1996,,Silvacur,chemical pest management process,,1,l/ha,300,l/ha,
R/CS/10,1963,18/04/1963,,Simazine,chemical pest management process,,1,lb/acre,40,gallons/acre,sprayed
