source_id	sequence	Experiment	harvest_year	plots	start_date_orig	start date	end_date_orig	end_date	type	flag	orig_record	record	rate	unit	water_volume	water_volume_unit
7420		RW/CS/10	1995	Sawyers I (R):	06-Sep-94						Barclay Gallup at 4.0 1 in 200 1.	Barclay Gallup at 4.0 1 in 200 1.				
7421		RW/CS/10	1995	Sawyers I (R):	12-Sep-94						topped.	topped.				
7422		RW/CS/10	1995	Sawyers I (R):	14-Sep-94						ploughed.	ploughed.				
7423		RW/CS/10	1995	Sawyers I (R):	29-Sep-94						"disced, hay spring-tine cultivated."	"disced, hay spring-tine cultivated."				
7424		RW/CS/10	1995	Sawyers I (R):	30-Sep-94						"rotary harrowed, Genesis, dressed Rappor, drilled at 380 seed per m."	"rotary harrowed, Genesis, dressed Rappor, drilled at 380 seed per m."				
7425		RW/CS/10	1995	Sawyers I (R):	24-Nov-94						Alpha Isoproturon 500 at 2.5 1 with Stomp 400 at 2.5 1 in 200 1.	Alpha Isoproturon 500 at 2.5 1 with Stomp 400 at 2.5 1 in 200 1.				
7426		RW/CS/10	1995	Sawyers I (R):	13-Apr-95						34.5% N at 435 kg.	34.5% N at 435 kg.				
7427		RW/CS/10	1995	Sawyers I (R):	01-May-95						sulphur 30: Gypsum (17.5% S) at 171 kg.	sulphur 30: Gypsum (17.5% S) at 171 kg.				
7428		RW/CS/10	1995	Sawyers I (R):	10-May-95						Halo at 2.0 1 in 200 1.	Halo at 2.0 1 in 200 1.				
7429		RW/CS/10	1995	Sawyers I (R):	16-Jun-95						Halo at 2.0 1 with Patrol at 0.5 1 in 300 1.	Halo at 2.0 1 with Patrol at 0.5 1 in 300 1.				
7430		RW/CS/10	1995	Sawyers I (R):	02-Aug-95						combine harvested.	combine harvested.				
7431		RW/CS/10	1995	Stackyard C (W):	23-Sep-94						ploughed	ploughed				
7432		RW/CS/10	1995	Stackyard C (W):	30-Sep-94						"rotary harrowed, Genesis, dressed Rappor, drilled at 300 seed per m. rolled."	"rotary harrowed, Genesis, dressed Rappor, drilled at 300 seed per m. rolled."				
7433		RW/CS/10	1995	Stackyard C (W):	28-Nov-94						Panther at 2.0 1 with Decis at 0.20 1 in 200 1.	Panther at 2.0 1 with Decis at 0.20 1 in 200 1.				
7434		RW/CS/10	1995	Stackyard C (W):	13-Mar-95						sulphur 30: Gypsum (17.5% S) at 171 kg.	sulphur 30: Gypsum (17.5% S) at 171 kg.				
7435		RW/CS/10	1995	Stackyard C (W):	15-Mar-95						34.5% N at 116 kg.	34.5% N at 116 kg.				
7436		RW/CS/10	1995	Stackyard C (W):	21-Apr-95						34.5% N at 348 kg.	34.5% N at 348 kg.				
7437		RW/CS/10	1995	Stackyard C (W):	28-Apr-95						Halo at 2.0 1 in 200 1.	Halo at 2.0 1 in 200 1.				
7438		RW/CS/10	1995	Stackyard C (W):	01-Jun-95						Cyclone at 1.0 1 with Mallard at 0.3 1 in 200 1.	Cyclone at 1.0 1 with Mallard at 0.3 1 in 200 1.				
7439		RW/CS/10	1995	Stackyard C (W):	30-Jun-95						pirimicarb 50 DG at 280 ¢ in 300 1.	pirimicarb 50 DG at 280 ¢ in 300 1.				
7440		RW/CS/10	1995	Stackyard C (W):	04-Aug-95						combine harvested.	combine harvested.				
7441		RW/CS/10	1996	Sawyers I (R):	10-Aug-95						Straw baled.	Straw baled.				
7442		RW/CS/10	1996	Sawyers I (R):	22-Aug-95						subsoiled.	subsoiled.				
7443		RW/CS/10	1996	Sawyers I (R):	25-Sep-95						ploughed.	ploughed.				
7444		RW/CS/10	1996	Sawyers I (R):	28-Sep-95						"rotary harrowed, Hereward, dressed Panoctine, drilled at 380 seed per m*."	"rotary harrowed, Hereward, dressed Panoctine, drilled at 380 seed per m*."				
7445		RW/CS/10	1996	Sawyers I (R):	11-Mar-96						34.5% N at 116 kg.	34.5% N at 116 kg.				
7446		RW/CS/10	1996	Sawyers I (R):	09-Apr-96						sulphur 30: Gypsum (17.5% S) at 171 kg.	sulphur 30: Gypsum (17.5% S) at 171 kg.				
7447		RW/CS/10	1996	Sawyers I (R):	15-Apr-96						34.5% N at 463 kg.	34.5% N at 463 kg.				
7448		RW/CS/10	1996	Sawyers I (R):	26-Apr-96						ally at 30 g with Cheetah Super at 1.25 1 and Barclay Holdup at LLC2-3 1 in 200 1.	ally at 30 g with Cheetah Super at 1.25 1 and Barclay Holdup at LLC2-3 1 in 200 1.				
7449		RW/CS/10	1996	Sawyers I (R):	13-Jun-96						Alto 100 SL at 0.6 1 with Mallard 750 Ec at 0.4 1 in 300 1.	Alto 100 SL at 0.6 1 with Mallard 750 Ec at 0.4 1 in 300 1.				
7450		RW/CS/10	1996	Sawyers I (R):	09-Aug-96						combine harvested.	combine harvested.				
7451		RW/CS/10	1996	Stackyard C (WwW):	25-Aug-95						subsoiled.	subsoiled.				
7452		RW/CS/10	1996	Stackyard C (WwW):	19-Sep-95						ploughed.	ploughed.				
7453		RW/CS/10	1996	Stackyard C (WwW):	23-Sep-95						rolled.	rolled.				
7454		RW/CS/10	1996	Stackyard C (WwW):	03-Oct-95						"rotary harrowed, Hereward, dressed Sibutol, drilled at 375 seed per m*."	"rotary harrowed, Hereward, dressed Sibutol, drilled at 375 seed per m*."				
7455		RW/CS/10	1996	Stackyard C (WwW):	13-Nov-95						Panther at 2.0 1 in 200 1.	Panther at 2.0 1 in 200 1.				
7456		RW/CS/10	1996	Stackyard C (WwW):	13-Mar-96						34.5% N at 116 kg.	34.5% N at 116 kg.				
7457		RW/CS/10	1996	Stackyard C (WwW):	19-Mar-96						sulphur 30: Gypsum (17.5% S) at 171 kg.	sulphur 30: Gypsum (17.5% S) at 171 kg.				
7458		RW/CS/10	1996	Stackyard C (WwW):	16-Apr-96						34.5% N at 348 kg.	34.5% N at 348 kg.				
7459		RW/CS/10	1996	Stackyard C (WwW):	30-Apr-96						Halo at 1.5 1 in 200 1.	Halo at 1.5 1 in 200 1.				
7460		RW/CS/10	1996	Stackyard C (WwW):	06-Jun-96						Silvacur at 1.0 1 in 300 1.	Silvacur at 1.0 1 in 300 1.				
7461		RW/CS/10	1996	Stackyard C (WwW):	19-Aug-96						combine harvested.	combine harvested.				
