Experiment,year,new_start_date,new_end_date,operation,operation_type,plot
R/CS/10,1971,17/08/1971,,combine harvested,harvesting process,
W/CS/10,1971,28/10/1970,,ploughed,tillage process,
W/CS/10,1971,17/08/1971,,combine harvested,harvesting process,
R/CS/10,1972,11/11/1971,,ploughed,tillage process,
R/CS/10,1972,03/07/1972,,"CA0 plots cut and carted, because the crop had failed and plots were very weedy.",harvesting process,CA0
R/CS/10,1972,03/07/1972,,rotary cultivated,tillage process,CA0
R/CS/10,1972,11/07/1972,,rotary cultivated,tillage process,CA0
R/CS/10,1972,24/08/1972,,combine harvested,harvesting process,
W/CS/10,1972,27/10/1971,,ploughed,tillage process,
W/CS/10,1972,03/07/1972,,"CA0 plots cut and carted, because the crop had failed and plots were very weedy.",harvesting process,CA0
W/CS/10,1972,04/07/1972,,rotary cultivated,tillage process,CA0
W/CS/10,1972,18/07/1972,,rotary cultivated,tillage process,CA0
W/CS/10,1972,31/07/1972,,rotary cultivated,tillage process,CA0
W/CS/10,1972,15/08/1972,,combine harvested,harvesting process,
R/CS/10,1973,29/11/1972,,ploughed,tillage process,
R/CS/10,1973,12/03/1973,,power harrowed,tillage process,
R/CS/10,1973,02/07/1973,,rotary cultivated,tillage process,unlimed
R/CS/10,1973,10/08/1973,,combine harvested,harvesting process,
W/CS/10,1973,28/09/1972,,Deep-tine cultivated,tillage process,
W/CS/10,1973,27/12/1972,,ploughed,tillage process,
W/CS/10,1973,02/07/1973,,rotary cultivated,tillage process,certain plots without lime
W/CS/10,1973,13/08/1973,,combine harvested,harvesting process,
R/CS/10,1974,19/11/1973,,ploughed,tillage process,
R/CS/10,1974,24/04/1974,,spike rotary cultivated,tillage process,
R/CS/10,1974,19/06/1974,,Grubbed,harvesting process,
R/CS/10,1974,21/06/1974,,rotary ridged,tillage process,
R/CS/10,1974,10/09/1974,,Haulm mechanically destroyed,residue management process,
R/CS/10,1974,30/10/1974,,Lifted,harvesting process,
W/CS/10,1974,25/10/1973,,"Subsoiled, tines 140 cm apart 50 cm deep",tillage process,
W/CS/10,1974,13/11/1973,,ploughed,tillage process,
W/CS/10,1974,04/04/1974,,spring-tine cultivated,tillage process,
W/CS/10,1974,17/04/1974,,rotary cultivated,tillage process,
W/CS/10,1974,12/06/1974,,rotary ridged,tillage process,
W/CS/10,1974,12/09/1974,,Haulm mechanically destroyed,residue management process,
W/CS/10,1974,30/09/1973,,Lifted,harvesting process,
R/CS/10,1975,07/02/1975,,Chisel ploughed,tillage process,
R/CS/10,1975,25/03/1975,,rotary cultivated,tillage process,
R/CS/10,1975,18/08/1975,,combine harvested,harvesting process,
W/CS/10,1975,11/12/1974,,ploughed,tillage process,
W/CS/10,1975,20/03/1975,,spring-tine cultivated,tillage process,
W/CS/10,1975,18/08/1975,,combine harvested,harvesting process,
R/CS/10,1976,20/10/1975,,ploughed,tillage process,
R/CS/10,1976,11/03/1976,,spring-tine cultivated,tillage process,
R/CS/10,1976,26/03/1976,,spring-tine cultivated,tillage process,
R/CS/10,1976,14/07/1976,,Harvested green,harvesting process,
W/CS/10,1976,02/09/1975,,heavy spring-tine cultivated,tillage process,
W/CS/10,1976,02/09/1975,,rotary cultivated,tillage process,
W/CS/10,1976,21/10/1975,,ploughed,tillage process,
W/CS/10,1976,09/03/1976,,spring-tine cultivated,tillage process,
W/CS/10,1976,30/03/1976,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1976,31/03/1976,,rolled,tillage process,
W/CS/10,1976,07/07/1976,,Harvested green,harvesting process,
R/CS/10,1977,31/08/1976,,Deep-tine cultivated twice,tillage process,
R/CS/10,1977,11/12/1976,,ploughed,tillage process,
R/CS/10,1977,04/04/1977,,power harrowed,tillage process,
R/CS/10,1977,05/09/1977,,combine harvested,harvesting process,
W/CS/10,1977,16/08/1976,,power harrowed,tillage process,
W/CS/10,1977,23/11/1976,,ploughed,tillage process,
W/CS/10,1977,09/03/1977,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1977,31/03/1977,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1977,03/09/1977,,combine harvested,harvesting process,
R/CS/10,1978,20/11/1977,,ploughed,tillage process,
R/CS/10,1978,07/04/1978,,spring-tine cultivated,tillage process,
R/CS/10,1978,19/04/1978,,power harrowed,tillage process,
R/CS/10,1978,08/09/1978,,combine harvested,harvesting process,
W/CS/10,1978,30/09/1977,,ploughed,tillage process,
W/CS/10,1978,09/03/1978,,spring-tine cultivated,tillage process,
W/CS/10,1978,13/03/1978,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1978,03/04/1978,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1978,23/08/1978,,combine harvested,harvesting process,
R/CS/10,1979,21/12/1978,,ploughed,tillage process,
R/CS/10,1979,12/06/1979,,rotary cultivated,tillage process,
R/CS/10,1979,03/07/1979,,Deep-tine cultivated,tillage process,
W/CS/10,1979,22/11/1978,,ploughed,tillage process,
W/CS/10,1979,17/04/1979,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1979,06/06/1979,,rotary cultivated,tillage process,
W/CS/10,1979,04/07/1979,,rotary cultivated,tillage process,
W/CS/10,1979,16/08/1979,,rotary cultivated,tillage process,
W/CS/10,1979,21/08/1979,,Deep-tine cultivated,tillage process,
W/CS/10,1979,11/09/1979,,heavy spring-tine cultivated,tillage process,
R/CS/10,1980,04/12/1979,,ploughed,tillage process,
R/CS/10,1980,21/04/1980,,heavy spring-tine cultivated,tillage process,
R/CS/10,1980,22/05/1980,,spring-tine cultivated,tillage process,
R/CS/10,1980,19/06/1980,,rotary cultivated,tillage process,
R/CS/10,1980,04/08/1980,,rotary harrowed,tillage process,
W/CS/10,1980,11/09/1979,,heavy spring-tine cultivated,tillage process,
W/CS/10,1980,03/03/1980,,heavy spring-tine cultivated,tillage process,
W/CS/10,1980,07/08/1980,,heavy spring-tine cultivated,tillage process,
W/CS/10,1980,29/11/1979,,ploughed,tillage process,
W/CS/10,1980,29/07/1980,,rotary cultivated,tillage process,
R/CS/10,1981,08/12/1980,,ploughed,tillage process,
R/CS/10,1981,13/04/1981,,rotary harrowed,tillage process,
R/CS/10,1981,10/09/1981,,combine harvested,harvesting process,
W/CS/10,1981,13/11/1980,,ploughed,tillage process,
W/CS/10,1981,12/12/1980,,ploughed,tillage process,
W/CS/10,1981,06/04/1981,,heavy spring-tine cultivated,tillage process,
W/CS/10,1981,08/04/1981,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1981,09/04/1981,,rotary cultivated,tillage process,
W/CS/10,1981,03/09/1981,,combine harvested,harvesting process,
R/CS/10,1982,03/02/1982,,ploughed,tillage process,
R/CS/10,1982,05/04/1982,,spring-tine cultivated,tillage process,
R/CS/10,1982,26/08/1982,27/08/1982,combine harvested,harvesting process,
W/CS/10,1982,26/02/1982,,ploughed,tillage process,
W/CS/10,1982,25/03/1982,,heavy spring-tine cultivated,tillage process,
W/CS/10,1982,29/03/1982,,spring-tine cultivated with crumbler attached,tillage process,
W/CS/10,1982,20/08/1982,,combine harvested,harvesting process,
R/CS/10,1983,01/12/1982,,ploughed,tillage process,
R/CS/10,1983,23/05/1983,,rotary harrowed,tillage process,
R/CS/10,1983,26/05/1983,,rotary ridged,tillage process,
R/CS/10,1983,11/10/1983,,Haulm mechanically destroyed,residue management process,
R/CS/10,1983,28/10/1983,,Lifted,harvesting process,
W/CS/10,1983,08/10/1982,,ploughed,tillage process,
W/CS/10,1983,23/12/1982,,ploughed,tillage process,
W/CS/10,1983,21/03/1983,,heavy spring-tine cultivated,tillage process,
W/CS/10,1983,28/03/1983,,heavy spring-tine cultivated,tillage process,
W/CS/10,1983,11/05/1983,,heavy spring-tine cultivated,tillage process,
W/CS/10,1983,11/05/1983,,rotary cultivated,tillage process,
W/CS/10,1983,07/06/1983,,rotary ridged,tillage process,
W/CS/10,1983,05/10/1983,,Haulm mechanically destroyed,residue management process,
W/CS/10,1983,07/11/1983,,Lifted,harvesting process,
R/CS/10,1984,11/11/1983,,heavy spring-tine cultivated,tillage process,
R/CS/10,1984,27/04/1984,,heavy spring-tine cultivated,tillage process,
R/CS/10,1984,09/05/1984,,heavy spring-tine cultivated,tillage process,
R/CS/10,1984,27/04/1984,,rotary cultivated,tillage process,
R/CS/10,1984,15/06/1984,,rotary cultivated,tillage process,
R/CS/10,1984,12/07/1984,,rotary cultivated,tillage process,
R/CS/10,1984,13/07/1984,,spring-tine cultivated,tillage process,
W/CS/10,1984,16/01/1984,,Deep-tine cultivated,tillage process,
W/CS/10,1984,15/05/1984,,heavy spring-tine cultivated,tillage process,
W/CS/10,1984,10/07/1984,,cultivated with thistle bar,tillage process,
W/CS/10,1984,10/08/1984,,cultivated with thistle bar,tillage process,
W/CS/10,1984,25/07/1984,,rotary cultivated,tillage process,
R/CS/10,1985,03/01/1985,,ploughed,tillage process,
R/CS/10,1985,18/03/1985,,spring-tine cultivated,tillage process,
R/CS/10,1985,18/03/1985,,rotary harrowed,tillage process,
R/CS/10,1985,23/08/1985,,combine harvested,harvesting process,
W/CS/10,1985,13/03/1985,,ploughed,tillage process,
W/CS/10,1985,18/03/1985,,spring-tine cultivated,tillage process,
W/CS/10,1985,18/03/1985,,harrowed,tillage process,
W/CS/10,1985,28/08/1985,,combine harvested,harvesting process,
R/CS/10,1986,08/10/1985,,ploughed,tillage process,
R/CS/10,1986,23/10/1985,,rolled,tillage process,
R/CS/10,1986,23/10/1985,,disced,tillage process,
R/CS/10,1986,23/10/1985,,rotary harrowed,tillage process,
R/CS/10,1986,10/09/1986,,combine harvested,harvesting process,
W/CS/10,1986,09/10/1985,,ploughed,tillage process,
W/CS/10,1986,22/10/1985,,rolled,tillage process,
W/CS/10,1986,22/10/1985,,power harrowed,tillage process,
W/CS/10,1986,07/09/1986,,combine harvested,harvesting process,
R/CS/10,1987,14/11/1986,,ploughed,tillage process,
R/CS/10,1987,31/03/1987,,spring-tine cultivated,tillage process,
R/CS/10,1987,31/03/1987,,rotary harrowed,tillage process,
R/CS/10,1987,31/03/1987,,harrowed,tillage process,
R/CS/10,1987,17/11/1987,,combine harvested,harvesting process,
W/CS/10,1987,28/11/1986,,ploughed,tillage process,
W/CS/10,1987,06/04/1987,,Spike harrowed with crumbler attached,tillage process,
W/CS/10,1987,13/04/1987,,harrowed,tillage process,
W/CS/10,1987,18/11/1987,,combine harvested,harvesting process,
R/CS/10,1988,15/12/1987,,ploughed,tillage process,
R/CS/10,1988,05/04/1988,,heavy spring-tine cultivated,tillage process,
R/CS/10,1988,12/04/1988,,spring-tine cultivated twice,tillage process,
R/CS/10,1988,13/04/1988,,rotary harrowed,tillage process,
R/CS/10,1988,13/04/1988,,harrowed,tillage process,
R/CS/10,1988,24/10/1988,,combine harvested,harvesting process,
W/CS/10,1988,23/02/1988,,ploughed,tillage process,
W/CS/10,1988,05/04/1988,,heavy spring-tine cultivated,tillage process,
W/CS/10,1988,22/04/1988,,spike harrowed with crumbler attached twice,tillage process,
W/CS/10,1988,01/11/1988,,combine harvested,harvesting process,
R/CS/10,1989,20/12/1988,,ploughed,tillage process,
R/CS/10,1989,29/03/1989,,heavy spring-tine cultivated,tillage process,
R/CS/10,1989,29/03/1989,,rotary harrowed,tillage process,
R/CS/10,1989,30/03/1989,,rotary harrowed,tillage process,
R/CS/10,1989,30/03/1989,,harrowed,tillage process,
R/CS/10,1989,30/03/1989,,rolled,tillage process,
R/CS/10,1989,14/08/1989,,combine harvested,harvesting process,
W/CS/10,1989,14/12/1988,,ploughed,tillage process,
W/CS/10,1989,28/03/1989,,spring-tine cultivated,tillage process,
W/CS/10,1989,31/03/1989,,rotary harrowed,tillage process,
W/CS/10,1989,22/08/1989,,combine harvested,harvesting process,
R/CS/10,1990,23/08/1989,,"Tine cultivated with vibrating tines 60 cm apart, 45 cm deep",tillage process,
R/CS/10,1990,24/11/1989,,ploughed,tillage process,
R/CS/10,1990,05/03/1990,,spring-tine cultivated,tillage process,
R/CS/10,1990,06/03/1990,,rotary harrowed twice,tillage process,
R/CS/10,1990,06/03/1990,,harrowed,tillage process,
R/CS/10,1990,06/03/1990,,rolled,tillage process,
R/CS/10,1990,15/08/1990,,combine harvested,harvesting process,
W/CS/10,1990,05/01/1990,,ploughed,tillage process,
W/CS/10,1990,05/03/1990,,power harrowed with crumbler attached,tillage process,
R/CS/10,1991,28/08/1990,,ploughed,tillage process,
R/CS/10,1991,29/08/1990,,rolled,tillage process,
R/CS/10,1991,30/08/1990,,rotary harrowed,tillage process,
R/CS/10,1991,31/08/1990,,rotary harrowed,tillage process,
R/CS/10,1991,31/08/1990,,harrowed,tillage process,
R/CS/10,1991,31/08/1990,,rolled,tillage process,
R/CS/10,1991,21/09/1990,,Irrigation: 25 mm applied,irrigation process,
R/CS/10,1991,27/09/1990,,Irrigation: 25 mm applied,irrigation process,
R/CS/10,1991,07/08/1991,,combine harvested,harvesting process,
W/CS/10,1991,21/08/1990,,"Subsoiled with tines 1.5m apart, 0.4 m deep",tillage process,
W/CS/10,1991,22/08/1990,,ploughed,tillage process,
W/CS/10,1991,22/08/1990,,rolled,tillage process,
W/CS/10,1991,30/08/1990,,rotary harrowed with crumbler attached,tillage process,
W/CS/10,1991,13/08/1991,,combine harvested,harvesting process,
R/CS/10,1992,25/08/1991,,"Deep-tine cultivated with vibrating tines 60 cm apart, 45 cm deep.",tillage process,
R/CS/10,1992,26/08/1991,,ploughed,tillage process,
R/CS/10,1992,26/08/1991,,rolled,tillage process,
R/CS/10,1992,04/09/1991,,rotary harrowed,tillage process,
R/CS/10,1992,05/09/1991,,rotary harrowed,tillage process,
R/CS/10,1992,05/09/1991,,rolled,tillage process,
W/CS/10,1992,13/04/1992,,ploughed cropped failed.,tillage process,
W/CS/10,1992,03/09/1991,,ploughed,tillage process,
W/CS/10,1992,06/09/1991,,rotary cultivated,tillage process,
W/CS/10,1992,06/09/1991,,rolled,tillage process,
W/CS/10,1992,13/05/1992,,ploughed cropped failed.,tillage process,
R/CS/10,1993,29/09/1992,,ploughed,tillage process,
R/CS/10,1993,07/10/1992,,rotary harrowed,tillage process,
R/CS/10,1993,10/10/1993,,combine harvested,harvesting process,
W/CS/10,1993,02/10/1992,,rotary harrowed,tillage process,
W/CS/10,1993,22/03/1993,,ploughed cropped failed.,tillage process,
W/CS/10,1993,08/07/1993,,rotary cultivated,tillage process,
R/CS/10,1994,16/10/1993,,ploughed,tillage process,
R/CS/10,1994,19/10/1993,,disced,tillage process,
R/CS/10,1994,20/10/1993,,spring-tine cultivated,tillage process,
W/CS/10,1994,16/09/1993,,ploughed,tillage process,
W/CS/10,1994,24/09/1993,,rotary harrowed,tillage process,
R/CS/10,1995,14/09/1994,,ploughed,tillage process,
R/CS/10,1995,29/09/1994,,heavy spring-tine cultivated,tillage process,
R/CS/10,1995,30/09/1994,,rotary harrowed,tillage process,
W/CS/10,1995,02/08/1995,,combine harvested,harvesting process,
W/CS/10,1995,23/09/1994,,ploughed,tillage process,
W/CS/10,1995,30/09/1994,,rotary harrowed,tillage process,
W/CS/10,1995,30/09/1994,,rolled,tillage process,
W/CS/10,1995,04/08/1995,,combine harvested,harvesting process,
R/CS/10,1996,10/08/1995,,Straw baled,baling process,
R/CS/10,1996,22/08/1995,,Sub-soiled.,tillage process,
R/CS/10,1996,25/09/1995,,ploughed,tillage process,
R/CS/10,1996,28/09/1995,,rotary harrowed,tillage process,
W/CS/10,1996,09/08/1996,,combine harvested,harvesting process,
W/CS/10,1996,25/08/1995,,Sub-soiled.,tillage process,
W/CS/10,1996,19/09/1995,,ploughed,tillage process,
W/CS/10,1996,23/09/1995,,rolled,tillage process,
W/CS/10,1996,03/10/1995,,rotary harrowed,tillage process,
W/CS/10,1996,19/08/1996,,combine harvested,harvesting process,
