Experiment,year,new_start_date,new_end_date,operation,operation_type,plot,amount,rate,formulation amount,formulation unit,method
R/CS/10,1991,23/04/1991,,Manganese as 'Vytel Liquid Manganese',agronomic fertilization process,Manganese spray sub plots,0.093,kgMn/ha,200,l/ha,
W/CS/10,1991,28/08/1990,,N applied (25:0:16),agronomic fertilization process,,25,% N,200,kg/ha,
W/CS/10,1991,28/08/1990,,K applied (25:0:16),agronomic fertilization process,,16,% K,200,kg/ha,
W/CS/10,1991,21/03/1991,,calcium sulphate as gypsum,agronomic fertilization process,,30,kgS/ha,,,
W/CS/10,1991,03/12/1990,,Magnesium as 'Vytel Liquid Magnesium',agronomic fertilization process,,0.13,kgMg/ha,200,l/ha,
W/CS/10,1991,15/03/1991,,nitram,agronomic fertilization process,,34.5,% N,580,kg/ha,
W/CS/10,1991,09/05/1991,,Manganese as 'Vytel Liquid Manganese',agronomic fertilization process,Manganese spray sub plots,0.078,kgMn/ha,300,l/ha,
R/CS/10,1992,24/10/1991,,N applied (25:0:16),agronomic fertilization process,,25,% N,200,kg/ha,
R/CS/10,1992,24/10/1991,,K applied (25:0:16),agronomic fertilization process,,16,% K,200,kg/ha,
R/CS/10,1992,05/03/1992,,nitram,agronomic fertilization process,,34.5,% N,220,kg/ha,
W/CS/10,1992,29/10/1991,,N applied (25:0:16),agronomic fertilization process,,25,% N,200,kg/ha,
W/CS/10,1992,29/10/1991,,K applied (25:0:16),agronomic fertilization process,,16,% K,200,kg/ha,
W/CS/10,1992,06/03/1992,,nitram,agronomic fertilization process,,34.5,% N,220,kg/ha,
R/CS/10,1995,13/04/1995,,nitram,agronomic fertilization process,,34.5,% N,435,kg/ha,
W/CS/10,1995,15/03/1995,,nitram,agronomic fertilization process,,34.5,% N,116,kg/ha,
W/CS/10,1995,21/04/1995,,nitram,agronomic fertilization process,,34.5,% N,348,kg/ha,
R/CS/10,1996,11/03/1996,,nitram,agronomic fertilization process,,34.5,% N,116,kg/ha,
R/CS/10,1996,15/04/1996,,nitram,agronomic fertilization process,,34.5,% N,463,kg/ha,
W/CS/10,1996,13/03/1996,,nitram,agronomic fertilization process,,34.5,% N,116,kg/ha,
W/CS/10,1996,16/04/1996,,nitram,agronomic fertilization process,,34.5,% N,348,kg/ha,
R/CS/10,1962,05/03/1962,,Ground chalk,liming process,L1,2,tons/acre,,,
R/CS/10,1962,05/03/1962,,Ground chalk,liming process,L2,4,tons/acre,,,
R/CS/10,1962,05/03/1962,,Ground chalk,liming process,L3,6,tons/acre,,,
W/CS/10,1962,09/03/1962,,Ground chalk,liming process,L1,2,tons/acre,,,
W/CS/10,1962,09/03/1962,,Ground chalk,liming process,L2,4,tons/acre,,,
W/CS/10,1962,09/03/1962,,Ground chalk,liming process,L3,6,tons/acre,,,
R/CS/10,1963,04/12/1962,,Ground chalk,liming process,L3 ('C' plots),1,tons/acre,,,
R/CS/10,1963,01/04/1963,,Ground chalk,liming process,L3 ('C' plots),1,tons/acre,,,
W/CS/10,1963,19/10/1962,,Ground chalk,liming process,L2 ('B' plots),0.75,tons/acre,,,
R/CS/10,1979,29/11/1978,,chalk,liming process,L1,2,t/ha,,,
R/CS/10,1979,29/11/1978,,chalk,liming process,L2,5,t/ha,,,
R/CS/10,1979,29/11/1978,,chalk,liming process,L3,10,t/ha,,,
W/CS/10,1979,21/11/1978,,chalk,liming process,L1,1,t/ha,,,
W/CS/10,1979,21/11/1978,,chalk,liming process,L2,2,t/ha,,,
W/CS/10,1979,21/11/1978,,chalk,liming process,L3,4,t/ha,,,
R/CS/10,1982,03/12/1981,07/12/1981,Ground chalk,liming process,L1,2,t/ha,,,
R/CS/10,1982,03/12/1981,,Ground chalk,liming process,L2,5,t/ha,,,
R/CS/10,1982,03/12/1981,,Ground chalk,liming process,L3,10,t/ha,,,
W/CS/10,1982,25/11/1981,,Ground chalk,liming process,L1,2,t/ha,,,
W/CS/10,1982,25/11/1981,,Ground chalk,liming process,L2,5,t/ha,,,
W/CS/10,1982,25/11/1981,,Ground chalk,liming process,L3,10,t/ha,,,
R/CS/10,1983,26/11/1982,,Ground chalk,liming process,L2,3,t/ha,,,
R/CS/10,1983,26/11/1982,,Ground chalk,liming process,L1,5,t/ha,,,
R/CS/10,1983,26/11/1982,,Ground chalk,liming process,L3,10,t/ha,,,
W/CS/10,1983,04/11/1982,,Ground chalk,liming process,L2,5,t/ha,,,
W/CS/10,1983,04/11/1982,,Ground chalk,liming process,L3,10,t/ha,,,
R/CS/10,1987,13/11/1986,,chalk,liming process,L1,1,t/ha,,,
R/CS/10,1987,13/11/1986,,chalk,liming process,L2,1.5,t/ha,,,
R/CS/10,1987,13/11/1986,,chalk,liming process,L3,2.5,t/ha,,,
W/CS/10,1987,13/11/1986,,chalk,liming process,L1,1,t/ha,,,
W/CS/10,1987,13/11/1986,,chalk,liming process,L2,1.5,t/ha,,,
W/CS/10,1987,13/11/1986,,chalk,liming process,L3,2.5,t/ha,,,
W/CS/10,1963,19/10/1962,,Ground chalk,liming process,L3 ('C' plots),1.5,tons/acre,,,
