experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1949,fallow sections,20/07/1949,,ring rolled,,,tillage process,1,1,,,,,,,,Ring rolled and Harrowed
Broadbalk,1949,fallow sections,20/07/1949,,harrowed,,,tillage process,1,,,,,,,,,
Broadbalk,1950,cropped sections,24/08/1949,29/08/1949,ploughed,except dung plots,,tillage process,1,1,,,,,,,,Ploughed all except dung plots
Broadbalk,1950,cropped sections,05/09/1949,06/09/1949,dung ploughed in,,,tillage process,1,,,,,,,,,
Broadbalk,1950,cropped sections,05/09/1949,08/09/1949,harrowed,,,tillage process,1,1,,,,,,,,"Harrowed, seed drilled and harrowed twice"
Broadbalk,1950,cropped sections,05/09/1949,,harrowed,,,tillage process,1,2,,,,,,,,
Broadbalk,1950,cropped sections,15/10/1949,01/11/1949,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,cropped sections,04/11/1949,08/11/1949,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,cropped sections,27/04/1950,,harrowed,,,tillage process,1,1,,,,,,,,harrowed
Broadbalk,1950,cropped sections,01/05/1950,,rolled,,,tillage process,1,1,,,,,,,,rolled
Broadbalk,1950,cropped sections,08/08/1950,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1950,fallow sections,24/08/1949,29/08/1949,ploughed,except dung plots,,tillage process,1,1,,,,,,,,Ploughed all except dung plots
Broadbalk,1950,fallow sections,05/09/1949,06/09/1949,ploughed,dung plots,,tillage process,1,1,,,,,,,,Ploughed dung plots
Broadbalk,1950,fallow sections,15/10/1949,01/11/1949,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,04/11/1949,08/11/1949,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,12/12/1949,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1950,fallow sections,02/01/1950,07/01/1950,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1950,fallow sections,13/03/1950,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,22/04/1950,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,13/05/1950,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,30/05/1950,,thistlebarred,,,tillage process,1,1,,,,,,,,Thistlebarred
Broadbalk,1950,fallow sections,02/08/1950,03/08/1950,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1950,fallow sections,08/08/1950,,springtine harrowed,,,tillage process,1,1,,,,,,,,springtine harrowed
Broadbalk,1950,fallow sections,11/08/1950,,springtine cultivated,,,tillage process,1,1,,,,,,,,"Springtined, disced and ring rolled"
Broadbalk,1950,fallow sections,11/08/1950,,disced,,,tillage process,1,,,,,,,,,
Broadbalk,1950,fallow sections,11/08/1950,,ring rolled,,,tillage process,1,1,,,,,,,,
Broadbalk,1951,cropped sections,24/08/1950,,ploughed,except dung plots,,tillage process,1,1,,,,,,,,Ploughed all except dung plots
Broadbalk,1951,cropped sections,08/09/1950,,dung ploughed in,,,tillage process,1,,,,,,,,,
Broadbalk,1951,cropped sections,21/08/1951,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1951,fallow sections,24/08/1950,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1951,fallow sections,24/04/1951,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1951,fallow sections,09/07/1951,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1952,cropped sections,07/09/1951,,ploughed,,,tillage process,1,1,,,,,,,,
Broadbalk,1952,cropped sections,22/08/1952,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1952,fallow sections,06/09/1951,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1952,fallow sections,22/04/1952,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1952,fallow sections,26/06/1952,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1952,fallow sections,27/08/1952,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1953,cropped sections,03/09/1952,,ploughed,,,tillage process,1,1,,,,,,,,
Broadbalk,1953,cropped sections,25/08/1953,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1953,fallow sections,03/09/1952,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1953,fallow sections,22/03/1953,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1953,fallow sections,10/06/1953,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1954,cropped sections,16/09/1953,,ploughed,,,tillage process,1,1,,,,,,,,
Broadbalk,1954,cropped sections,30/08/1954,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1954,fallow sections,16/09/1953,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1954,fallow sections,11/12/1953,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1954,fallow sections,17/06/1954,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1954,fallow sections,17/06/1954,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1955,cropped sections,21/10/1954,,ploughed,,,tillage process,1,1,,,,,,,,
Broadbalk,1955,cropped sections,19/08/1955,,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1955,fallow sections,01/10/1954,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1955,fallow sections,21/04/1955,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1955,fallow sections,25/07/1955,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1955,fallow sections,25/07/1955,,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1956,cropped sections,01/09/1955,04/09/1955,harvested,,,harvesting process,1,,,,,,,,,harvested
Broadbalk,1956,cropped sections,07/09/1955,14/09/1955,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1956,fallow sections,07/09/1955,14/09/1955,ploughed,Ib,,tillage process,1,1,,,,,,,,(Ib) ploughed
Broadbalk,1956,fallow sections,12/05/1956,15/05/1956,ploughed,Ib,,tillage process,1,1,,,,,,,,(Ib) ploughed
Broadbalk,1956,fallow sections,12/05/1956,15/05/1956,ploughed,Ib,,tillage process,1,1,,,,,,,,(Ib) ploughed
Broadbalk Wilderness,1957,all plots,01/01/1957,05/01/1957,Shrubs grubbed out,,,shrub grubbing process,1,,,,,,,,,Shrubs grubbed out
Broadbalk Wilderness,1957,all plots,24/04/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,24/05/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,06/06/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,01/07/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,24/07/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,15/08/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1957,all plots,23/09/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk,1957,cropped sections,28/09/1956,08/10/1956,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1957,cropped sections,27/08/1957,30/08/1957,combine harvested,,,harvesting process,1,,,,,,,,,combine harvested
Broadbalk,1957,fallow sections,28/09/1956,08/10/1956,ploughed,II,,tillage process,1,1,,,,,,,,(II) ploughed
Broadbalk,1957,fallow sections,05/04/1957,05/04/1957,ploughed,II,,tillage process,1,1,,,,,,,,(II) ploughed
Broadbalk,1957,fallow sections,25/06/1957,26/06/1957,ploughed,II,,tillage process,1,1,,,,,,,,(II) ploughed
Broadbalk Wilderness,1958,all plots,01/10/1957,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,02/12/1957,06/12/1957,Shrubs grubbed out,,,shrub grubbing process,1,,,,,,,,,Shrubs grubbed out
Broadbalk Wilderness,1958,all plots,17/04/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,01/05/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,20/05/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,11/06/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,16/07/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk Wilderness,1958,all plots,08/08/1958,,part mown,,,mowing process,1,,,,,,,,,part mown
Broadbalk,1958,cropped sections,03/09/1957,17/09/1957,ploughed,,,tillage process,1,1,,,,,,,,ploughed
Broadbalk,1958,cropped sections,09/09/1958,,combine harvested,,,harvesting process,1,,,,,,,,,combine harvested
Broadbalk,1958,fallow sections,03/09/1957,17/09/1957,ploughed,V,,tillage process,1,1,,,,,,,,(V) ploughed
Broadbalk,1958,fallow sections,07/05/1958,09/05/1958,ploughed,V,,tillage process,1,1,,,,,,,,(V) ploughed
