experiment,year,cropped section,start date,end date,operation,operation type
Broadbalk,1956,cropped sections,06-Sep-55,,"Ground chalk, dung applied",
Broadbalk,1956,cropped sections,07-Sep-55,14-Sep-55,ploughed,
Broadbalk,1956,cropped sections,29-Sep-55,,autumn fertilizers applied,
Broadbalk,1956,cropped sections,02-Nov-55,,seed drilled at 2% bushels per acre,
Broadbalk,1956,cropped sections,09-May-56,10-May-56,spring fertilizers applied,
Broadbalk,1956,cropped sections,02-May-56,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1956,cropped sections,01-Sep-55,04-Sep-55,Harvested,
Broadbalk,1956,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1956,fallow sections,07-Sep-55,14-Sep-55,(IB) ploughed,
Broadbalk,1956,fallow sections,12-May-56,15-May-56,(IB) ploughed,
Broadbalk,1956,fallow sections,12-May-56,15-May-56,(IB) ploughed,
Broadbalk,1957,cropped sections,29-Sep-56,,Ground chalk applied,
Broadbalk,1957,cropped sections,04-Oct-56,,Dung applied,
Broadbalk,1957,cropped sections,28-Sep-56,08-Oct-56,ploughed,
Broadbalk,1957,cropped sections,29-Oct-56,06-Nov-56,autumn fertilizers applied,
Broadbalk,1957,cropped sections,07-Nov-56,12-Nov-56,seed drilled at 23 bushels per acre,
Broadbalk,1957,cropped sections,29-Apr-57,30-Apr-57,spring fertilizers applied,
Broadbalk,1957,cropped sections,16-May-57,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1957,cropped sections,07-May-57,,sections 1A under continuous wheat sprayed with MCPA at 3 pints in 80 gallons per acre,
Broadbalk,1957,cropped sections,27-Aug-57,30-Aug-57,combine harvested,
Broadbalk,1957,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1957,fallow sections,28-Sep-56,08-Oct-56,(II) ploughed,
Broadbalk,1957,fallow sections,05-Apr-57,05-Apr-57,(II) ploughed,
Broadbalk,1957,fallow sections,25-Jun-57,26-Jun-57,(II) ploughed,
Broadbalk,1957,fallow sections,None,,"In 1957 the plots were combine harvested for the first time, a single cut being made down the centre of each plot for the full length. The yields of the remainder of each plot(also taken by the combine) were recorded, cut the yields presented in this report acre from the central strip only. After combining,as much straw as could be picked up from this strip was veighed",
Broadbalk Wilderness,1957,all plots,01-Jan-57,05-Jan-57,Shrubs grubbed out,
Broadbalk Wilderness,1957,all plots,24-Apr-57,,part mown,
Broadbalk Wilderness,1957,all plots,24-May-57,,part mown,
Broadbalk Wilderness,1957,all plots,06-Jun-57,,part mown,
Broadbalk Wilderness,1957,all plots,01-Jul-57,,part mown,
Broadbalk Wilderness,1957,all plots,24-Jul-57,,part mown,
Broadbalk Wilderness,1957,all plots,15-Aug-57,,part mown,
Broadbalk Wilderness,1957,all plots,23-Sep-57,,part mown,
Broadbalk,1958,cropped sections,04-Sep-57,,Dung applied,
Broadbalk,1958,cropped sections,03-Sep-57,17-Sep-57,ploughed,
Broadbalk,1958,cropped sections,09-Sep-57,16-Sep-57,Ground chalk applied,
Broadbalk,1958,cropped sections,20-Nov-57,,"autumn fertilizers applied, seed drilled at 22 bushels per acre",
Broadbalk,1958,cropped sections,30-Apr-58,,"sections 44 under continuous wheat sprayed with CMPP at 6 pints in 40 gallons per acre, spring fertilizers applied",
Broadbalk,1958,cropped sections,15-May-58,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1958,cropped sections,09-Sep-57,,combine harvested,
Broadbalk,1958,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1958,fallow sections,03-Sep-57,17-Sep-57,(V) ploughed,
Broadbalk,1958,fallow sections,07-May-58,09-May-58,(V) ploughed,
Broadbalk,1958,fallow sections,29-Jul-58,31-Jul-58,(V) ploughed,
Broadbalk,1958,fallow sections,None,,"On a few plots, estimate was made of the chaff, cavings, dust, etc, not picked up by the baler",
Broadbalk Wilderness,1958,all plots,02-Dec-57,06-Dec-57,Shrubs grubbed out,
Broadbalk Wilderness,1958,all plots,17-Apr-58,,part mown,
Broadbalk Wilderness,1958,all plots,01-May-58,,part mown,
Broadbalk Wilderness,1958,all plots,20-May-58,,part mown,
Broadbalk Wilderness,1958,all plots,11-Jun-58,,part mown,
Broadbalk Wilderness,1958,all plots,16-Jul-58,,part mown,
Broadbalk Wilderness,1958,all plots,08-Aug-58,,part mown,
Broadbalk Wilderness,1958,all plots,01-Oct-57,,part mown,
Broadbalk,1959,cropped sections,22-Sep-58,,Ground chalk applied,
Broadbalk,1959,cropped sections,20-Oct-58,11-Nov-58,ploughed,
Broadbalk,1959,cropped sections,10-Nov-58,,Dung applied,
Broadbalk,1959,cropped sections,04-Dec-58,,autumn fertilizers applied,
Broadbalk,1959,cropped sections,08-Dec-58,,seed drilled at 23 bushels per acre,
Broadbalk,1959,cropped sections,27-Apr-59,,spring fertilizers applied,
Broadbalk,1959,cropped sections,06-May-59,,Second dressing of nitrate of soda applied to plot 163,
Broadbalk,1959,cropped sections,12-May-59,,sections IA under continuous wheat sprayed with MCPA/TBA at 4 pints in 40 gallons per acre,
Broadbalk,1959,cropped sections,19-Aug-59,,combine harvested,
Broadbalk,1959,cropped sections,05-Jan-59,,"variety: Squareheads Master 12/L, Note: Owing to weather conditions plot 2 was sown on",
Broadbalk,1959,cropped sections,05-Jan-59,,"variety: Squareheads Master 12/L, Note: Owing to weather conditions plot 2 was sown on",
Broadbalk,1959,fallow sections,20-Oct-58,11-Nov-58,(IV) ploughed,
Broadbalk,1959,fallow sections,09-May-59,,(IV) ploughed,
Broadbalk,1959,fallow sections,10-Aug-59,,(IV) ploughed,
Broadbalk,1959,fallow sections,None,,"On a few plots, estimate was made of the chaff, cavings, dust, etc, not picked up by the baler",
Broadbalk Wilderness,1959,all plots,09-Dec-58,,Shrubs grubbed out,
Broadbalk Wilderness,1959,all plots,20-Apr-59,,part mown,
Broadbalk Wilderness,1959,all plots,12-May-59,,part mown,
Broadbalk Wilderness,1959,all plots,25-May-59,,part mown,
Broadbalk Wilderness,1959,all plots,16-Jun-59,,part mown,
Broadbalk Wilderness,1959,all plots,15-Jul-59,,part mown,
Broadbalk,1960,cropped sections,04-Sep-59,,Ground chalk applied,
Broadbalk,1960,cropped sections,08-Sep-59,,"sections IA sprayed with 2,4-D ester at 12 pints in 40 gallons per acre",
Broadbalk,1960,cropped sections,21-Sep-59,,Dung applied,
Broadbalk,1960,cropped sections,21-Sep-59,28-Sep-59,ploughed,
Broadbalk,1960,cropped sections,07-Oct-59,,autumn fertilizers applied,
Broadbalk,1960,cropped sections,19-Oct-59,,seed drilled at 2% bushels per acre,
Broadbalk,1960,cropped sections,04-Apr-60,,spring fertilizers applied,
Broadbalk,1960,cropped sections,28-Apr-60,,Second dressing of nitrate of soda applied to plot 16; sections IA sprayed with CMPP at 6 pints in 40 gallons per acre,
Broadbalk,1960,cropped sections,31-Aug-60,09-Sep-59,combine,
Broadbalk,1960,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1960,fallow sections,21-Sep-59,28-Sep-59,(III) ploughed,
Broadbalk,1960,fallow sections,26-Apr-60,,(III) ploughed,
Broadbalk,1960,fallow sections,2e-July-1960,,(III) ploughed,
Broadbalk Wilderness,1960,all plots,18-Nov-59,27-Nov-59,Shrubs grubbed out,
Broadbalk Wilderness,1960,all plots,18-Mar-60,24-Mar-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,19-Apr-60,22-Apr-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,17-May-60,21-May-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,14-Jun-60,18-Jun-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,11-Jul-60,15-Jul-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,04-Aug-60,08-Aug-60,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,02-Sep-60,07-Sep-59,part grazed (originally mown),
Broadbalk Wilderness,1960,all plots,None,,The grass was topped after each grazing except the first two,
Broadbalk,1961,cropped sections,01-Oct-60,,Ground chalk applied,
Broadbalk,1961,cropped sections,04-Oct-60,,ploughed,
Broadbalk,1961,cropped sections,10-Oct-60,,"Dung applied, ploughed in",
Broadbalk,1961,cropped sections,17-Jan-61,,autumn fertilizers applied,
Broadbalk,1961,cropped sections,18-Jan-61,,seed drilled at 3 bushels per acre,
Broadbalk,1961,cropped sections,17-Apr-61,,spring fertilizers applied,
Broadbalk,1961,cropped sections,03-May-61,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1961,cropped sections,05-May-61,,sections TA sprayed with MCPA/TBA at 4 pints in 40 gallons per acre,
Broadbalk,1961,cropped sections,01-Sep-60,,combine,
Broadbalk,1961,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1961,fallow sections,04-Oct-60,,(Ib) ploughed,
Broadbalk,1961,fallow sections,12-Jun-61,,(Ib) ploughed,
Broadbalk,1961,fallow sections,in-July-1961,,,
Broadbalk Wilderness,1961,all plots,18-Nov-60,06-Dec-60,Shrubs grubbed out,
Broadbalk Wilderness,1961,all plots,30-Dec-60,02-Jan-61,part grazed,
Broadbalk Wilderness,1961,all plots,12-Apr-61,14-May-61,part grazed,
Broadbalk Wilderness,1961,all plots,25-May-61,30-May-61,part grazed,
Broadbalk Wilderness,1961,all plots,20-Jun-61,25-Jun-61,part grazed,
Broadbalk Wilderness,1961,all plots,10-Aug-61,15-Aug-61,part grazed,
Broadbalk Wilderness,1961,all plots,02-Sep-61,280-Sept-1961,part grazed,
Broadbalk Wilderness,1961,all plots,None,,"The grass was topped after each grazing except the first, the last",
Broadbalk,1962,cropped sections,07-Sep-61,,"Dung, ground chalk applied, all plots ploughed",
Broadbalk,1962,cropped sections,29-Sep-61,,autumn fertilizers applied,
Broadbalk,1962,cropped sections,01-Nov-61,,seed drilled at 3 bushels per acre,
Broadbalk,1962,cropped sections,17-Apr-62,,spring fertilizers applied,
Broadbalk,1962,cropped sections,24-Apr-62,,sections IA sprayed with MCPA/TBA at 4 pints in 40 gallons per acre,
Broadbalk,1962,cropped sections,04-May-62,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1962,cropped sections,15-Sep-61,,combine harvested,
Broadbalk,1962,cropped sections,None,,variety: Squareheads Master 13/4,
Broadbalk,1962,fallow sections,07-Sep-61,,(II) ploughed,
Broadbalk,1962,fallow sections,16-May-62,,(II) ploughed,
Broadbalk,1962,fallow sections,16-Jul-62,,(II) ploughed,
Broadbalk Wilderness,1962,all plots,17-Nov-62,30-Nov-62,Shrubs grubbed out,
Broadbalk Wilderness,1962,all plots,12-Dec-62,15-Dec-62,part grazed,
Broadbalk Wilderness,1962,all plots,11-May-62,30-May-62,part grazed,
Broadbalk Wilderness,1962,all plots,12-Jun-62,18-Jun-62,part grazed,
Broadbalk Wilderness,1962,all plots,27-Jul-62,01-Aug-62,part grazed,
Broadbalk Wilderness,1962,all plots,06-Sep-62,26-Sep-62,part grazed,
Broadbalk Wilderness,1962,all plots,25-May-62,,grass topped,
Broadbalk Wilderness,1962,all plots,13-Aug-62,,grass topped,
Broadbalk Wilderness,1962,all plots,26-Sep-62,,grass topped,
Broadbalk,1963,cropped sections,27-Sep-62,,Ground chalk applied,
Broadbalk,1963,cropped sections,27-Sep-62,05-Oct-62,ploughed,
Broadbalk,1963,cropped sections,4h-Oct-1962,,Dung applied,
Broadbalk,1963,cropped sections,23-Oct-62,,autumn fertilizers applied,
Broadbalk,1963,cropped sections,30-Nov-62,,seed drilled at 3 bushels per acre,
Broadbalk,1963,cropped sections,24-Apr-63,,spring fertilizers applied,
Broadbalk,1963,cropped sections,06-May-63,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1963,cropped sections,16-May-63,,"sections IA and VB sprayed with mecoprop/2,4-D at 7 pints in 40 gallons per acre",
Broadbalk,1963,cropped sections,13-Sep-62,,combine harvested,
Broadbalk,1963,cropped sections,None,,variety: Squareheads Master 13/4 (Rothamsted seed from Broadbalk field),
Broadbalk,1963,fallow sections,27-Sep-62,05-Oct-62,(NA) ploughed,
Broadbalk,1963,fallow sections,29-May-63,,(NA) ploughed,
Broadbalk,1963,fallow sections,i6-July-1963,,(NA) ploughed,
Broadbalk,1963,fallow sections,None,,"Note: There was a heavy attack of wheat bulb FYM Leptohylemia coarctata) on all plots of sections II last after fallow, (n plots lO, all, lo and 14 the rop failed, was not harvested, part of plot 19 sections IV) - the crop was heavily infested with creeping grass (Holcus mollis, Agrostis stolonifera), and the harvested acre was modified",
Broadbalk Wilderness,1963,ungrazed meadow,26-Mar-63,,Shrubs grubbed out,
Broadbalk Wilderness,1963,ungrazed meadow,26-Mar-63,,Shrubs grubbed out,
Broadbalk Wilderness,1963,grazed meadow,22-Apr-63,07-May-63,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,01-Jun-63,lb-June-1963,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,à-July-1963,13-Jul-63,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,16-Aug-63,21-Aug-63,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,03-Sep-63,,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,à-Nov-1963,13-Nov-62,grazed by sheep,
Broadbalk Wilderness,1963,grazed meadow,08-May-63,,grass topped,
Broadbalk Wilderness,1963,grazed meadow,13-Jun-63,,grass topped,
Broadbalk Wilderness,1963,grazed meadow,12-Jul-63,,grass topped,
Broadbalk Wilderness,1963,grazed meadow,19-Aug-63,,grass topped,
Broadbalk Wilderness,1963,woodland,30-Jul-63,06-Aug-63,"(south): east, east sides trimmed",
Broadbalk,1964,cropped sections,19-Sep-63,,Ground chalk applied to sections VA (first half of 5 ton dressing,
Broadbalk,1964,cropped sections,23-Sep-63,,"Ground chalk applied to plot 19, sections IV at 5 tons",
Broadbalk,1964,cropped sections,23-Sep-63,,Normal annual dressing of ground chalk applied to plots,
Broadbalk,1964,cropped sections,01-Oct-63,,Normal annual dressing of ground chalk applied to plots,
Broadbalk,1964,cropped sections,24-Sep-63,,Dung applied,
Broadbalk,1964,cropped sections,02-Oct-63,,ploughed,
Broadbalk,1964,cropped sections,11-Oct-63,,Ground chalk applied to sections VA (remainder of 5 ton dressing,
Broadbalk,1964,cropped sections,15-Oct-63,,autumn fertilizers applied,
Broadbalk,1964,cropped sections,30-Nov-63,,seed drilled at 3 bushels,
Broadbalk,1964,cropped sections,13-Apr-64,,spring fertilizers applied,
Broadbalk,1964,cropped sections,17-Apr-64,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1964,cropped sections,07-May-64,,all sections except VA sprayed with dicamba/MCPA ('Banlene' at 4 pints in 40 gals),
Broadbalk,1964,cropped sections,2T-Aug-1964,,combine harvested,
Broadbalk,1964,cropped sections,None,,variety: Squareheads Master 13/4 (Rothamsted seed from Broadbalk field),
Broadbalk,1964,fallow sections,25-Sep-63,02-Oct-63,(IV) ploughed,
Broadbalk,1964,fallow sections,04-May-64,,(IV) ploughed,
Broadbalk,1964,fallow sections,09-Jul-64,,(IV) ploughed,
Broadbalk Wilderness,1964,ungrazed meadow,18-Dec-63,31-Dec-63,Shrubs grubbed out,
Broadbalk Wilderness,1964,ungrazed meadow,18-Dec-63,31-Dec-63,Shrubs grubbed out,
Broadbalk Wilderness,1964,grazed meadow,28-Apr-64,07-May-64,grazed by sheep,
Broadbalk Wilderness,1964,grazed meadow,h-June-1964,09-Jun-64,grazed by sheep,
Broadbalk Wilderness,1964,grazed meadow,08-Jul-64,13-Jul-64,grazed by sheep,
Broadbalk Wilderness,1964,grazed meadow,14-Aug-64,18-Aug-64,grazed by sheep,
Broadbalk Wilderness,1964,grazed meadow,08-May-64,,grass topped,
Broadbalk Wilderness,1964,grazed meadow,13-Jun-64,,grass topped,
Broadbalk Wilderness,1964,grazed meadow,13-Jul-64,,grass topped,
Broadbalk Wilderness,1964,grazed meadow,18-Aug-64,,grass topped,
Broadbalk Wilderness,1964,grazed meadow,12-Nov-64,,grass topped,
Broadbalk,1965,cropped sections,09-Sep-64,,Ground chalk applied,
Broadbalk,1965,cropped sections,09-Oct-64,1h-Oct-1964,ploughed,
Broadbalk,1965,cropped sections,13-Oct-64,,Dung applied,
Broadbalk,1965,cropped sections,19-Oct-64,,autumn fertilizers applied,
Broadbalk,1965,cropped sections,26-Oct-64,,seed drilled at 180 lb,
Broadbalk,1965,cropped sections,26-Apr-65,,spring fertilizers applied,
Broadbalk,1965,cropped sections,10-May-65,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1965,cropped sections,11-May-65,,"sprayed* with MCPA at 1.13 1b, dicamba at 0.08 lb in 34 gals",
Broadbalk,1965,cropped sections,21-Sep-64,,combine harvested,
Broadbalk,1965,cropped sections,None,,variety: Squareheads Master 13/4 (Rothamsted seed from Broadbalk field),
Broadbalk,1965,fallow sections,09-Oct-64,14-Oct-64,(IV) ploughed,
Broadbalk,1965,fallow sections,03-Nov-64,,(IV) ploughed,
Broadbalk,1965,fallow sections,21-Jul-65,,(IV) ploughed,
Broadbalk,1965,fallow sections,21-Jul-65,,(IV) ploughed,
Broadbalk Wilderness,1965,ungrazed meadow,03-Nov-64,19-Nov-64,Shrubs grubbed out,
Broadbalk Wilderness,1965,ungrazed meadow,03-Nov-64,19-Nov-64,Shrubs grubbed out,
Broadbalk Wilderness,1965,grazed meadow,26-Apr-65,04-May-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,22-May-65,28-May-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,15-Jun-65,25-Jun-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,19-Jul-65,29-Jul-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,18-Aug-65,31-Aug-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,04-Oct-65,04-Nov-65,grazed by sheep,
Broadbalk Wilderness,1965,grazed meadow,03-May-65,,grass topped,
Broadbalk Wilderness,1965,grazed meadow,28-May-65,,grass topped,
Broadbalk Wilderness,1965,grazed meadow,25-Jun-65,,grass topped,
Broadbalk Wilderness,1965,grazed meadow,29-Jul-65,,grass topped,
Broadbalk Wilderness,1965,grazed meadow,01-Sep-65,,grass topped,
Broadbalk Wilderness,1965,grazed meadow,None,,* Except sections SA,
Broadbalk,1966,cropped sections,04-Oct-65,,"sections IA all plots), plot 20 sections IB and II) sprayed with aminotriazole at 4 lb, ammonia thiocyanate at 3.7 lb",
Broadbalk,1966,cropped sections,7T-Oct-1965,,Ground chalk applied,
Broadbalk,1966,cropped sections,28-Oct-65,,Dung applied,
Broadbalk,1966,cropped sections,29-Oct-65,,ploughed,
Broadbalk,1966,cropped sections,l-Nov-1965,,=-,
Broadbalk,1966,cropped sections,15-Nov-65,,autumn fertilizers applied,
Broadbalk,1966,cropped sections,07-Jan-66,,seed drilled etc 187 lb,
Broadbalk,1966,cropped sections,02-May-66,,spring fertilizers applied,
Broadbalk,1966,cropped sections,16-May-66,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1966,cropped sections,16-May-66,,"sprayed with Ioxynil/mecoprop (Actril C at 6 pints in ho gals), all sections except VA",
Broadbalk,1966,cropped sections,06-Sep-65,,combine harvested,
Broadbalk,1966,cropped sections,None,,variety: Squareheads Master 13/4 (Rothamsted seed from Broadbalk field),
Broadbalk,1966,fallow sections,29-Oct-65,01-Nov-65,(IB) ploughed,
Broadbalk,1966,fallow sections,23-May-66,,(IB) ploughed,
Broadbalk,1966,fallow sections,14-Jul-66,15-Jul-66,(IB) ploughed,
Broadbalk Wilderness,1966,ungrazed meadow,06-Dec-65,10-Dec-65,Shrubs grubbed out,
Broadbalk Wilderness,1966,ungrazed meadow,06-Dec-65,10-Dec-65,Shrubs grubbed out,
Broadbalk Wilderness,1966,grazed meadow,06-May-66,12-May-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,27-May-66,03-Jun-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,21-Jun-66,29-Jun-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,19-Jul-66,1l-Aug-1966,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,24-Aug-66,30-Aug-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,23-Sep-66,30-Sep-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,16-Nov-66,18-Nov-66,grazed by sheep,
Broadbalk Wilderness,1966,grazed meadow,12-May-66,,grass topped,
Broadbalk Wilderness,1966,grazed meadow,03-Jun-66,,grass topped,
Broadbalk Wilderness,1966,grazed meadow,29-Jun-66,,grass topped,
Broadbalk Wilderness,1966,grazed meadow,01-Aug-66,,grass topped,
Broadbalk Wilderness,1966,grazed meadow,30-Aug-66,,grass topped,
Broadbalk Wilderness,1966,grazed meadow,30-Sep-66,,grass topped,
Broadbalk,1967,cropped sections,16-Sep-66,,"sections IA, sprayed with aminotriazole at l lb, ammonia thiocyanate at 3.7 lb in 40 gals",
Broadbalk,1967,cropped sections,21-Sep-66,,Ground chalk applied,
Broadbalk,1967,cropped sections,12-Oct-66,,ploughed,
Broadbalk,1967,cropped sections,14-Oct-66,,"Dung applied, ploughed in",
Broadbalk,1967,cropped sections,02-Nov-66,,autumn fertilizers applied,
Broadbalk,1967,cropped sections,03-Nov-66,,"rotary cultivated, seed drilled at 185 lb",
Broadbalk,1967,cropped sections,19-Apr-67,,spring fertilizers applied,
Broadbalk,1967,cropped sections,27-Apr-67,,Second dressing of nitrate of soda applied to plot 16,
Broadbalk,1967,cropped sections,01-May-67,,all sections except Va sprayed with ioxynil/mecoprop (Actril C at 6 pints in 20 gals),
Broadbalk,1967,cropped sections,31-Aug-67,,combine harvested,
Broadbalk,1967,cropped sections,None,,variety: Squareheads Master 13/4 (Rothamsted seed from Broadbalk field),
Broadbalk,1967,fallow sections,12-Oct-66,,(II) ploughed,
Broadbalk,1967,fallow sections,03-Nov-66,,rotary cultivated,
Broadbalk,1967,fallow sections,29-Mar-67,,ploughed,
Broadbalk,1967,fallow sections,05-Jul-67,,ploughed,
Broadbalk,1967,fallow sections,05-Jul-67,,ploughed,
Broadbalk Wilderness,1967,ungrazed meadow,22-Oct-66,Ds-Dec-1966,Shrubs grubbed out,
Broadbalk Wilderness,1967,ungrazed meadow,22-Oct-66,Ds-Dec-1966,Shrubs grubbed out,
Broadbalk Wilderness,1967,grazed meadow,10-Apr-67,18-Apr-67,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,15-May-67,2h-May-1967,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,19-Jun-67,03-Jul-67,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,2h-July-1967,h-Aug-1967,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,30-Aug-67,all-Sept-1967,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,03-Oct-67,10-Oct-67,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,h-Nov-1967,08-Nov-67,grazed by sheep,
Broadbalk Wilderness,1967,grazed meadow,19-Apr-67,,grass topped,
Broadbalk Wilderness,1967,grazed meadow,2h-May-1967,,grass topped,
Broadbalk Wilderness,1967,grazed meadow,03-Jul-67,,grass topped,
Broadbalk Wilderness,1967,grazed meadow,04-Aug-67,,grass topped,
Broadbalk Wilderness,1967,grazed meadow,l1-Sept-1966,,grass topped,
Broadbalk,1968,all sections,11-Sep-67,,Ground chalk applied (including extra chalking),
Broadbalk,1968,all sections,18-Sep-67,,FYM applied,
Broadbalk,1968,all sections,19-Sep-67,,"Plots 1 3 ploughed, all autumn fertilizers applied",
Broadbalk,1968,all sections,20-Sep-67,,remaining plots ploughed,
Broadbalk,1968,winter wheat,07-Dec-67,,seed drilled at 180 lb,
Broadbalk,1968,winter wheat,10-Apr-68,,'Nitrochalk' applied (plot 20 omitted in error),
Broadbalk,1968,winter wheat,04-May-68,,"all sections except 8, 9 sprayed with ioxynil at 9 oz and mecoprop at 27 oz in 20 gals",
Broadbalk,1968,winter wheat,06-May-68,,"sections 9 sprayed with toxynil at 9 oz, mecoprop at 27 oz in 20 gals, sections 5 sprayed with ioxynil at 7.5 oz, mecoprop at 22.5 oz in 20 gals, sections 0, 1, 3, 4 sprayed with ioxynil at 6 oz, mecoprop at 18 oz in 20 gals",
Broadbalk,1968,winter wheat,17-Jun-68,,"The second sprayed was applied because of rain during spring on 4th May, Nitro-chalk' applied to plot 20",
Broadbalk,1968,winter wheat,26-Aug-68,,combine harvested,
