Experiment,year,comment,
RW/CS/216,1980, Nutrient contents of grain were measured. ,
RW/CS/216,1980, 0n Delharding (R) some plots were damaged by sparrows ear  ' maturity. A hand harvest yield was obtained from all plots from undamaged areas. combine harvester yield were also obtained except for top of the replicates of WPK 00 on which there was insufficient undamaged area remaining. combine harvester yield acre presented with the top missing plots estimated from the hand harvested yield. 173,
RW/CS/216,1981," The rates of P and K were 1930 kg P505, as triple superphosphate and 460 kg K,0 as muriate of potash. ",
RW/CS/216,1981," In autumn 1977 the farm Standard, unwinged, subsoiler was set to work at a depth of 38 cm at intervals of 50 cm Delharding (R) and at a depth of 50 cm at intervals of 70 cm Road Piece (W).  In autumn 1979 it was set to work at a depth of 56 cm at intervals of 76 cm Delharding (R) and 142 cm Road Piece (W). ",
RW/CS/216,1981," In autumn 1977 the N.C.A.E. winged subsoiler had a Sting tine set to work at a depth of 40 cm at intervals of 60 cm on plots not given P and K and at alternate depths of 30 cm and 40 cm sprayed 30 cm apart on plots given P and K; fertilizers was applied behind the subsoiler pints. In autumn 1979 the winged subsoiler had three tines, the centre tine preceding the NOTES, all set to work at a depth of 40 cm sprayed 40 cm apart. ",
RW/CS/216,1981, The rye double digger turned a furrow with a conventional ploughed to a depth of 23 cm and at the same time rotary cultivated the bottom of the furrow to a further depth of 15 cm. When applying P & K this was distributed had of the rotary cultivator.,
RW/CS/216,1982," The rates of P and K were 1930 kg Pos» as triple superphosphate and 460 kg K,0 as muriate of potash. ",
RW/CS/216,1982," In autumn 1977 the farm Standard, unwinged, subsoiler was set to work at a depth of 38 cm at intervals of 50 cm Delharding (R)  . and at a depth of 50 cm at intervals of 70 cm Road Piece (W). In autumn 1979 it was set to work at a depth of 56 cm at intervals of 76 cm Delharding (R) and 142 cm Road Piece (W). ",
RW/CS/216,1982," In autumn 1977 the N.C.A.E. winged subsoiler had a Sting tine set to work at a depth of 40 cm at intervals of 60 cm on plots not given P and K and at alternate depths of 30 cm and 40 cm sprayed 30 cm apart on plots gíven P and K; fertilizers was applied behind the subsoiler pints. In autumn 1979 the winged subsoiler had three tines, the centre tine preceding the NOTES, all set to work at a depth of 40 cm sprayed 40 cm apart. ",
RW/CS/216,1982, The rye double digger turned a furrow with a conventional ploughed to a depth of 23 cm and at the same time rotary cultivated the bottom of the furrow to a further depth of 15 cm. When applying P &K this was distributed had of the rotary cultivator.,
RW/CS/216,1983," The rates of P and K were 1930 kg P205, as triple ‘ superphosphate and 460 kg K20 as muriate of potash. we ",
RW/CS/216,1983," In autumn 1977 the farm Standard, unwinged, subsoiler was set/fo work at a depth of 38 cm at intervals of 50 cm Delharding (R) . and at a depth of 50 cm at intervals of 70 cm Road Piece. ^ ^ In autumn 1979 it was set to work at a depth of 56 cm at ^ intervals of 76 cm Delharding (R) and 142 cm Road Piece (Ww) . ",
RW/CS/216,1983," In autumn 1977 the N.C.A.E. winged subsoiler had a Sting tine set to work at a depth of 40 cm at íntervals of 60 cm.on plots not given P and K and at alternate depths of 30 cm and 40.cm sprayed 30 cm apart on plots given P and K; fertilizers was applied behind the subsoiler pints. In autumn 1979 the winged subsoiler had three tines, the centre tine preceding the NOTES, all set to work at a depth of 40 cm sprayed 40 cm apart. ",
RW/CS/216,1983, The rye double digger turned a furrow with a conventional ploughed ," to a depth of 23 cm and at the same time rotary cultivated the  , bottom of the furrow to a further depth of 15 cm. When applying P &K this was distributed had of the rotary cultivator,  132"
RW/CS/216,1984," The rates of P and K were 1930 kg P50, as triple superphosphate and 460 kg K0 as muriate of potash. ",
RW/CS/216,1984," In autumn 1977 the farm Standard, unwinged, subsoiler was set to work at a depth of 38 cm at intervals of 50 cm Delharding (R) and at a depth of 50 cm at intervals of 70 cm Road Piece (W).  In autumn 1979 it was set to work at a depth of 56 cm at intervals of 76 cm Delharding (R) and 142 cm Road Piece (W). ",
RW/CS/216,1984," Im autumn 1977 the N.C.A.E. winged subsoiler had a Sting tine set to work at a depth of 40 cm at intervals of 60 cm on plots not given P and K and at alternate depths of 30 cm and 40 cm sprayed 30 cm apart on plots given P and K; fertilizers was applied behind the subsoiler pints. In autumn 1979 the winged subsoiler had three tines, the centre tine preceding the NOTES, all set to work at a depth of 40 cm sprayed 40 cm apart. ",
RW/CS/216,1984," new rye double digger turned a furrow with a conventional ploughed to a depth of 23 cm and at the same time rotary cultivated the bottom of the furrow to a further depth of 15 cm, When applying P & K this was distributed had of the rotary cultivator.  135",
RW/CS/216,1985," The rates of P and K were 1930 kg P205, as triple superphosphate and 460 kg K20 as muriate of potash, ",
RW/CS/216,1985," In autumn 1977 the farm Standard, unwinged, subsoiler was set to work at a depth of 38 cm at intervals of 50 cm Delharding (R) and at a depth of 50 cm at intervals of 70 cm Road Piece (W). In autumn 1979 it was set to work at a depth of 56 cm at intervals of 76 cm Delharding (R) and 142 cm Road Piece (W). ",
RW/CS/216,1985," Im autumn 1977 the N.C.A.E. winged subsoiler had a Sting tine set to work at a depth of 40 cm at intervals of 60 cm on plots not given P and K and at alternate depths of 30 cm and 40 cm sprayed 30 cm apart on plots given P and K; fertilizers was applied behind the subsoiler pints. In autumn 1979 the winged subsoiler had three tines, the centre tíne preceding the NOTES, all set to work at a depth of 40 cm sprayed 40 cm apart, ",
RW/CS/216,1985," The rye double digger turned a furrow with a conventional ploughed to a depth of 23 cm and at the same time rotary cultivated the bottom of the furrow to a further depth of 15 cm, When applying P and K this was distributed had of the rotary cultivator.  s 125",
