Experiment,year,section,new start date,new end date,operation,intensity,plots,flag,operation type,amount,unit,water,water unit,crop,variety,dressing,machine,method
Exhaustion Land,2005,all plots,15/05/2005,,Opus,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,15/05/2005,,Starane 2,,,4,chemical pest control process,0.5,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,31/05/2005,,Opus,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,31/05/2005,,Amistar Opti,,,4,chemical pest control process,1.5,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,07/05/2005,,Amistar,,,4,chemical pest control process,0.3,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,07/05/2005,,Folicur,,,4,chemical pest control process,0.3,l/ha,200,l/ha,,,,,
Exhaustion Land,2005,all plots,07/05/2005,,Dursban 4,,,4,chemical pest control process,0.6,,200,l/ha,,,,,
Exhaustion Land,2006,all plots,17/10/2005,,Ice,,,4,chemical pest control process,4,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,05/12/2005,,Hallmark with Zeon Technology,,,4,chemical pest control process,50,ml/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/04/2006,,Opus,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/04/2006,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/04/2006,,Flexity,,,4,chemical pest control process,0.2,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/05/2006,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/05/2006,,Opus,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/05/2006,,Vivid,,,4,chemical pest control process,0.4,,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/05/2006,,Starane 2,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2006,all plots,21/05/2006,,Ally Max SX,,,4,chemical pest control process,42,g/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,13/10/2006,,Barclay Gallup 360,,,4,chemical pest control process,4,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,11/04/2007,,Pacifica,,,4,chemical pest control process,0.5,kg/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,11/04/2007,,Biopower,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,23/04/2007,,Clean Crop Wanderer,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,23/04/2007,,Deuce,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,26/04/2007,,Nitraprill,,,4,chemical pest control process,580,kg/ha,,,,,,,
Exhaustion Land,2007,all plots,22/05/2007,,Amistar Opti,,,4,chemical pest control process,1.25,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,22/05/2007,,Opus,,,4,chemical pest control process,0.8,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,03/11/2007,,Ice,,,4,chemical pest control process,4,l/ha,200,l/ha,,,,,
Exhaustion Land,2007,all plots,08/12/2007,,Entice,,,4,chemical pest control process,7,kg/ha,,,,,,,
Exhaustion Land,2007,all plots,27/08/2007,,straw chopped Odds & Ends,,,4,chemical pest control process,,,,,,,,,
Exhaustion Land,2008,all plots,30/09/2007,,Glyphosate 360,,,4,chemical pest control process,3,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,30/10/2007,,Huron,,,4,chemical pest control process,5,kg/ha,,,,,,,
Exhaustion Land,2008,all plots,02/11/2007,,Liberator,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,02/11/2007,,Alpha Trifluralin 48 EC,,,4,chemical pest control process,2,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,17/11/2007,,Stomp 400 SC,,,4,chemical pest control process,3.3,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,17/11/2007,,Arelon 500,,,4,chemical pest control process,2,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,17/11/2007,,Hallmark with Zeon Technology,,,4,chemical pest control process,50,ml/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,18/04/2008,,Nitraprill,,,4,chemical pest control process,580,kg/ha,,,,,,,
Exhaustion Land,2008,all plots,08/05/2008,,Deuce,,,4,chemical pest control process,1,l/ha,150,l/ha,,,,,
Exhaustion Land,2008,all plots,08/05/2008,,Bravo 500,,,4,chemical pest control process,0.75,l/ha,150,l/ha,,,,,
Exhaustion Land,2008,all plots,08/05/2008,,Flexity,,,4,chemical pest control process,0.2,l/ha,150,l/ha,,,,,
Exhaustion Land,2008,all plots,08/05/2008,,BASF 3C Chlormequat 720,,,4,chemical pest control process,1,l/ha,150,l/ha,,,,,
Exhaustion Land,2008,all plots,19/05/2008,,Ally Max SX,,,4,chemical pest control process,42,g/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,19/05/2008,,Starane 2,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,21/05/2008,,Nitraprill,,,4,chemical pest control process,145,kg/ha,,,,,,,
Exhaustion Land,2008,all plots,31/05/2008,,Amistar Opti,,,4,chemical pest control process,1.25,l/ha,200,l/ha,,,,,
Exhaustion Land,2008,all plots,31/05/2008,,Opus Team,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2009,all plots,18/10/2008,,Liberator,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,
Exhaustion Land,2009,all plots,17/12/2008,,Stomp 400 SC,,,4,chemical pest control process,3.3,l/ha,,,,,,,
Exhaustion Land,2009,all plots,17/12/2008,,Arelon 500,,,4,chemical pest control process,3,l/ha,,,,,,,
Exhaustion Land,2009,all plots,17/12/2008,,Hallmark with Zeon Technology,,,4,chemical pest control process,50,ml/ha,,,,,,,
Exhaustion Land,2009,all plots,14/04/2009,,Pacifica,,,4,chemical pest control process,0.4,kg/ha,,,,,,,
Exhaustion Land,2009,all plots,20/04/2009,,nitram,,,4,chemical pest control process,580,kg/ha,,,,,,,
Exhaustion Land,2009,all plots,20/04/2009,,Cherokee,,,4,chemical pest control process,1,l/ha,,,,,,,
Exhaustion Land,2009,all plots,02/05/2009,,Splice,,,4,chemical pest control process,1,l/ha,,,,,,,
Exhaustion Land,2009,all plots,02/05/2009,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,
Exhaustion Land,2009,all plots,02/05/2009,,Talus,,,4,chemical pest control process,0.13,l/ha,,,,,,,
Exhaustion Land,2009,all plots,02/05/2009,,BASF 3C Chlormequat 720,,,4,chemical pest control process,2.25,l/ha,,,,,,,
Exhaustion Land,2009,all plots,04/05/2009,,Ally Max SX,,,4,chemical pest control process,42,g/ha,,,,,,,
Exhaustion Land,2009,all plots,13/05/2009,,nitram,,,4,chemical pest control process,145,kg/ha,,,,,,,
Exhaustion Land,2009,all plots,28/05/2009,,Brutus,,,4,chemical pest control process,1.5,l/ha,,,,,,,
Exhaustion Land,2009,all plots,28/05/2009,,Amistar Opti,,,4,chemical pest control process,1.25,l/ha,,,,,,,
Exhaustion Land,2009,all plots,04/05/2009,,Agriguard Fluroxypyr,,,4,chemical pest control process,0.75,l/ha,,,,,,,
Exhaustion Land,2010,all plots,05/10/2009,,Liberator,,,4,chemical pest control process,166,l/ha,200,l/ha,,,,,
Exhaustion Land,2010,all plots,10/04/2010,,Cherokee,,,4,chemical pest control process,1,l/ha,146,l/ha,,,,,
Exhaustion Land,2010,all plots,18/04/2010,,Attribut,,,4,chemical pest control process,100,g/ha,146,l/ha,,,,,
Exhaustion Land,2010,all plots,18/04/2010,,Amber,,,4,chemical pest control process,1,l/ha,146,l/ha,,,,,
Exhaustion Land,2010,all plots,18/04/2010,,Oxytril CM,,,4,chemical pest control process,1,l/ha,146,l/ha,,,,,
Exhaustion Land,2010,all plots,06/05/2010,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2010,all plots,06/05/2010,,Tracker,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,
Exhaustion Land,2010,all plots,06/05/2010,,Chlormequat 3C,,,4,chemical pest control process,2.25,l/ha,200,l/ha,,,,,
Exhaustion Land,2010,all plots,18/05/2010,,Tomahawk,,,4,chemical pest control process,1,l/ha,,,,,,,
Exhaustion Land,2010,all plots,18/05/2010,,Cleancrop Gallifrey,,,4,chemical pest control process,1,l/ha,,,,,,,
Exhaustion Land,2010,all plots,02/06/2010,,Comet,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,
Exhaustion Land,2010,all plots,02/06/2010,,Opus,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,
Exhaustion Land,2011,all plots,17/10/2010,,Regatta,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,28/03/2011,,Cherokee,,winter wheat plots,4,chemical pest control process,1.25,l/ha,118,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,05/05/2011,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,05/05/2011,,Tracker,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,05/05/2011,,Agriguard Chlormequat 720,,,4,chemical pest control process,2.25,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,19/05/2011,,Opus,,,4,chemical pest control process,0.8,l/ha,100,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,05/05/2011,,Ally Max,,,4,chemical pest control process,42,g/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,05/05/2011,,Starane 2,,,4,chemical pest control process,0.75,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,19/05/2011,,Comet 200,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2011,all plots,19/05/2011,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,14/10/2011,,Liberator,,,4,chemical pest control process,0.6,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,22/03/2012,,Cherokee SE,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,05/05/2012,,Ally Max,,,4,chemical pest control process,42,g/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,05/05/2012,,Bravo 500,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,05/05/2012,,Tracker,,,4,chemical pest control process,1,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,05/05/2012,,Agriguard,,,4,chemical pest control process,2.25,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,05/05/2012,,Starane 2,,,4,chemical pest control process,0.5,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,23/05/2012,,Opus,,,4,chemical pest control process,0.8,l/ha,,,,,,,sprayed
Exhaustion Land,2012,all plots,23/05/2012,,Comet,,,4,chemical pest control process,0.6,l/ha,,,,,,,sprayed
Exhaustion Land,2012,all plots,23/05/2012,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2012,all plots,13/06/2012,,Amistar,,,4,chemical pest control process,0.3,l/ha,100,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,07/08/2012,,Samurai,,,4,chemical pest control process,3,l/ha,,,,,,,sprayed
Exhaustion Land,2012,all plots,20/09/2012,,Weedazol EW,,,4,chemical pest control process,20,l/ha,,,,,,,sprayed
Exhaustion Land,2012,all plots,13/06/2013,,Prosaro,,,4,chemical pest control process,0.7,l/ha,100,l/ha,,,,,sprayed
Exhaustion Land,2012,all plots,22/03/2012,,Justice,,,4,chemical pest control process,0.125,l/ha,200,l/ha,,,,,sprayed
Exhaustion Land,2013,all plots,20/09/2012,,Weedazol EW,,,4,chemical pest control process,20,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,15/11/2012,,"Liberator, also O&E's at each end of EX/4",,,4,chemical pest control process,0.6,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,15/11/2012,,Spread Slug Pellets (Gusto),,,4,chemical pest control process,5,kg/ha,,,,,,,
Exhaustion Land,2013,all plots,16/05/2013,,Ally Max,,,4,chemical pest control process,42,g/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,16/05/2013,,Kingdom,,,4,chemical pest control process,1.25,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,16/05/2013,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,16/05/2013,,NewCycocel,,,4,chemical pest control process,2,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,16/05/2013,,Hatchet Extra,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,06/06/2013,,Ingite,,,4,chemical pest control process,1.2,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,18/06/2013,,Cello,,,4,chemical pest control process,0.55,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,15/11/2012,,"PDM, also O&E's at each end of EX/4",,,4,chemical pest control process,2.7,l/ha,,,,,,,sprayed
Exhaustion Land,2013,all plots,06/06/2013,,Comet,,,4,chemical pest control process,0.4,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,27/11/2013,,Applied Major Slug Pellets,,,4,chemical pest control process,4,kg/ha,,,,,,,
Exhaustion Land,2014,all plots,27/11/2013,,Hallmark,,,4,chemical pest control process,50,ml/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,27/11/2013,,Liberator,,,4,chemical pest control process,600,ml/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,27/11/2013,,Stomp,,,4,chemical pest control process,1.7,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,03/04/2014,,Artemis,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,03/04/2014,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,03/04/2014,,BASF 3C Chlormequat 720,,,4,chemical pest control process,1.75,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,16/05/2014,,Simba,,,4,chemical pest control process,30,g/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,06/06/2014,,Cello,,,4,chemical pest control process,550,ml/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,28/04/2014,,Kingdom,,,4,chemical pest control process,1.25,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,28/04/2014,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2014,all plots,16/05/2014,,Vortex,,,4,chemical pest control process,1.5,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,10/11/2014,,Crystal,,,4,chemical pest control process,4,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,04/12/2014,,Hallmark,,,4,chemical pest control process,50,ml/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,05/04/2015,,Artemis,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,05/04/2015,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,05/04/2015,,Chlormequat 750,,,4,chemical pest control process,1.25,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,05/04/2015,,Moddus,,,4,chemical pest control process,150,ml/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/04/2015,,Kingdom,,,4,chemical pest control process,1.25,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/04/2015,,Balear 720,,,4,chemical pest control process,700,ml/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/05/2015,,Ally Max,,,4,chemical pest control process,30,g/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/05/2015,,Gemstone,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/05/2015,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,15/06/2015,,Proline onto WW,,,4,chemical pest control process,500,ml/ha,,,,,,,sprayed
Exhaustion Land,2015,all plots,27/08/2015,,Bassoon,,,4,chemical pest control process,750,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,25/08/2015,,Firebrand,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,25/08/2015,,Samurai,,,4,chemical pest control process,4,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,25/08/2015,,Firebrand,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,19/10/2015,,Liberater - winter wheat,,,4,chemical pest control process,0.6,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,19/10/2015,,Stomp Aqua - winter wheat,,,4,chemical pest control process,1.75,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,12/11/2015,,Hallmark,,,4,chemical pest control process,40,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,03/12/2015,,Applied TDS Major,,,4,chemical pest control process,5,kg/ha,,,,,,,
Exhaustion Land,2016,p test,12/12/2015,,Hallmark,,,4,chemical pest control process,40,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,08/04/2016,,Moddus,,,4,chemical pest control process,150,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,08/04/2016,,BASF 3C Chlormequat 750,,,4,chemical pest control process,1.25,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,08/04/2016,,Odin,,,4,chemical pest control process,500,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,08/04/2016,,Mirage 40ec,,,4,chemical pest control process,500,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,08/04/2016,,Bravo 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,05/05/2016,,Keystone in wheat only,,,4,chemical pest control process,800,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,05/05/2016,,Balear 720,,,4,chemical pest control process,700,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,24/05/2016,,Vortex,,,4,chemical pest control process,1.5,l/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,24/05/2016,,Corbel,,,4,chemical pest control process,250,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,09/07/2016,,Cello,,,4,chemical pest control process,550,ml/ha,,,,,,,sprayed
Exhaustion Land,2016,p test,09/07/2016,,Hallmark,,,4,chemical pest control process,50,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,15/10/2016,,Liberator,,,4,chemical pest control process,600,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,15/10/2016,,Defy,,,4,chemical pest control process,3,l/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,15/10/2016,,Deploy,,,4,chemical pest control process,400,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,02/12/2016,,Hallmark,,,4,chemical pest control process,50,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,05/04/2017,,Artemis,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,05/04/2017,,Claw 500,,,4,chemical pest control process,1,l/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,05/04/2017,,BASF 3C Chlormequat 750,,,4,chemical pest control process,2,l/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,27/04/2017,,keystone,,,4,chemical pest control process,600,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,27/04/2017,,Epic,,,4,chemical pest control process,400,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,27/04/2017,,Balear 720sc,,,4,chemical pest control process,700,ml/ha,,,,,,,sprayed
Exhaustion Land,2017,all plots,19/06/2017,,Fezan (Tebuconazole),,,4,chemical pest control process,750,ml/ha,,,,,,,sprayed
