Experiment,year,section,new start date,new end date,operation,intensity,plots,flag,operation type,amount,unit,water,water unit,crop,variety,dressing,machine,method
Exhaustion Land,1957,barley - eastern half,18/03/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,barley - eastern half,18/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,to seedbed
Exhaustion Land,1957,kale - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,kale - eastern half,02/07/1957,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,top dressing
Exhaustion Land,1957,kale - eastern half,13/07/1957,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,top dressing
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,sulphate of ammonia,,,2,agronomic fertilization process,1,cwtN/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,sulphate of ammonia,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,sulphate of ammonia,,,2,agronomic fertilization process,1,cwtN/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,sulphate of ammonia,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,barley - western half,17/04/1958,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,2.5,cwt/acre,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,to seedbed
Exhaustion Land,1958,kale - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,kale - eastern half,05/07/1958,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,top dressing
Exhaustion Land,1958,kale - eastern half,27/08/1958,,nitrochalk,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,top dressing
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,sulphate of ammonia,,,2,agronomic fertilization process,1,cwtN/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,sulphate of ammonia,,,2,agronomic fertilization process,0.6,cwtN/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,sulphate of ammonia,,,2,agronomic fertilization process,1,cwtN/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,sulphate of potash,,,2,agronomic fertilization process,1.2,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,sulphate of ammonia,,,2,agronomic fertilization process,0.4,cwtN/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,superphosphate,,,2,agronomic fertilization process,0.25,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,superphosphate,,,2,agronomic fertilization process,0.5,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,superphosphate,,,2,agronomic fertilization process,1,cwtP2O5/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,sulphate of potash,,,2,agronomic fertilization process,0.15,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,sulphate of potash,,,2,agronomic fertilization process,0.3,cwtK2O/acre,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,sulphate of potash,,,2,agronomic fertilization process,0.6,cwtK2O/acre,,,,,,,
Exhaustion Land,1959,all plots,17/03/1959,,Nitra-Shell,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1960,all plots,07/09/1959,,Ground chalk applied,,plot 2,2,liming process,2,cwt/acre,,,,,,,
Exhaustion Land,1960,all plots,07/03/1960,,sulphate of ammonia,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1961,all plots,29/03/1961,,nitrochalk,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1962,all plots,28/03/1962,,nitrochalk,,,2,agronomic fertilization process,0.5,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1963,all plots,08/04/1963,,nitrochalk,,,2,agronomic fertilization process,,,,,,,,,combine drilled
Exhaustion Land,1964,all plots,06/03/1964,,nitrochalk,,,2,agronomic fertilization process,0.7,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1965,all plots,15/03/1965,,nitrochalk,,,2,agronomic fertilization process,0.7,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1966,all plots,11/03/1966,,nitrochalk,,,2,agronomic fertilization process,0.7,cwtN/acre,,,,,,,combine drilled
Exhaustion Land,1968,all plots,28/02/1968,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1969,all plots,10/03/1969,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1970,all plots,20/03/1970,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1971,all plots,25/02/1971,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1972,all plots,16/03/1972,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1973,all plots,09/03/1973,,nitrogen fertilizer,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
Exhaustion Land,1976,all plots,24/03/1976,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1977,all plots,02/05/1977,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1978,all plots,17/05/1978,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1979,all plots,17/05/1979,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1980,all plots,07/11/1979,,applied chalk,,,2,liming process,2.9,t/ha,,,,,,,
Exhaustion Land,1980,all plots,09/05/1980,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1981,all plots,16/04/1981,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1982,all plots,,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1982,all plots,,,chalk,,"Plot 2 (N0, N48), plot 4 (all N rates), plot 8 (N96), plot 10 (N96)",2,liming process,2.9,t/ha,,,,,,,
Exhaustion Land,1982,all plots,,,chalk,,"plot 2 (N96, N144), plot 6 (N0, N96), plot 8 (N0, N48, N144), plot 10 (N0, N48, N144)",2,liming process,5.8,t/ha,,,,,,,
Exhaustion Land,1982,all plots,,,chalk,,"plot 6 (N48, N144)",2,liming process,8.7,t/ha,,,,,,,
Exhaustion Land,1983,all plots,05/05/1983,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1984,all plots,19/04/1984,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1985,all plots,18/04/1985,,nitrochalk,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1986,P Test,01/05/1986,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1986,P Test,01/05/1986,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1986,N Test,29/05/1986,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1986,P Test,29/05/1986,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1987,P Test,10/10/1986,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1987,P Test,10/10/1986,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1987,N Test,23/04/1987,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1987,P Test,23/04/1987,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1988,P Test,11/12/1987,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1988,P Test,11/12/1987,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1988,N Test,13/04/1988,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1988,P Test,13/04/1988,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1989,P Test,10/11/1988,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1989,P Test,10/11/1988,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1989,N Test,08/05/1989,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1989,P Test,08/05/1989,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1990,N Test,11/04/1990,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1990,P Test,11/04/1990,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1990,P Test,01/12/1990,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1990,P Test,01/12/1990,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1991,P Test,20/11/1990,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1991,P Test,20/11/1990,,muriate of potash,,,2,agronomic fertilization process,83,kgP/ha,,,,,,,
Exhaustion Land,1991,N Test,18/04/1991,,nitram,,,2,agronomic fertilization process,"0, 48, 96, 144",kgN/ha,,,,,,,
Exhaustion Land,1991,P Test,18/04/1991,,nitram,,,2,agronomic fertilization process,144,kgN/ha,,,,,,,
Exhaustion Land,1992,all plots,14/04/1992,,nitram,,,2,agronomic fertilization process,34.5,% N,560,kg/ha,,,,,
Exhaustion Land,1992,P Test,18/09/1991,,triple superphosphate,,,2,agronomic fertilization process,"0, 44, 87, 131",kgP/ha,,,,,,,
Exhaustion Land,1992,P Test,18/09/1991,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,170,kg/ha,,,,,
Exhaustion Land,1992,K-Test (Residual N test),18/09/1991,,triple superphosphate,,,2,agronomic fertilization process,291,kgP/ha,1420,kg/ha,,,,,
Exhaustion Land,1992,K-Test (Residual N test),23/09/1991,,triple superphosphate,,,2,agronomic fertilization process,146,kgP/ha,710,kg/ha,,,,,
Exhaustion Land,1993,all plots,19/04/1993,,nitram,,,2,agronomic fertilization process,34.5,% N,560,kg/ha,,,,,
Exhaustion Land,1993,p test,30/09/1992,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,1993,K test,30/09/1992,,triple superphosphate,,,2,agronomic fertilization process,131,kgP/ha,638,kg/ha,,,,,
Exhaustion Land,1994,all plots,12/04/1994,,nitram,,,2,agronomic fertilization process,34.5,% N,568,kg/ha,,,,,
Exhaustion Land,1994,k test,15/10/1993,,triple superphosphate,,,2,agronomic fertilization process,65.4,kgP/ha,319,kg/ha,,,,,
Exhaustion Land,1994,p test,15/10/1993,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,1995,p test,13/10/1994,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,1995,k test,13/10/1994,,triple superphosphate,,,2,agronomic fertilization process,65.4,kgP/ha,319,kg/ha,,,,,
Exhaustion Land,1995,all plots,13/04/1995,,nitram,,,2,agronomic fertilization process,34.5,% N,556,kg/ha,,,,,
Exhaustion Land,1996,all plots,15/04/1996,,nitram,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,1996,p test,18/09/1995,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,171,kg/ha,,,,,
Exhaustion Land,1996,k test,18/09/1995,,triple superphosphate,,,2,agronomic fertilization process,65.4,kgP/ha,319,kg/ha,,,,,
Exhaustion Land,1997,all plots,07/04/1997,,nitram,,,2,agronomic fertilization process,34.5,% N,556,kg/ha,,,,,
Exhaustion Land,1997,p test,26/09/1996,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,1997,k test,26/09/1996,,triple superphosphate,,,2,agronomic fertilization process,65.4,kgP/ha,319,kg/ha,,,,,
Exhaustion Land,1998,all plots,24/03/1998,,nitram,,,2,agronomic fertilization process,34.5,% N,557,kg/ha,,,,,
Exhaustion Land,1998,p test,15/10/1997,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,1998,k test,15/10/1997,,triple superphosphate,,,2,agronomic fertilization process,65.4,kgP/ha,319,kg/ha,,,,,
Exhaustion Land,1999,all plots,14/04/1999,,nitram,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,1999,k test,22/09/1998,,triple superphosphate,,,2,agronomic fertilization process,22,kgP/ha,107,kg/ha,,,,,
Exhaustion Land,1999,p test,23/09/1998,,muriate of potash,,,2,agronomic fertilization process,83,kgK/ha,167,kg/ha,,,,,
Exhaustion Land,2000,all plots,10/09/1999,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,61.5,kgP/ha,300,kg/ha,,,,,
Exhaustion Land,2000,all plots,03/05/2000,,nitrogen,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,2000,k test,10/09/1999,,triple superphosphate,,,2,agronomic fertilization process,61.5,kgP/ha,300,kg/ha,,,,,
Exhaustion Land,2000,p test,10/09/1999,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2000,p test,10/09/1999,,triple superphosphate,,,2,agronomic fertilization process,61.5,kgP/ha,300,kg/ha,,,,,
Exhaustion Land,2001,all plots,15/05/2001,,nitrogen,,,2,agronomic fertilization process,33.5,% N,433,kg/ha,,,,,
Exhaustion Land,2001,k test,17/10/2000,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2001,all plots,17/10/2000,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2001,p test,18/10/2000,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2002,p test,04/10/2001,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2002,all plots,04/10/2001,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2002,all plots,29/04/2002,,nitrogen,,,2,agronomic fertilization process,33.5,% N,567,kg/ha,,,,,
Exhaustion Land,2002,p test,04/10/2001,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2002,all plots,04/10/2001,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2003,all plots,01/10/2002,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,200,kg/ha,,,,,
