Experiment,year,section,new start date,new end date,operation,plots,flag,operation type,amount,unit,water,water unit,variety,dressing,machine,method
Exhaustion Land,1957,barley - eastern half,18/03/1957,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,barley - eastern half,21/03/1957,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1957,barley - eastern half,01/08/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,cropped section,26/09/1956,27/09/1956,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1957,cropped section,21/03/1957,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1957,cropped section,21/08/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,Cropped section - Eastern Half,26/09/1956,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1957,fallowed section,26/09/1956,27/09/1956,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1957,fallowed section,04/05/1957,,TCA at 20 lb in 80 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1957,fallowed section,07/06/1957,,TCA at 20 lb in 80 gallons per acre,,1,comment,,,,,,,,sprayed
Exhaustion Land,1957,fallowed section,26/06/1957,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1957,fallowed section,21/08/1957,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1957,fallowed section,,,"Note. the grain was damaged by mice during storage, particularly that from plot 2",,1,comment,,,,,,,,
Exhaustion Land,1957,kale - eastern half,04/04/1957,,Seedbed N applied $ P applied $K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,kale - eastern half,27/04/1957,,seed drilled,,1,seeding process,6,lb per acre,,,Thousand Head,,,
Exhaustion Land,1957,kale - eastern half,28/06/1957,,thinned,,1,thinning process,,,,,,,,
Exhaustion Land,1957,kale - eastern half,02/07/1957,,Nitrogen top-dressings applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,kale - eastern half,13/07/1957,,Nitrogen top-dressings applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,kale - eastern half,02/12/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,29/04/1957,,potatoes hand planted,,1,seeding process,,,,,Majestic,,,
Exhaustion Land,1957,potatoes - eastern half,06/07/1957,,earthed up,,1,tillage process,,,,,,,,
Exhaustion Land,1957,potatoes - eastern half,03/08/1957,,"copper fungicide, 5 lb in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1957,potatoes - eastern half,21/08/1957,,"copper fungicide, 5 lb in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1957,potatoes - eastern half,30/09/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,19/03/1957,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,spring wheat - eastern half,21/03/1957,,seed drilled,,1,seeding process,3.5,bushels per acre,,,Koga II,,,
Exhaustion Land,1957,spring wheat - eastern half,19/08/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,04/04/1957,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,15/04/1957,,seed drilled,,1,seeding process,12,lb per acre,,,Klein E,,,
Exhaustion Land,1957,sugar beet - eastern half,29/05/1957,,miscible DDT at 3 pints in 20 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1957,sugar beet - eastern half,19/06/1957,,singled,,1,singling process,,,,,,,,
Exhaustion Land,1957,sugar beet - eastern half,09/07/1957,,demeton methyl at 12 fluid oz in 80 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1957,sugar beet - eastern half,07/11/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1957,swedes - eastern half,17/04/1957,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1957,swedes - eastern half,27/04/1957,,seed drilled,,1,seeding process,6,lb per acre,,,Wilhelmsburger,,,
Exhaustion Land,1957,swedes - eastern half,21/06/1957,,singled,,1,singling process,,,,,,,,
Exhaustion Land,1957,swedes - eastern half,15/11/1957,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1986,,,,All plots in combination OLD RES and P(86) were given N at 48 kg/ha as Nitram and K at 83 kg/ha as muriate of potash,,1,comment,,,,,,,,
Exhaustion Land,1958,barley - eastern half,11/04/1958,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,barley - eastern half,12/04/1958,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1958,barley - eastern half,13/08/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,barley - western half,12/04/1958,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1958,barley - western half,17/04/1958,,Sulphate of ammonia applied,,1,agronomic fertilization process,2.5,cwt/acre,,,,,,
Exhaustion Land,1958,barley - western half,28/05/1958,,CMPP at 6 pints in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1958,barley - western half,07/09/1958,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,Cropped section - Eastern Half,31/12/1957,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1958,fallowed section - western half,31/12/1957,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1958,fallowed section - western half,16/06/1958,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1958,kale - eastern half,03/12/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,kale - eastern half,14/04/1958,,Seedbed N applied $ P applied $K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,kale - eastern half,15/04/1958,,seed drilled,,1,seeding process,3,lb per acre,,,Thousand Head,,,
Exhaustion Land,1958,kale - eastern half,10/06/1958,,thinned,,1,thinning process,,,,,,,,
Exhaustion Land,1958,kale - eastern half,05/07/1958,,Nitrogen top-dressings applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,kale - eastern half,27/08/1958,,Nitrogen top-dressings applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,09/09/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,23/04/1958,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,25/04/1958,,potatoes hand planted,,1,seeding process,,,,,Majestic,,,
Exhaustion Land,1958,potatoes - eastern half,08/07/1958,,earthed up,,1,tillage process,,,,,,,,
Exhaustion Land,1958,potatoes - eastern half,12/07/1958,,"copper fungicide, 5 lb in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1958,potatoes - eastern half,06/08/1958,,"copper fungicide, 3 lb and 1 pint spreader in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1958,potatoes - eastern half,16/08/1958,,"copper fungicide, 3 lb and 1 pint spreader in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1958,spring wheat - eastern half,01/09/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,11/04/1958,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,spring wheat - eastern half,12/04/1958,,seed drilled,,1,seeding process,3.25,bushels per acre,,,Koga II,,,
Exhaustion Land,1958,sugar beet - eastern half,18/11/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,seed drilled,,1,seeding process,19,lb per acre,,,Klein E,,,
Exhaustion Land,1958,sugar beet - eastern half,14/04/1958,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,06/06/1958,,singled,,1,singling process,,,,,,,,
Exhaustion Land,1958,sugar beet - eastern half,07/07/1958,,demeton methyl at 12 fluid oz in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1958,swedes - eastern half,05/10/1958,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,seed drilled,,1,seeding process,5,lb per acre,,,Wilhelmsburger,,,
Exhaustion Land,1958,swedes - eastern half,15/05/1958,,fertilizers applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1958,swedes - eastern half,10/06/1958,,singled,,1,singling process,,,,,,,,
Exhaustion Land,1959,all plots,16/02/1959,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1959,all plots,17/03/1959,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1959,all plots,17/03/1959,,Nitra-Shell applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1959,all plots,27/05/1959,,CMPP at 4 pints in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1959,all plots,05/08/1959,,cut by hand,"Plots 5, 9",1,harvesting process,,,,,,,,
Exhaustion Land,1959,all plots,18/08/1959,,Remaining plots combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1960,all plots,02/09/1959,,dalapon at 4 lb in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1960,all plots,06/09/1959,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1960,all plots,07/09/1959,,Ground chalk applied,plot 2,1,liming process,2,cwt/acre,,,,,,
Exhaustion Land,1960,all plots,17/11/1959,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1960,all plots,07/03/1960,,applied Sulphate of Ammonia,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1960,all plots,17/03/1960,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1960,all plots,25/05/1960,,CMPP at 6 pints in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1960,all plots,26/08/19659,,dalapon at 8 lb in 20 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1984,all plots,,,"PLOTFERT(01) was severely damaged by hares, no yields were taken.",,1,comment,,,,,,,,
Exhaustion Land,1961,all plots,12/10/1960,,dalapon at 10 lb in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1961,all plots,14/11/1960,,dalapon at 5 lb in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1961,all plots,16/12/1960,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1961,all plots,29/03/1961,,Nitro-chalk applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1961,all plots,12/04/1961,,seed drilled,,1,seeding process,2.75,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1961,all plots,19/05/1961,,CMPP at 6 pints in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1961,all plots,29/08/1961,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1976,all plots,,,Exceptionally small yields were obtained from certain treatments. Examination of stubbles showed much shrivelled grain had been ejected by the combine.,,1,comment,,,,,,,,
Exhaustion Land,1962,all plots,08/09/1961,,dalapon at 8 lb in 40 gallons per acre,Plots 5 and 6 and part of 2 ,1,,,,,,,,,sprayed
Exhaustion Land,1962,all plots,14/09/1961,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1962,all plots,27/09/1961,,dalapon at 4 lb in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1962,all plots,31/10/1961,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1962,all plots,28/03/1962,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1962,all plots,28/03/1962,,Nitro-chalk applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1962,all plots,04/06/1962,,MCPA/TBA at 4 pints 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1975,all plots,,,Fallow year,,1,comment,,,,,,,,
Exhaustion Land,1963,all plots,05/09/1962,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1963,all plots,27/09/1962,,dalapon at 7.4 lb in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1963,all plots,16/10/1962,,"dalapon, again at 3.7 lb in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1963,all plots,27/03/1963,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1963,all plots,08/04/1963,,seed combine drilled,,1,seeding process,2,bushels per acre,,,Proctor,,,
Exhaustion Land,1963,all plots,11/06/1963,,MCPA/TBA at 4 pints 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1964,all plots,25/09/1963,,dalapon at 5.9 lb in 40 gals,,1,,,,,,,,,sprayed
Exhaustion Land,1964,all plots,14/10/1963,,dalapon at 5.9 lb in 40 gals,,1,,,,,,,,,sprayed
Exhaustion Land,1964,all plots,01/11/1963,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1964,all plots,06/03/1964,,seed combine drilled,,1,seeding process,2.75,bushels,,,Maris Badger,,,
Exhaustion Land,1964,all plots,27/03/1964,,"mecoprop/2,4-D (Methoxone extra at 6 pints in 40 gals)",,1,,,,,,,,,sprayed
Exhaustion Land,1964,all plots,21/08/1964,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1965,all plots,01/09/1965,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1965,all plots,02/11/1964,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1965,all plots,15/03/1965,,seed combine drilled,,1,seeding process,160,lb,,,Maris Badger,,,
Exhaustion Land,1965,all plots,22/05/1965,,MCPA at 1.13 lb in 40 gals $ dicamba at 0.08 lb ,,1,,,,,,,,,sprayed
Exhaustion Land,1965,all plots,,,"Estimates were made of the incidence of Eyespot (Cercosporella herpotrichoides), take-all (Ophicbolus graminis)",,1,note,,,,,,,,
Exhaustion Land,1966,all plots,18/10/1965,,dalapon at 8.9 lb a.e. in 40 gals,,1,,,,,,,,,sprayed
Exhaustion Land,1966,all plots,22/11/1965,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1966,all plots,11/03/1966,,seed combine drilled,,1,seeding process,156,lb,,,Maris Badger,,,
Exhaustion Land,1966,all plots,27/05/1966,,"mecoprop/2,4-D (Methoxone extra at 6 pints in 40 gals)",,1,,,,,,,,,sprayed
Exhaustion Land,1966,all plots,26/08/1966,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1967,all plots,16/09/1966,,dalapon at 11 lb a.e. in 40 gals,,1,,,,,,,,,sprayed
Exhaustion Land,1967,all plots,18/09/1966,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1967,all plots,30/03/1967,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1967,all plots,02/05/1967,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1967,all plots,02/06/1967,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1967,all plots,30/06/1967,,deep-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1967,all plots,12/07/1967,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1968,all plots,05/09/1967,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1968,all plots,28/02/1968,,seed combine drilled,,1,seeding process,140,lb,,,Maris Badger,,,
Exhaustion Land,1968,all plots,17/05/1968,,dicamba mecoprop and MCPA (Banlene Plus at 4 pints in 32 gals),,1,,,,,,,,,sprayed
Exhaustion Land,1968,all plots,21/08/1968,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1969,all plots,01/10/1968,,paraquat at 0.5 lb ion in 25 gals,,1,,,,,,Maris Badger,,,sprayed
Exhaustion Land,1969,all plots,28/10/1968,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1969,all plots,10/03/1969,,seed combine drilled,,1,seeding process,140,lb,,,Maris Badger,,,
Exhaustion Land,1969,all plots,23/05/1969,,"MCPA, mecoprop, dicambe (Banlene Plus at 4 pints in 20 gals)",,1,,,,,,,,,sprayed
Exhaustion Land,1969,all plots,22/08/1969,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1969,all plots,28/08/1969,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1970,all plots,18/09/1969,,paraquat at 0.5 lb ion in 20 gals,,1,,,,,,,,,sprayed
Exhaustion Land,1970,all plots,16/10/1969,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1970,all plots,20/03/1970,,seed combine drilled,,1,seeding process,140,lb,,,Julia,,,
Exhaustion Land,1970,all plots,26/05/1970,,"MCPA, mecoprop, dicamba (Banlene Plus at 4 pints in 20 gals)",,1,,,,,,,,,sprayed
Exhaustion Land,1970,all plots,15/08/1970,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1971,all plots,09/09/1970,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1971,all plots,25/02/1971,,seed combine drilled,,1,seeding process,157,kg,,,Julia,,,
Exhaustion Land,1971,all plots,11/05/1971,,"ioxynil octanoate bromoxynil octanoate, the iso-octyl ester of dichlorprop (Oxytril P at 1.4 l in 225 l)",,1,,,,,,,,,sprayed
Exhaustion Land,1971,all plots,17/08/1971,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1972,all plots,10/09/1971,,aminotriazole at 4.5 kg in 220 l $ ammonia thiocyanate at 4.1 kg in 220 l,,1,,,,,,,,,sprayed
Exhaustion Land,1972,all plots,08/11/1971,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1972,all plots,16/03/1972,,seed combine drilled,,1,seeding process,160,kg/ha,,,Julia,ethirimol,,
Exhaustion Land,1972,all plots,18/05/1972,,"MCPA, mecoprop, dicamba (Banlene Plus at 5.6 l in 220 l)",,1,,,,,,,,,sprayed
Exhaustion Land,1972,all plots,23/08/1972,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1973,all plots,12/09/1972,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1973,all plots,09/03/1973,,seed sown,,1,seeding process,160,kg/ha,,,Julia,ethirimol,,
Exhaustion Land,1973,all plots,18/05/1973,,"dicamba mecoprop, MCPA (Tetralex Plus at 7.0 l in 200 l)",,1,,,,,,,,,sprayed
Exhaustion Land,1973,all plots,09/08/1973,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1974,all plots,12/09/1973,,aminotriazole at 4.5 kg in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1974,all plots,12/09/1973,,ammonium thiocyanate at 4.1 kg in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1974,all plots,04/10/1973,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1974,all plots,26/03/1974,,seed sown,,1,seeding process,160,kg/ha,,,Julia,ethirimol,,
Exhaustion Land,1974,all plots,21/05/1974,,"Dicamba, mecoprop, MCPA as tetralex plus at 7 l in 220 l/ha",,1,,,,,,,,,
Exhaustion Land,1974,all plots,20/08/1974,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1975,all plots,15/01/1975,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1975,all plots,08/05/1975,,spike rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1975,all plots,29/05/1975,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1975,all plots,19/06/1975,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1975,all plots,05/08/1975,,rotary cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1976,all plots,15/11/1975,,deep-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1976,all plots,01/03/1976,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1976,all plots,03/03/1976,,seed sown,,1,seeding process,160,kg/ha,,,Julia,ethirimol,,
Exhaustion Land,1976,all plots,24/03/1976,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1976,,,,"since 1976 N applied on a cyclic system at 0, 48, 96, 144 kgN/ha)",,1,comment,,,,,,,,
Exhaustion Land,1976,all plots,28/05/1976,,"Dicamba, mecoprop, MCPA as tetralex plus at 7 l in 220 l/ha",,1,,,,,,,,,
Exhaustion Land,1976,all plots,26/07/1976,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1977,all plots,04/10/1976,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1977,all plots,09/03/1977,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1977,all plots,09/03/1977,,seed sown,,1,seeding process,160,kg/ha,,,Julia,,,
Exhaustion Land,1977,all plots,24/05/1977,,N applied 2nd May.,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1977,all plots,24/05/1977,,"Dicamba, mecoprop, MCPA as Banlene plus at 4.2 l in 220 l/ha (date correct fr weedkiller)",,1,,,,,,,,,
Exhaustion Land,1977,all plots,26/08/1977,,combine harvested,,1,harvesting process,,,,,,,,
