Experiment,Year,section,start date,end date,operation,operation_type,flag,intensity,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,crop,variety,dressing,machine
R/WF/3,1907,wheat,04/10/1906,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1907,fallow,04/10/1906,06/10/1906,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1907,fallow,06/06/1907,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1908,wheat,21/08/1908,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1908,wheat,01/11/1907,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1908,fallow,,,Ploughed 3 times between Nov 1907 and July 1908,tillage process,3,3,,Ploughed 3 times between Nov 1907 and July 1908,,,,,,,,,,
R/WF/3,1909,wheat,10/09/1909,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1909,wheat,21/10/1908,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1909,fallow,,,Ploughed 4 times between October 1908 and July 1909,tillage process,3,4,,Ploughed 4 times between October 1908 and July 1909,,,,,,,,,,
R/WF/3,1910,wheat,19/08/1910,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1910,wheat,27/09/1909,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1910,fallow,27/09/1909,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1910,fallow,28/06/1910,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1911,wheat,04/08/1911,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1911,fallow,10/12/1910,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1912,wheat,21/08/1912,22/08/1912,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1912,fallow,18/09/1911,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1912,fallow,22/11/1911,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,wheat,01/09/1913,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1913,wheat,21/10/1912,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,fallow,21/10/1912,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1913,fallow,12/04/1913,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1914,wheat,04/08/1914,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1915,wheat,30/08/1915,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1915,wheat,19/09/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1915,fallow,19/09/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1915,fallow,21/10/1914,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1916,wheat,28/08/1916,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1916,fallow,,,Ploughed 3 times between ?? 191? And July 1916,tillage process,3,3,,Ploughed 3 times between ?? 191? And July 1916,,,,,,,,,,
R/WF/3,1917,wheat,22/08/1917,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1917,fallow,07/06/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1918,wheat,20/08/1918,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1918,wheat,04/09/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1918,fallow,04/09/1917,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,wheat,27/08/1919,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1919,wheat,16/10/1918,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,fallow,16/10/1918,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1919,fallow,10/03/1919,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1920,wheat,17/08/1920,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1920,fallow,17/05/1920,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1921,wheat,28/07/1921,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1921,fallow,21/05/1921,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1922,wheat,06/09/1922,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1922,wheat,22/10/1921,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1922,fallow,,,Cultivated 4 times between Oct 1921 and Aug 1922,tillage process,3,4,,Cultivated 4 times between Oct 1921 and Aug 1922,,,,,,,,,,
R/WF/3,1923,wheat,16/08/1923,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1924,wheat,06/09/1924,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1924,fallow,17/04/1924,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1925,wheat,18/08/1925,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1927,wheat,31/08/1927,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1928,wheat,22/08/1928,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1929,wheat,21/08/1929,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1929,wheat,17/09/1928,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1929,fallow,,,Ploughed 3 times between Sept 1928 and July 1929,tillage process,3,3,,Ploughed 3 times between Sept 1928 and July 1929,,,,,,,,,,
R/WF/3,1930,wheat,14/08/1930,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1930,wheat,06/09/1929,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1930,fallow,,,Cultivated 3 times between Sept 1929 and June 1930,tillage process,3,3,,Cultivated 3 times between Sept 1929 and June 1930,,,,,,,,,,
R/WF/3,1931,wheat,21/08/1931,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1931,wheat,06/10/1930,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1931,fallow,06/10/1930,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1931,fallow,08/05/1931,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1932,wheat,10/08/1932,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1932,wheat,16/09/1931,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1932,fallow,,,Cultivated 3 times between Sept 1931 and June 1932,tillage process,3,3,,Cultivated 3 times between Sept 1931 and June 1932,,,,,,,,,,
R/WF/3,1933,wheat,02/09/1932,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,wheat,15/10/1932,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1933,wheat,31/03/1933,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1933,wheat,26/07/1933,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1933,fallow,02/09/1932,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,31/05/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,01/06/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1933,fallow,31/03/1933,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1934,wheat,12/09/1933,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,wheat,07/04/1934,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1934,wheat,09/04/1934,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1934,wheat,08/08/1934,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1934,fallow,07/02/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,20/04/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,04/05/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,17/05/1934,,horse harrow,tillage process,3,1,,horse harrow,,,,,,,,,,
R/WF/3,1934,fallow,17/05/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,16/06/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1934,fallow,22/06/1934,,two horse roll,land levelling process,3,,,two horse roll,,,,,,,,,,
R/WF/3,1934,fallow,28/06/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1934,fallow,24/07/1934,,tractor cultivated,tillage process,3,1,,tractor cultivated,,,,,,,,,,
R/WF/3,1935,wheat,23/08/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,wheat,23/08/1934,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,wheat,20/10/1934,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1935,wheat,21/03/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1935,wheat,26/03/1935,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1935,wheat,13/08/1935,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1935,fallow,23/08/1934,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,fallow,28/05/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1935,fallow,23/08/1934,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,fallow,11/05/1935,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1935,fallow,03/07/1935,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1936,wheat,27/08/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,wheat,24/10/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,26/10/1935,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,24/03/1936,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1936,wheat,06/05/1936,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1936,wheat,01/09/1936,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1936,fallow,27/08/1935,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,fallow,01/04/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1936,fallow,14/02/1936,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1936,fallow,20/05/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1936,fallow,29/06/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,24/08/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,wheat,16/10/1936,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,wheat,21/10/1936,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1937,wheat,03/05/1937,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1937,wheat,20/08/1937,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1937,fallow,03/06/1937,04/06/1937,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1937,fallow,05/10/1936,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,09/06/1937,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1937,fallow,26/04/1937,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1937,fallow,26/03/1937,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1938,wheat,23/09/1937,27/09/1937,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1938,wheat,16/10/1937,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1938,wheat,06/11/1937,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1938,wheat,17/03/1938,,harrowed,tillage process,3,1,,harrowed,,,,,,,,,,
R/WF/3,1938,wheat,20/10/1937,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1938,wheat,20/10/1937,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1938,wheat,19/03/1938,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1938,wheat,11/08/1938,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1938,fallow,23/09/1937,27/09/1937,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1938,fallow,16/10/1937,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1938,fallow,05/03/1938,,cultivated,tillage process,3,1,,cultivated,,,,,,,,,,
R/WF/3,1938,fallow,07/05/1938,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1938,fallow,03/06/1938,,springtine harrowed,tillage process,3,1,,springtine harrowed,,,,,,,,,,
R/WF/3,1938,fallow,07/05/1938,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1938,fallow,03/06/1938,,rolled,land levelling process,3,,,rolled,,,,,,,,,,
R/WF/3,1938,fallow,21/06/1938,,thistles cut,mechanical pest removal process,3,,,thistles cut,,,,,,,,,,
R/WF/3,1938,fallow,14/08/1938,,thistles cut,mechanical pest removal process,3,,,thistles cut,,,,,,,,,,
R/WF/3,1939,wheat,26/08/1938,,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1939,wheat,24/08/1939,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1939,fallow,,,Cultivated 6 times between Aug 1938 and July 1939,tillage process,3,6,,Cultivated 6 times between Aug 1938 and July 1939,,,,,,,,,,
R/WF/3,1940,wheat,12/09/1939,13/09/1939,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1940,wheat,08/08/1940,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1940,fallow,,,Cultivated 4 times between Sept 1939 and July 1940,tillage process,3,4,,Cultivated 4 times between Sept 1939 and July 1940,,,,,,,,,,
R/WF/3,1941,wheat,10/09/1940,11/09/1940,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1941,wheat,21/08/1941,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1941,fallow,,,Cultivated 4 times between Sept 1940 and May 1941,tillage process,3,4,,Cultivated 4 times between Sept 1940 and May 1941,,,,,,,,,,
R/WF/3,1942,wheat,19/09/1941,22/09/1941,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1942,wheat,17/08/1942,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1942,fallow,,,Cultivated 8 times between Sept 1941 and July 1942,tillage process,3,8,,Cultivated 8 times between Sept 1941 and July 1942,,,,,,,,,,
R/WF/3,1943,wheat,01/09/1942,04/09/1942,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1943,wheat,03/08/1943,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1943,fallow,,,Cultivated 10 times between Sept 1942 and July 1943,tillage process,3,10,,Cultivated 10 times between Sept 1942 and July 1943,,,,,,,,,,
R/WF/3,1944,wheat,31/08/1943,09/09/1943,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1944,wheat,10/08/1944,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1944,fallow,,,Cultivated 5 times between Aug 1943 and June 1944,tillage process,3,5,,Cultivated 5 times between Aug 1943 and June 1944,,,,,,,,,,
R/WF/3,1945,wheat,21/08/1944,28/08/1944,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
R/WF/3,1945,wheat,11/08/1945,,harvested,harvesting process,3,,,harvested,,,,,,,,,,
R/WF/3,1945,fallow,,,Cultivated 6 times between Aug 1944 and July 1945,tillage process,3,6,,Cultivated 6 times between Aug 1944 and July 1945,,,,,,,,,,
R/WF/3,1946,wheat,30/08/1945,03/09/1945,ploughed,tillage process,3,1,,ploughed,,,,,,,,,,
