Experiment,Year,section,start date,end date,operation,operation_type,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,variety,dressing,machine
RFW3,1879,wheat,17/09/1879,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1880,wheat,20/08/1880,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1881,wheat,15/08/1881,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1882,wheat,16/08/1882,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1883,wheat,25/08/1883,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1884,wheat,06/08/1884,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1885,wheat,13/08/1885,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1886,wheat,26/08/1886,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1887,wheat,11/08/1887,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1888,wheat,08/08/1888,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1889,wheat,20/08/1889,21/08/1889,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1890,wheat,09/08/1890,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1891,wheat,02/09/1891,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1892,wheat,23/08/1892,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1893,wheat,31/07/1893,01/08/1893,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1894,wheat,21/08/1894,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1895,wheat,09/08/1895,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1896,wheat,25/07/1896,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1897,wheat,13/08/1897,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1898,wheat,13/08/1898,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1899,wheat,11/08/1899,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1900,wheat,11/08/1900,13/08/1900,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1901,wheat,13/08/1901,14/08/1901,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1902,wheat,28/08/1902,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1903,wheat,03/09/1903,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1904,wheat,08/08/1904,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1905,wheat,01/08/1905,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1906,wheat,13/08/1906,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1907,wheat,24/08/1907,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1908,wheat,21/08/1908,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1909,wheat,10/09/1909,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1910,wheat,19/08/1910,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1911,wheat,04/08/1911,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1912,wheat,21/08/1912,22/08/1912,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1913,wheat,01/09/1913,??,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1914,wheat,04/08/1914,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1915,wheat,30/08/1915,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1916,wheat,28/08/1916,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1917,wheat,22/08/1917,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1918,wheat,20/08/1918,??,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1919,wheat,27/08/1919,??,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1920,wheat,17/08/1920,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1921,wheat,28/07/1921,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1922,wheat,06/09/1922,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1923,wheat,16/08/1923,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1924,wheat,06/09/1924,??,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1925,wheat,18/08/1925,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,2014,wheat,21/08/2014,,harvested,harvesting process,,,,,,,,,,,
RFW3,1927,wheat,31/08/1927,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1928,wheat,22/08/1928,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1929,wheat,21/08/1929,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1930,wheat,14/08/1930,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1931,wheat,21/08/1931,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1932,wheat,10/08/1932,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1874,wheat,30/10/1873,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1880,wheat,29/10/1879,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1881,wheat,26/10/1880,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1883,wheat,07/11/1882,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1884,wheat,23/10/1883,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1885,wheat,25/10/1884,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1886,wheat,25/10/1885,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1887,wheat,26/10/1886,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1889,wheat,01/11/1888,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1890,wheat,05/11/1889,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1891,wheat,25/10/1890,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1894,wheat,25/10/1893,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1895,wheat,22/10/1894,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1896,wheat,23/10/1895,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1898,wheat,20/10/1897,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1899,wheat,31/10/1898,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1900,wheat,23/10/1899,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1901,wheat,23/10/1900,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1902,wheat,23/10/1901,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1903,wheat,31/10/1902,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1905,wheat,19/10/1904,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1906,wheat,19/12/1905,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1907,wheat,16/10/1906,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1908,wheat,07/11/1907,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1909,wheat,26/10/1908,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1910,wheat,27/11/1909,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1911,wheat,22/10/1910,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1912,wheat,7/??/1911,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1913,wheat,21/10/1912,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1914,wheat,03/11/1913,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1915,wheat,03/11/1914,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1917,wheat,01/11/1916,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1919,wheat,26/10/1918,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1920,wheat,27/10/1919,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1921,wheat,05/11/1920,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1922,wheat,29/10/1921,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1923,wheat,02/11/1922,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1924,wheat,12/11/1923,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1929,wheat,09/10/1928,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1930,wheat,15/10/1929,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1931,wheat,17/10/1930,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1932,wheat,14/10/1931,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1874,wheat,September 1873,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1880,wheat,28/10/1879,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1884,wheat,13/10/1883,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1886,wheat,Sept 1885,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1887,wheat,02/10/1886,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1888,wheat,21/09/1887,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1891,wheat,11/09/1890,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1895,wheat,16/10/1894,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1896,wheat,21/09/1895,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1899,wheat,07/10/1898,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1903,wheat,06/10/1902,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1907,wheat,04/10/1906,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1908,wheat,01/11/1907,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1909,wheat,21/10/1908,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1910,wheat,27/09/1909,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1913,wheat,21/10/1912,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1915,wheat,19/09/1914,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1918,wheat,04/09/1917,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1919,wheat,16/10/1918,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1922,wheat,22/10/1921,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1929,wheat,17/09/1928,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1930,wheat,06/09/1929,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1931,wheat,06/10/1930,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1932,wheat,16/09/1931,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1873,fallow,June 1873,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1874,fallow,,,Cultivated 4 times between Sept 1873 and June 1874,tillage process,,Cultivated 4 times between Sept 1873 and June 1874,,,,,,,,,
RFW3,1880,fallow,,,Ploughed 3 times between October 1879 and June 1880,tillage process,,Ploughed 3 times between October 1879 and June 1880,,,,,,,,,
RFW3,1881,fallow,29/09/1880,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1883,fallow,March 1883,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1884,fallow,13/10/1883,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1885,fallow,,,Ploughed 4 times between Oct 1884 and June 1885,tillage process,,Ploughed 4 times between Oct 1884 and June 1885,,,,,,,,,
RFW3,1886,fallow,,,Ploughed 4 times between Sept 1885 and Aug 1886,tillage process,,Ploughed 4 times between Sept 1885 and Aug 1886,,,,,,,,,
RFW3,1887,fallow,,,Ploughed 3 times between Oct 1886 and June 1887,tillage process,,Ploughed 3 times between Oct 1886 and June 1887,,,,,,,,,
RFW3,1888,fallow,21/09/1887,22/09/1887,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1889,fallow,,,Ploughed 4 times between Oct 1888 and Aug 1889,tillage process,,Ploughed 4 times between Oct 1888 and Aug 1889,,,,,,,,,
RFW3,1891,fallow,11/09/1890,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1894,fallow,25/10/1893,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1895,fallow,16/10/1894,24/09/1895,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1896,fallow,21/09/1895,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1897,fallow,July 1896,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1899,fallow,07/10/1898,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1902,fallow,,,Ploughed 3 times between Oct 1901 and July 1902,tillage process,,Ploughed 3 times between Oct 1901 and July 1902,,,,,,,,,
RFW3,1903,fallow,06/10/1902,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1905,fallow,20/05/1905,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1906,fallow,25/09/1905,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1907,fallow,04/10/1906,06/10/1906,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1908,fallow,,,Ploughed 3 times between Nov 1907 and July 1908,tillage process,,Ploughed 3 times between Nov 1907 and July 1908,,,,,,,,,
RFW3,1909,fallow,,,Ploughed 4 times between October 1908 and July 1909,tillage process,,Ploughed 4 times between October 1908 and July 1909,,,,,,,,,
RFW3,1910,fallow,27/09/1909,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1912,fallow,18/09/1911,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1913,fallow,21/10/1912,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1915,fallow,19/09/1914,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1916,fallow,,,Ploughed 3 times between ?? 191? And July 1916,tillage process,,Ploughed 3 times between ?? 191? And July 1916,,,,,,,,,
RFW3,1918,fallow,04/09/1917,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1919,fallow,16/10/1918,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1922,fallow,,,Cultivated 4 times between Oct 1921 and Aug 1922,tillage process,,Cultivated 4 times between Oct 1921 and Aug 1922,,,,,,,,,
RFW3,1924,fallow,17/04/1924,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1929,fallow,,,Ploughed 3 times between Sept 1928 and July 1929,tillage process,,Ploughed 3 times between Sept 1928 and July 1929,,,,,,,,,
RFW3,1930,fallow,,,Cultivated 3 times between Sept 1929 and June 1930,tillage process,,Cultivated 3 times between Sept 1929 and June 1930,,,,,,,,,
RFW3,1931,fallow,06/10/1930,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1932,fallow,,,Cultivated 3 times between Sept 1931 and June 1932,tillage process,,Cultivated 3 times between Sept 1931 and June 1932,,,,,,,,,
RFW3,1873,fallow,July 1872,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1874,fallow,02/05/1874,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1879,fallow,July 1879,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1881,fallow,April 1881,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1882,fallow,June 1882,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1883,fallow,13/07(?)/1883,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1891,fallow,06/07/1891,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1892,fallow,22/08/1892,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1894,fallow,Aug 1894,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1896,fallow,October 1895,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1897,fallow,14/09/1896(?),15/09/1896(?),ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1899,fallow,26/07/1899,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1903,fallow,17/11/1902,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1905,fallow,10/07/1905,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1906,fallow,26/05/1906,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1907,fallow,06/06/1907,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1910,fallow,28/06/1910,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1911,fallow,10/12/1910,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1912,fallow,22/11/1911,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1913,fallow,12/04/1913,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1915,fallow,21/10/1914,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1917,fallow,07/06/1917,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1919,fallow,10/03/1919,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1920,fallow,17/05/1920,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1921,fallow,21/05/1921,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1931,fallow,08/05/1931,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1933,wheat,02/09/1932,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1933,wheat,15/10/1932,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1933,wheat,31/03/1933,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1933,wheat,15/10/1932,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1933,wheat,26/07/1933,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1933,fallow,02/09/1932,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1933,fallow,31/05/1933,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1933,fallow,01/06/1933,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1933,fallow,31/03/1933,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1934,wheat,12/09/1933,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1934,wheat,07/04/1934,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1934,wheat,09/04/1934,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1934,wheat,13/10/1933,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1934,wheat,08/08/1934,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1934,fallow,07/02/1934,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1934,fallow,20/04/1934,,tractor cultivated,tillage process,,tractor cultivated,,,,,,,,,
RFW3,1934,fallow,04/05/1934,,tractor cultivated,tillage process,,tractor cultivated,,,,,,,,,
RFW3,1934,fallow,17/05/1934,,horse harrow,tillage process,,horse harrow,,,,,,,,,
RFW3,1934,fallow,17/05/1934,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1934,fallow,16/06/1934,,tractor cultivated,tillage process,,tractor cultivated,,,,,,,,,
RFW3,1934,fallow,22/06/1934,,two horse roll,land levelling process,,two horse roll,,,,,,,,,
RFW3,1934,fallow,28/06/1934,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1934,fallow,24/07/1934,,tractor cultivated,tillage process,,tractor cultivated,,,,,,,,,
RFW3,1935,wheat,23/08/1934,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1935,wheat,23/08/1934,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1935,wheat,20/10/1934,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1935,wheat,21/03/1935,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1935,wheat,26/03/1935,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1935,wheat,20/10/1934,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1935,wheat,13/08/1935,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1935,fallow,23/08/1934,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1935,fallow,28/05/1935,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1935,fallow,23/08/1934,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1935,fallow,11/05/1935,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1935,fallow,03/07/1935,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1936,wheat,27/08/1935,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1936,wheat,24/10/1935,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1936,wheat,26/10/1935,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1936,wheat,24/03/1936,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1936,wheat,06/05/1936,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1936,wheat,26/10/1935,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1936,wheat,01/09/1936,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1936,fallow,27/08/1935,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1936,fallow,01/04/1936,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1937,fallow,24/08/1936,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1936,fallow,14/02/1936,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1936,fallow,20/05/1936,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1936,fallow,29/06/1936,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1937,wheat,16/10/1936,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1937,wheat,21/10/1936,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1937,wheat,03/05/1937,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1937,wheat,21/10/1936,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1937,wheat,20/08/1937,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1937,fallow,03/06/1937,04/06/1937,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1937,fallow,05/10/1936,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1937,fallow,09/06/1937,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1937,fallow,26/04/1937,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1937,fallow,26/03/1937,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1938,wheat,23/09/1937,27/09/1937,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1938,wheat,16/10/1937,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1938,wheat,06/11/1937,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1938,wheat,17/03/1938,,harrowed,tillage process,,harrowed,,,,,,,,,
RFW3,1938,wheat,20/10/1937,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1938,wheat,20/10/1937,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1938,wheat,19/03/1938,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1938,wheat,06/11/1937,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1938,wheat,11/08/1938,,harvested,harvesting process,,harvested,,,,,,,,,
RFW3,1938,fallow,23/09/1937,27/09/1937,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1938,fallow,16/10/1937,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1938,fallow,05/03/1938,,cultivated,tillage process,,cultivated,,,,,,,,,
RFW3,1938,fallow,07/05/1938,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1938,fallow,03/06/1938,,springtine harrowed,tillage process,,springtine harrowed,,,,,,,,,
RFW3,1938,fallow,07/05/1938,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1938,fallow,03/06/1938,,rolled,land levelling process,,rolled,,,,,,,,,
RFW3,1938,fallow,21/06/1938,,thistles cut,mechanical pest removal process,,thistles cut,,,,,,,,,
RFW3,1938,fallow,14/08/1938,,thistles cut,mechanical pest removal process,,thistles cut,,,,,,,,,
RFW3,1939,wheat,26/08/1938,,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1940,wheat,12/09/1939,13/09/1939,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1941,wheat,10/09/1940,11/09/1940,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1942,wheat,19/09/1941,22/09/1941,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1943,wheat,01/09/1942,04/09/1942,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1944,wheat,31/08/1943,09/09/1943,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1945,wheat,21/08/1944,28/08/1944,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1946,wheat,30/08/1945,03/09/1945,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1947,wheat,11/10/1946,15/10/1946,ploughed,tillage process,,ploughed,,,,,,,,,
RFW3,1939,wheat,24/10/1938,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1940,wheat,23/10/1939,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1941,wheat,28/10/1940,,seed sown,seeding process,,seed sown,,,,,,,,,
RFW3,1942,wheat,21/10/1941,,seed sown,seeding process,,seed sown,,,,,,,,,
