Experiment,Year,section,start date,end date,operation,operation_type,flag,intensity,application_method,orig_operation,amount,amount unit,water,water unit,tank mix,plot,crop,variety,dressing,machine
R/WF/3,1977,wheat,24/05/1977,,Primicarb,chemical pest control process,4,,,Primicarb at 0.24 kg in 280 l,0.24,kg/ha,280,l/ha,,,,,,
R/WF/3,1978,wheat,18/05/1978,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,,"MCPA, mecoprop and dicamba as Banlene Plus at 4.9 l in 220 l",4.9,l/ha,220,l/ha,,,,,,
R/WF/3,1979,wheat,09/05/1979,,"MCPA, mecoprop and dicamba as Banlene Plus",chemical pest control process,4,,,"MCPA, mecoprop and dicamba as Banlene Plus at 4.9 l in 220 l",4.9,l/ha,220,l/ha,,,,,,
R/WF/3,1980,wheat,16/04/1980,,"mecoprop, bromoxynil, ioxynil as Brittox",chemical pest control process,4,,,"mecoprop, bromoxynil, ioxynil as Brittox",3.5,l/ha,250,l/ha,,,,,,
R/WF/3,1980,wheat,24/06/1980,,Demeton-s-methyl,chemical pest control process,4,,,Demeton-s-methyl,0.24,kg/ha,250,l/ha,,,,,,
R/WF/3,1983,wheat,16/04/1983,,Isoproturon,chemical pest control process,4,,,Isoproturon,2.1,kg/ha,250,l/ha,1,,,,,
R/WF/3,1983,wheat,16/04/1983,,"mecoprop, bromoxynil, ioxynil as Brittox",chemical pest control process,4,,,"mecoprop, bromoxynil, ioxynil as Brittox",3.5,l/ha,250,l/ha,1,,,,,
R/WF/3,1984,wheat,01/12/1983,,chlortoluron,chemical pest control process,4,,,chlortoluron applied,3.5,kg/ha,250,l/ha,,,,,,
R/WF/3,1984,wheat,17/04/1984,,"3, 6-dichloropicolinic acid",chemical pest control process,4,,,"3, 6-dichloropicolinic acid",0.07,kg/ha,250,l/ha,1,,,,,
R/WF/3,1984,wheat,17/04/1984,,Bromoxynil,chemical pest control process,4,,,Bromoxynil,0.34,kg/ha,250,l/ha,1,,,,,
R/WF/3,1984,wheat,17/04/1984,,mecoprop as CMPP,chemical pest control process,4,,,mecoprop as CMPP,4.2,l/ha,200,l/ha,1,,,,,
R/WF/3,1984,wheat,28/06/1984,,Primicarb,chemical pest control process,4,,,Primicarb,0.14,kg/ha,200,l/ha,,,,,,
R/WF/3,1985,wheat,10/06/1985,,Clopyralid,chemical pest control process,4,,,Clopyralid,0.1,kg/ha,500,l/ha,1,,,,,
R/WF/3,1985,wheat,10/06/1985,,"bromoxynil, ioxynil as Deloxil",chemical pest control process,4,,,"bromoxynil, ioxynil as Deloxil",0.7,l/ha,500,l/ha,1,,,,,
R/WF/3,1986,wheat,01/10/1985,,paraquat,chemical pest control process,4,,,paraquat,0.6,kg/ha,200,l/ha,,,,,,
R/WF/3,1986,wheat,29/04/1986,,Isoproturon,chemical pest control process,4,,,Isoproturon,2.1,kg/ha,200,l/ha,1,,,,,
R/WF/3,1986,wheat,29/04/1986,,Clopyralid,chemical pest control process,4,,,Clopyralid,0.07,kg/ha,200,l/ha,1,,,,,
R/WF/3,1986,wheat,29/04/1986,,Bromoxynil,chemical pest control process,4,,,Bromoxynil,0.34,kg/ha,200,l/ha,1,,,,,
R/WF/3,1986,wheat,29/04/1986,,Mecoprop,chemical pest control process,4,,,Mecoprop,2.5,kg/ha,200,l/ha,1,,,,,
R/WF/3,1986,wheat,29/04/1986,,Prochloraz,chemical pest control process,4,,,Prochloraz,0.4,kg/ha,200,l/ha,1,,,,,
R/WF/3,1986,wheat,29/04/1986,,Carbendazim,chemical pest control process,4,,,Carbendazim,0.15,kg/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,09/05/1994,,Ally,chemical pest control process,4,,,ally at 30 g with Cheetah per at 3.0 1 and Starane 2 at 0.75 1 in 200 1.,30,g/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,09/05/1994,,Cheetah Super,chemical pest control process,4,,,ally at 30 g with Cheetah per at 3.0 1 and Starane 2 at 0.75 1 in 200 1.,3,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,09/05/1994,,Starane 2,chemical pest control process,4,,,ally at 30 g with Cheetah per at 3.0 1 and Starane 2 at 0.75 1 in 200 1.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,09/05/1994,,Halo,chemical pest control process,4,,,Halo at 2.0 1 with new 5C Cycocel at 2.5 1 in 200 1.,2,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,09/05/1994,,new 5C Cycocel,chemical pest control process,4,,,Halo at 2.0 1 with new 5C Cycocel at 2.5 1 in 200 1.,2.5,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,13/06/1994,,Halo,chemical pest control process,4,,,Halo at 2.0 1 with Mallard 750 EC at 0.5 1 in 200 1.,2,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,13/06/1994,,Mallard 750 EC,chemical pest control process,4,,,Halo at 2.0 1 with Mallard 750 EC at 0.5 1 in 200 1.,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,1994,wheat,17/06/1994,,Hostathion,chemical pest control process,4,,,Hostathion at 840 ml in 200 1.,840,ml/ha,200,l/ha,,,,,,
R/WF/3,1995,wheat,06/10/1994,,Roundup,chemical pest control process,4,,,Roundup at 4.0 l in 200 l,4,l/ha,200,l/ha,,,,,,
R/WF/3,1995,wheat,16/06/1995,,Halo,chemical pest control process,4,,,Halo at 2.0 1 with Patrol at 0.5 1 in 300 1.,2,l/ha,300,l/ha,1,,,,,
R/WF/3,1995,wheat,16/06/1995,,Patrol,chemical pest control process,4,,,Halo at 2.0 1 with Patrol at 0.5 1 in 300 1.,0.5,l/ha,300,l/ha,1,,,,,
R/WF/3,1995,wheat,29/06/1995,,primicarb 50 DG,chemical pest control process,4,,,primicarb 50 DG at 280 g in 200 1.,280,g/ha,200,l/ha,,,,,,
R/WF/3,1995,fallow,06/10/1994,,Roundup,chemical pest control process,4,,,Roundup at 4.0 l in 200 l,4,l/ha,200,l/ha,,,,,,
R/WF/3,1996,wheat,26/04/1996,,Ally,chemical pest control process,4,,,ally at 30 g with Cheetah per at 1.25 1 in 200 1.,30,g/ha,200,l/ha,1,,,,,
R/WF/3,1996,wheat,26/04/1996,,Cheetah Super,chemical pest control process,4,,,ally at 30 g with Cheetah per at 1.25 1 in 200 1.,1.25,l/ha,200,l/ha,1,,,,,
R/WF/3,1996,wheat,06/06/1996,,Monicle,chemical pest control process,4,,,Monicle at 1.0 1 in 320 1.,1,l/ha,320,l/ha,,,,,,
R/WF/3,1997,wheat,17/03/1997,,Topik,chemical pest control process,4,,,Topik at 1.25 1 with Sprayprover at 1.0 1 in 200 1.,1.25,l/ha,200,l/ha,1,,,,,
R/WF/3,1997,wheat,17/03/1997,,Sprayprover,chemical pest control process,4,,,Topik at 1.25 1 with Sprayprover at 1.0 1 in 200 1.,1,l/ha,200,l/ha,1,,,,,
R/WF/3,1997,wheat,10/06/1997,,Folicur,chemical pest control process,4,,,Folicur at 0.5 1 with Mallard 750 EC at 0.3 1 and Winter at 0.5 1 in 300 1.,0.5,l/ha,300,l/ha,1,,,,,
R/WF/3,1997,wheat,10/06/1997,,Mallard 750 EC,chemical pest control process,4,,,Folicur at 0.5 1 with Mallard 750 EC at 0.3 1 and Winter at 0.5 1 in 300 1.,0.3,l/ha,300,l/ha,1,,,,,
R/WF/3,1997,wheat,10/06/1997,,Winter,chemical pest control process,4,,,Folicur at 0.5 1 with Mallard 750 EC at 0.3 1 and Winter at 0.5 1 in 300 1.,0.5,l/ha,300,l/ha,1,,,,,
R/WF/3,1998,wheat,08/05/1998,,Ally,chemical pest control process,4,,,ally at 20 g with Starane 2 at 0.5 1 in 200 1.,20,g/ha,200,l/ha,1,,,,,
R/WF/3,1998,wheat,08/05/1998,,Starane 2,chemical pest control process,4,,,ally at 20 g with Starane 2 at 0.5 1 in 200 1.,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,1998,wheat,09/05/1998,,Opus,chemical pest control process,4,,,Opus at 0.7 l in 200 l,0.7,l/ha,200,l/ha,,,,,,
R/WF/3,1998,wheat,28/05/1998,,Opus,chemical pest control process,4,,,Opus at 0.7 l in 200 l,0.7,l/ha,200,l/ha,,,,,,
R/WF/3,1998,wheat,15/06/1998,,Bavistin DF,chemical pest control process,4,,,Bavistin DF at 0.5 kg with Policur at 0.5 1 in 100 1.,0.5,kg/ha,100,l/ha,1,,,,,
R/WF/3,1998,wheat,15/06/1998,,Folicur,chemical pest control process,4,,,Bavistin DF at 0.5 kg with Policur at 0.5 1 in 100 1.,0.5,l/ha,100,l/ha,1,,,,,
R/WF/3,1999,wheat,16/03/1999,,Hawk,chemical pest control process,4,,,Hawk at 2.0 1 with Panther at 1.25 1 and Cropoil at 1.0 1 in 200 1.,2,l/ha,200,l/ha,1,,,,,
R/WF/3,1999,wheat,16/03/1999,,Panther,chemical pest control process,4,,,Hawk at 2.0 1 with Panther at 1.25 1 and Cropoil at 1.0 1 in 200 1.,1.25,l/ha,200,l/ha,1,,,,,
R/WF/3,1999,wheat,16/03/1999,,Cropoil,chemical pest control process,4,,,Hawk at 2.0 1 with Panther at 1.25 1 and Cropoil at 1.0 1 in 200 1.,1,l/ha,200,l/ha,1,,,,,
R/WF/3,1999,wheat,01/05/1999,,Opus,chemical pest control process,4,,,Opus at 0.7 l in 200 l,0.7,l/ha,200,l/ha,1,,,,,
R/WF/3,1999,wheat,01/06/1999,,Folicur,chemical pest control process,4,,,Folicur at 1.0 1 with Sipcam UK Rover 500 at 1.0 1 in 100 1.,1,l/ha,100,l/ha,1,,,,,
R/WF/3,1999,wheat,01/06/1999,,Sipcam UK Rover 500,chemical pest control process,4,,,Folicur at 1.0 1 with Sipcam UK Rover 500 at 1.0 1 in 100 1.,1,l/ha,100,l/ha,1,,,,,
R/WF/3,1999,wheat,25/06/1999,,Folicur,chemical pest control process,4,,,Folicur at 0.25 1 in 100 1.,0.25,l/ha,100,l/ha,,,,,,
R/WF/3,1999,wheat,29/07/1999,,Roundup Biactive,chemical pest control process,4,,,Roundup Biactive at 4.0 1 in 200 1.,4,l/ha,200,l/ha,,,,,,
R/WF/3,2000,wheat,16/03/2000,,Hawk,chemical pest control process,4,,,Hawk at 2.5 1 with Tolkan Turbo at 2.0 1 and Cropoil at 1.0 1 in 200 1.,2.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2000,wheat,16/03/2000,,Tolkan Turbo,chemical pest control process,4,,,Hawk at 2.5 1 with Tolkan Turbo at 2.0 1 and Cropoil at 1.0 1 in 200 1.,2,l/ha,200,l/ha,1,,,,,
R/WF/3,2000,wheat,16/03/2000,,Cropoil,chemical pest control process,4,,,Hawk at 2.5 1 with Tolkan Turbo at 2.0 1 and Cropoil at 1.0 1 in 200 1.,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2000,wheat,09/05/2000,,Opus,chemical pest control process,4,,,Opus at 0.7 1 in 100 1. :,0.7,l/ha,100,l/ha,,,,,,
R/WF/3,2000,wheat,24/05/2000,,Amistar,chemical pest control process,4,,,Amistar at 0.8 1 with Folicur at 0.75 1 in 100 1.,0.8,l/ha,100,l/ha,1,,,,,
R/WF/3,2000,wheat,24/05/2000,,Folicur,chemical pest control process,4,,,Amistar at 0.8 1 with Folicur at 0.75 1 in 100 1.,0.75,l/ha,100,l/ha,1,,,,,
R/WF/3,2001,wheat,15/05/2001,,Ally,chemical pest control process,4,,,: tm)Ally at 20 g in 100 l,20,g/ha,100,l/ha,1,,,,,
R/WF/3,2001,wheat,15/05/2001,,Starane 2,chemical pest control process,4,,,Starane 2 at 0.5 1l in 100,0.5,l/ha,100,l/ha,1,,,,,
R/WF/3,2001,wheat,22/05/2001,,Touchdown,chemical pest control process,4,,,: Touchdown at 3.0 1 in 200 1.,3,l/ha,200,l/ha,,,,,,
R/WF/3,2001,wheat,13/06/2001,,Folicur,chemical pest control process,4,,,: Folicur at 0.7 1 in 100 1.,0.7,l/ha,100,l/ha,,,,,,
R/WF/3,2001,wheat,20/08/2001,,Azural,chemical pest control process,4,,,: Azural at 4.0 1 in 200 1.,4,l/ha,200,l/ha,,,,,,
R/WF/3,2002,all plots,11/12/2001,,Hawk,chemical pest control process,4,,,: tm)Hawk at 2.0 1 in 200 1.,2,l/ha,200,l/ha,1,,,,,
R/WF/3,2002,all plots,11/12/2001,,Tolkan liquid,chemical pest control process,4,,,Tolkan liquid at 1.0 1 in 200 1,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2002,all plots,11/12/2001,,Phase II,chemical pest control process,4,,,Phase II at 1.0 1 in 200 1.,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2002,all plots,04/04/2002,,Opus,chemical pest control process,4,,,Opus at 0.4 1 in 100 1,0.4,l/ha,100,l/ha,1,,,,,
R/WF/3,2002,all plots,04/04/2002,,Twist,chemical pest control process,4,,,Twist at 0.6 1 in 100 1,0.6,l/ha,100,l/ha,1,,,,,
R/WF/3,2002,all plots,04/04/2002,,BASF 3C Chlormequat 720,chemical pest control process,4,,,BASF 3C Chlormequat 720 at 1.25 1 in 100 1,1.25,l/ha,100,l/ha,1,,,,,
R/WF/3,2002,all plots,04/04/2002,,Moddus,chemical pest control process,4,,,Moddus at 0.2 1 in 100 1.,0.2,l/ha,100,l/ha,1,,,,,
R/WF/3,2002,all plots,31/05/2002,,Opus,chemical pest control process,4,,,Opus at 0.5 l in 200 l,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2002,all plots,31/05/2002,,Twist,chemical pest control process,4,,,Twist at 0.8 1 in 200 1.,0.8,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,17/02/2003,,Lexus 50 DF,chemical pest control process,4,,,Lexus 50 DF at 20 g in 200 1,20,g/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,17/02/2003,,Stomp 400 SC,chemical pest control process,4,,,Stomp 400 SC at 3.0 1 in 200 1.,3,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,07/05/2003,,Ally,chemical pest control process,4,,,Ally at 30 3 in 200 1,30,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,07/05/2003,,Starane 2,chemical pest control process,4,,,Starane 2 at 0.75 1 in 200 1.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,10/05/2003,,Opus,chemical pest control process,4,,,Opus at 0.5 l in 200 l,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,10/05/2003,,Amistar,chemical pest control process,4,,,Amistar at 0.6 1l in 200,0.6,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,28/05/2003,,Opus,chemical pest control process,4,,,Opus at 0.5 l in 200 l,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,28/05/2003,,Twist,chemical pest control process,4,,,Twist at 1.0 1l in 200 1.,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2003,all plots,26/07/2003,,Touchdown,chemical pest control process,4,,,: Touchdown at 4.0 1 in 200 1.,4,l/ha,200,l/ha,,,,,,
R/WF/3,2004,wheat,16/12/2004,,Arelon 500,chemical pest control process,4,,,500at 4 1 in 200 1 to wheat plot,4,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,wheat,16/12/2004,,Stomp 400 SC,chemical pest control process,4,,,Stomp 400 SC at 2.5 1 in 200 1 to wheat plot.,2.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,fallow,14/04/2004,,Ally,chemical pest control process,4,,,at 30 g in 200 1 to fallow plot,30,g/ha,200,l/ha,1,,,,,
R/WF/3,2004,fallow,14/04/2004,,Oxytril CM,chemical pest control process,4,,,Oxytril CM at 0.5 1 in 200 1 to fallow plot.,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,wheat,13/05/2004,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,wheat,13/05/2004,,Moddus,chemical pest control process,4,,,Moddus at 0.15 1 in 200 1 to wheat plot.,0.15,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,wheat,07/06/2004,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2004,wheat,07/06/2004,,Twist,chemical pest control process,4,,,Twist at 0.75 l1 in 200 1 to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,25/11/2004,,Hawk,chemical pest control process,4,,,at 2.0 1 in 200 1 to wheat plot,2,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,25/11/2004,,Alpha IPU 500,chemical pest control process,4,,,Alpha IPU 500 at 2.5 1 in 200 1 to wheat plot,2.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,25/11/2004,,Nufarm Cropoil,chemical pest control process,4,,,Nufarm Cropoil at 1.0 1 in 200 L to wheat plot,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,25/11/2004,,Hallmark with Zeon Technology,chemical pest control process,4,,,Hallmark with Zeon Technology at 50 ml in 200 L to wheat plot.,50,ml/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,29/04/2005,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,29/04/2005,,Bravo 500,chemical pest control process,4,,,Bravo 500 at 1.0 1 in 200 1 to wheat plot,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,29/04/2005,,Atlas Chlormequat 700,chemical pest control process,4,,,Atlas Chlormequat 700 at 2.25 L in 200 L to wheat plot.,2.25,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,03/05/2005,,Ally SX,chemical pest control process,4,,,SX at 30 g in 200 1 to wheat plot.,30,g/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,15/05/2005,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,15/05/2005,,Bravo 500,chemical pest control process,4,,,Bravo 500 at 1.0 1 in 200 1 to wheat plot,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,15/05/2005,,Starane 2,chemical pest control process,4,,,Starane 2 at 0.5 1 in 200 L to wheat plot.,0.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,31/05/2005,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2005,wheat,31/05/2005,,Amistar Opti,chemical pest control process,4,,,Amistar Opti at 1.5 1 in 200 1 to wheat plot.,1.5,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,17/10/2005,,Ice,chemical pest control process,4,,,at 4.0 1 in 200 1 to wheat plot.,4,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,05/12/2005,,Hallmark with Zeon Technology,chemical pest control process,4,,,with Zeon Technology at 50 ml in 200 L to wheat plot.,50,ml/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/04/2006,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/04/2006,,Bravo 500,chemical pest control process,4,,,Bravo 500 at 1.0 1 in 200 1 to wheat plot,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/04/2006,,Flexity,chemical pest control process,4,,,Flexity at 0.2 L in 200 L to wheat plot.,0.2,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/05/2005,,Opus,chemical pest control process,4,,,at 0.75 l in 200 l to wheat plot.,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/05/2005,,Bravo 500,chemical pest control process,4,,,Bravo 500 at 1.0 1 in 200 1 to wheat plot,1,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/05/2005,,Vivid,chemical pest control process,4,,,Vivid at 0.4 1 in 200 1 to wheat plot,0.4,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/05/2005,,Starane 2,chemical pest control process,4,,,Starane 2 at 0.75 1 in 200 1 to wheat plot,0.75,l/ha,200,l/ha,1,,,,,
R/WF/3,2006,wheat,21/05/2005,,Ally Max SX,chemical pest control process,4,,,Ally Mar SX at 42 g in 200 1 to wheat plot.,42,g/ha,200,l/ha,1,,,,,
R/WF/3,2007,all plots,13/10/2006,,Barclay Gallup 360,chemical pest control process,4,,,Barclay Gallup 360 4.00,4,l/ha,200,l/ha,,,,,,
R/WF/3,2007,all plots,03/11/2006,,Ice,chemical pest control process,4,,,Ice 4.00,4,l/ha,200,l/ha,,,,,,
R/WF/3,2007,all plots,08/12/2006,,Entice,chemical pest control process,4,,,Entice ,7,kg/ha,,,,,,,,
R/WF/3,2007,wheat,11/04/2007,,Pacifica,chemical pest control process,4,,,Pacifica - wheat 0.50,0.5,kg/ha,200,l/ha,,,,,,
R/WF/3,2007,wheat,11/04/2007,,Biopower 1.00,chemical pest control process,4,,,Biopower - wheat 1.00,1,l/ha,200,l/ha,,,,,,
R/WF/3,2007,all plots,23/04/2007,,Clean Crop Wanderer,chemical pest control process,4,,,Clean Crop Wanderer 1.00,1,l/ha,200,l/ha,,,,,,
R/WF/3,2007,wheat,23/04/2007,,Deuce,chemical pest control process,4,,,Deuce 1.00,1,l/ha,200,l/ha,,,,,,
R/WF/3,2007,all plots,22/05/2007,,Amistar Opti,chemical pest control process,4,,,Amistar Opti 1.25,1.25,l/ha,200,l/ha,,,,,,
R/WF/3,2007,all plots,22/05/2007,,Opus,chemical pest control process,4,,,Opus 0.80,0.8,l/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,30/09/2007,,Glyphosate 360,chemical pest control process,4,,,Glyphosate 360 3.00,3,l/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,30/10/2007,,Huron,chemical pest control process,4,,,Huron,5,kg/ha,0,,,,,,,
R/WF/3,2008,wheat,02/11/2007,,Liberator,chemical pest control process,4,,,Liberator wheat plots 0.60 1200 Vha,0.6,l/ha,200,l/ha,,,,,,
R/WF/3,2008,wheat,30/10/2007,,Alpha Trifluralin 48 EC,chemical pest control process,4,,,Alpha Trifluralin 48 EC wheat plot,2,l/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,17/11/2007,,Stomp 400 SC,chemical pest control process,4,,,Stomp 400 SC 3.30 1200 Vha,3.3,l/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,30/10/2007,,Arelon 500,chemical pest control process,4,,,Arelon 500 2.00,2,l/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,30/10/2007,,Hallmark with Zeon Technology,chemical pest control process,4,,,Hallmark with Zeon Technology 50.00,50,ml/ha,200,l/ha,,,,,,
R/WF/3,2008,all plots,08/05/2008,,Deuce,chemical pest control process,4,,,Deuce 1.00,1,l/ha,150,l/ha,,,,,,
R/WF/3,2008,all plots,08/05/2008,,Bravo 500,chemical pest control process,4,,,Bravo 500 0.75,0.75,l/ha,150,l/ha,,,,,,
R/WF/3,2008,all plots,08/05/2008,,Flexity,chemical pest control process,4,,,Flexity 0.20,0.2,l/ha,150,l/ha,,,,,,
R/WF/3,2008,all plots,08/05/2008,,BASF 3C Chlormequat 720,chemical pest control process,4,,,BASF 3C Chlormequat 720,1,l/ha,150,l/ha,,,,,,
R/WF/3,2008,wheat,19/05/2008,,Ally Max SX,chemical pest control process,4,,,Ally Max SX wheat 42.00,42,g/ha,200,l/ha,,,,,,
R/WF/3,2008,wheat,19/05/2008,,Starane 2,chemical pest control process,4,,,Starane 2 wheat 0.75,0.75,l/ha,200,l/ha,,,,,,
