ID,Experiment,year,section,start date,end date,operation,flag,intensity,plots,amount,unit,operation type,water,water unit,tank mixture,method,variety,dressing,machine,original operation
351,Hoosfield,1969,potatoes,04/08/1969,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,Mancozeb applied
352,Hoosfield,1969,potatoes,04/08/1969,,demeton-s-methyl,3,,,3.5,oz/acre,chemical pest control process,,,,,,,,insecticide
353,Hoosfield,1969,potatoes,22/08/1969,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,37,gallons/acre,,,,,,Mancozeb applied
359,Hoosfield,1970,barley,17/09/1969,,paraquat,3,,,0.75,lb/acre,chemical pest control process,20,gallons/acre,,,,,,paraquat applied
362,Hoosfield,1970,barley,26/05/1970,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,4,pints/acre,chemical pest control process,20,gallons/acre,,,,,,MCPA / mecoprop / dicamba applied
367,Hoosfield,1970,beans,18/06/1970,,demeton-s-methyl,3,,,3.5,oz/acre,chemical pest control process,40,gallons/acre,,,,,,insecticide
369,Hoosfield,1970,potatoes,17/09/1969,,paraquat,3,,,0.75,lb/acre,chemical pest control process,20,gallons/acre,,,,,,paraquat applied
372,Hoosfield,1970,potatoes,23/05/1970,,linuron,3,,,1,lb/acre,chemical pest control process,39,gallons/acre,,,,,,linuron applied
374,Hoosfield,1970,potatoes,29/07/1970,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,40,gallons/acre,,,,,,fungicide
375,Hoosfield,1970,potatoes,29/07/1970,,demeton-s-methyl,3,,,3.5,oz/acre,chemical pest control process,,,1,,,,,insecticide
376,Hoosfield,1970,potatoes,14/08/1970,,mancozeb,3,,,1.2,lb/acre,chemical pest control process,40,gallons/acre,,,,,,fungicide
377,Hoosfield,1970,potatoes,03/09/1970,,undiluted BOV,3,,,15,gallons/acre,chemical pest control process,,,,sprayed,,,,sprayed with undiluted BOV at 15 gals
384,Hoosfield,1971,All plots,10/05/1971,,"ioxynil octanoate, bromoxynil octanoate and the iso-octyl ester of dichlorprop (Oxytril P)",3,,,1.4,l/ha,chemical pest control process,225,l/ha,,,,,,Oxytril P applied
386,Hoosfield,1971,barley,19/09/1970,,paraquat,3,,,0.28,kg/ha,chemical pest control process,225,l/ha,,,,,,paraquat applied
389,Hoosfield,1971,beans,19/09/1970,,paraquat,3,,,0.28,kg/ha,chemical pest control process,225,l/ha,,,,,,paraquat applied
391,Hoosfield,1971,beans,01/07/1971,,demeton-s-methyl,3,,,245,g/ha,chemical pest control process,427,l/ha,,,,,,insecticide
394,Hoosfield,1971,potatoes,19/09/1970,,paraquat,3,,,0.56,kg/ha,chemical pest control process,220,l/ha,,,,,,paraquat applied
396,Hoosfield,1971,potatoes,15/04/1971,,linuron,3,,,1.68,kg/ha,chemical pest control process,427,l/ha,,,,,,linuron applied
399,Hoosfield,1971,potatoes,13/08/1971,,mancozeb,3,,,1.34,kg/ha,chemical pest control process,438,l/ha,,,,,,fungicide
407,Hoosfield,1972,barley,09/09/1971,,paraquat,3,,,0.56,kg/ha,chemical pest control process,220,l/ha,,,,,,paraquat applied
409,Hoosfield,1972,barley,18/05/1972,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,5.6,l/ha,chemical pest control process,220,l/ha,,,,,,Banlene Plus applied
412,Hoosfield,1972,beans,17/06/1972,,phorate,3,,,1.1,kg/ha,chemical pest control process,,,,,,,,insecticide
414,Hoosfield,1972,potatoes,09/09/1971,,paraquat,3,,,0.56,kg/ha,chemical pest control process,220,l/ha,,,,,,paraquat applied
416,Hoosfield,1972,potatoes,17/05/1972,,linuron,3,,,1.1,kg/ha,chemical pest control process,450,l/ha,,,,,,"linuron, paraquat applied"
419,Hoosfield,1972,potatoes,11/07/1972,,mancozeb,3,,,1.4,kg/ha,chemical pest control process,440,l/ha,,,,,,fungicide
420,Hoosfield,1972,potatoes,21/07/1972,,mancozeb,3,,,1.4,kg/ha,chemical pest control process,440,l/ha,,,,,,fungicide
421,Hoosfield,1972,potatoes,21/07/1972,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,440,l/ha,,,,,,insecticide
422,Hoosfield,1972,potatoes,10/08/1972,,mancozeb,3,,,1.4,kg/ha,chemical pest control process,440,l/ha,,,,,,fungicide
423,Hoosfield,1972,potatoes,16/09/1972,,undiluted BOV,3,,,110,l/ha,chemical pest control process,,,,sprayed,,,,sprayed with undiluted BOV at 110 l
424,Hoosfield,1972,potatoes,20/09/1972,,undiluted BOV,3,,,200,l/ha,chemical pest control process,,,,sprayed,,,,sprayed with undiluted BOV at 200 l
431,Hoosfield,1973,barley,11/05/1973,15/05/1973,"dicamba, mecoprop and MCPA as 'Tetralex Plus'",3,,,7.0,l/ha,chemical pest control process,220,l/ha,,,,,,weedkiller
434,Hoosfield,1973,beans,08/06/1973,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,370,l/ha,,,,,,insecticide
437,Hoosfield,1973,potatoes,15/05/1973,,linuron,3,,,1.1,kg/ha,chemical pest control process,450,l/ha,,,,,,weedkiller
438,Hoosfield,1973,potatoes,02/07/1973,,mancozeb,3,,,1.35,kg/ha,chemical pest control process,370,l/ha,,,,,,fungicide
439,Hoosfield,1973,potatoes,02/07/1973,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,370,l/ha,,,,,,insecticide
440,Hoosfield,1973,potatoes,18/07/1973,,mancozeb,3,,,1.35,kg/ha,chemical pest control process,370,l/ha,,,,,,fungicide
441,Hoosfield,1973,potatoes,09/08/1973,,mancozeb,3,,,1.35,kg/ha,chemical pest control process,370,l/ha,,,,,,fungicide
442,Hoosfield,1973,potatoes,31/08/1973,,undiluted BOV,3,,,,,chemical pest control process,,,,,,,,
450,Hoosfield,1974,barley,17/09/1973,,paraquat,3,,,0.56,kg/ha,chemical pest control process,220,l/ha,,,,,,paraquat applied
454,Hoosfield,1974,barley,21/05/1974,,"dicamba, mecoprop and MCPA as 'Tetralex Plus'",3,,,7.0,l/ha,chemical pest control process,220,l/ha,,,,,,weedkiller
458,Hoosfield,1974,beans,13/06/1974,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,220,l/ha,,,,,,insecticide
460,Hoosfield,1974,potatoes,17/09/1973,,paraquat,3,,,0.56,kg/ha,chemical pest control process,220,l/ha,,,,,,paraquat applied
463,Hoosfield,1974,potatoes,17/05/1974,,linuron,3,,,1.2,kg/ha,chemical pest control process,450,l/ha,,,,,,"linuron, paraquat applied"
465,Hoosfield,1974,potatoes,01/07/1974,,mancozeb,3,,,1.35,kg/ha,chemical pest control process,450,l/ha,,,,,,fungicide
466,Hoosfield,1974,potatoes,01/07/1974,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,,,,,,,,insecticide
467,Hoosfield,1974,potatoes,02/08/1974,,mancozeb,3,,,1.35,kg/ha,chemical pest control process,450,l/ha,,,,,,fungicide
469,Hoosfield,1974,potatoes,16/09/1974,,undiluted BOV,3,,,200,l/ha,chemical pest control process,,,,sprayed,,,,sprayed with undiluted BOV at 200 l
478,Hoosfield,1975,barley,20/05/1975,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,5.6,l/ha,chemical pest control process,220,l/ha,,,,,,weedkiller
483,Hoosfield,1975,beans,09/07/1975,,demeton-s-methyl,3,,,0.25,kg/ha,chemical pest control process,450,l/ha,,,,,,insecticide
488,Hoosfield,1975,potatoes,04/06/1975,,linuron,3,,,1.1,kg/ha,chemical pest control process,450,l/ha,,,,,,"linuron, paraquat applied"
489,Hoosfield,1975,potatoes,27/06/1975,,demeton-s-methyl,3,,,0.95,kg/ha,chemical pest control process,450,l/ha,,,,,,insecticide
492,Hoosfield,1975,potatoes,21/07/1975,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,,,,,,,,fungicide
493,Hoosfield,1975,potatoes,21/07/1975,,demeton-s-methyl,3,,,0.95,kg/ha,chemical pest control process,450,l/ha,,,,,,insecticide
497,Hoosfield,1976,All plots,02/10/1975,,applied chalk,3,,,2.5,t/ha,liming process,,,,,,,,chalk
506,Hoosfield,1976,barley,14/05/1976,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,to all remaining plots,5.6,l/ha,chemical pest control process,220,l/ha,,,,,,Banlene Plus applied
507,Hoosfield,1976,barley,25/05/1976,,"dicamba, mecoprop and MCPA as 'Tetralex Plus'",3,,to 'Form of N 1852-1966 N and C' plots,7.0,l/ha,chemical pest control process,220,l/ha,,,,,,Tetralex Plus applied
516,Hoosfield,1976,potatoes,05/05/1976,,linuron,3,,,1.2,kg/ha,chemical pest control process,220,l/ha,,,,,,weedkiller
517,Hoosfield,1976,potatoes,17/06/1976,,primicarb,3,,,0.14,kg/ha,chemical pest control process,450,l/ha,,,,,,insecticide
519,Hoosfield,1976,potatoes,28/07/1976,,mancozeb,3,,,1.5,kg/ha,chemical pest control process,450,l/ha,,,,,,fungicide
521,Hoosfield,1976,potatoes,28/09/1976,,diquat,3,,,0.6,kg/ha,chemical pest control process,220,l/ha,,,,,,Haulm desiccant applied
529,Hoosfield,1977,barley,24/05/1977,,"dicamba, mecoprop and MCPA as 'Banlene Plus'",3,,,4.9,l/ha,chemical pest control process,220,l/ha,,,,,,spring weedkillers applied
530,Hoosfield,1977,barley,06/08/1977,,diquat,3,,"in Autumn to manures C--RTN, CP-RTN, C-KRTN and CPKRIN plots only",0.59,kg/ha,chemical pest control process,450,l/ha,,,,,,weedkiller
534,Hoosfield,1977,beans,19/07/1977,,primicarb,3,,,0.14,kg/ha,chemical pest control process,280,l/ha,,,,,,insecticide
536,Hoosfield,1977,potatoes,06/09/1976,,applied chalk,3,,,2.5,t/ha,liming process,,,,,,,,chalk
541,Hoosfield,1977,potatoes,28/05/1977,,linuron,3,,,1.2,kg/ha,chemical pest control process,340,l/ha,,,,,,weedkiller
544,Hoosfield,1977,potatoes,23/06/1977,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,330,l/ha,,,,,,fungicide
545,Hoosfield,1977,potatoes,05/07/1977,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,330,l/ha,,,,,,fungicide
546,Hoosfield,1977,potatoes,26/07/1977,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,330,l/ha,,,,,,fungicide
547,Hoosfield,1977,potatoes,26/07/1977,,primicarb,3,,,0.14,kg/ha,chemical pest control process,330,l/ha,,,,,,insecticide
548,Hoosfield,1977,potatoes,10/08/1977,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,330,l/ha,,,,,,fungicide
549,Hoosfield,1977,potatoes,10/08/1977,,primicarb,3,,,0.14,kg/ha,chemical pest control process,330,l/ha,,,,,,insecticide
556,Hoosfield,1978,barley,10/10/1977,,glyphosate,3,,,1.7,kg/ha,chemical pest control process,220,l/ha,,,,,,glyphosate applied
560,Hoosfield,1978,barley,23/05/1978,,ioxynil,3,,"except 'Form of N 1852-1966, N, C' plots and 'extra' plots",0.53,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,"ioxynil, mecoprop, tridemorph applied to all plots except 'Form of N 1852-1966, N, C' plots and 'extra' plots"
560,Hoosfield,1978,barley,23/05/1978,,mecoprop,3,,,1.6,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
560,Hoosfield,1978,barley,23/05/1978,,tridemorph,3,,,0.53,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
561,Hoosfield,1978,barley,26/05/1978,,ioxynil,3,,remaining plots sprayed,0.53,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,Remaining plots sprayed
561,Hoosfield,1978,barley,26/05/1978,,mecoprop,3,,remaining plots sprayed,1.6,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
561,Hoosfield,1978,barley,26/05/1978,,tridemorph,3,,remaining plots sprayed,0.53,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
565,Hoosfield,1978,beans,07/07/1978,,primicarb,3,,,0.14,kg/ha,chemical pest control process,220,l/ha,,,,,,insecticide
567,Hoosfield,1978,potatoes,10/10/1977,,glyphosate,3,,,1.7,kg/ha,chemical pest control process,220,l/ha,,,,,,glyphosate applied
568,Hoosfield,1978,potatoes,11/10/1977,,applied chalk,3,,,2.5,t/ha,liming process,,,,,,,,chalk
571,Hoosfield,1978,potatoes,15/05/1978,,linuron,3,,,1.1,kg/ha,chemical pest control process,220,l/ha,,,,,,linuron applied
573,Hoosfield,1978,potatoes,05/07/1978,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,220,l/ha,,,,,,Mancozeb applied
574,Hoosfield,1978,potatoes,17/07/1978,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,"Mancozeb, pirimicarb applied"
574,Hoosfield,1978,potatoes,17/07/1978,,primicarb,3,,,0.14,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
575,Hoosfield,1978,potatoes,04/08/1978,,mancozeb,3,,,1.3,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,"Mancozeb, pirimicarb applied"
575,Hoosfield,1978,potatoes,04/08/1978,,primicarb,3,,,0.14,kg/ha,chemical pest control process,220,l/ha,1,sprayed,,,,
576,Hoosfield,1978,potatoes,17/08/1978,,Fentin acetate and mancozeb as 'Fennite A',3,,,1.7,kg/ha,chemical pest control process,220,l/ha,,,,,,Fennite A applied
577,Hoosfield,1978,potatoes,08/09/1978,,Fentin acetate and mancozeb as 'Fennite A',3,,,1.7,kg/ha,chemical pest control process,220,l/ha,,,,,,Fennite A applied
580,Hoosfield,1979,All plots,20/11/1978,,applied chalk,3,,,2.5,t/ha,liming process,,,,,,,,chalk
585,Hoosfield,1979,All plots,19/05/1979,,"mecoprop, bromoxynil and ioxynil as 'Brittox'",3,,,3.5,kg/ha,chemical pest control process,220,l/ha,,,,,,weedkiller
586,Hoosfield,1979,All plots,18/06/1979,,tridemorph,3,,,0.53,kg/ha,chemical pest control process,220,l/ha,,,,,,fungicide
588,Hoosfield,1980,All plots,01/09/1979,,paraquat,3,,,0.84,kg/ha,chemical pest control process,250,l/ha,,,,,,paraquat applied
589,Hoosfield,1980,All plots,07/10/1979,,applied chalk,3,,,2.5,t/ha,liming process,,,,,,,,chalk
594,Hoosfield,1980,All plots,12/05/1980,,"mecoprop, bromoxynil and ioxynil as 'Brittox'",3,,,2.5,l/ha,chemical pest control process,250,l/ha,1,sprayed,,,,Brittox applied
594,Hoosfield,1980,All plots,12/05/1980,,tridemorph,3,,,0.53,kg/ha,chemical pest control process,250,l/ha,1,sprayed,,,,
596,Hoosfield,1981,all plots,01/09/1980,,paraquat,3,,,0.84,kg/ha,chemical pest control process,250,l/ha,,,,,,paraquat applied
597,Hoosfield,1981,all plots,07/10/1980,,applied chalk,3,,,,,liming process,,,,,,,,chalk
604,Hoosfield,1981,all plots,12/05/1981,,"mecoprop, bromoxynil and ioxynil as 'Brittox'",3,,,2.5,l/ha,chemical pest control process,250,l/ha,1,sprayed,,,,Brittox applied
604,Hoosfield,1981,all plots,12/05/1981,,tridemorph,3,,,0.53,kg/ha,chemical pest control process,250,l/ha,1,sprayed,,,,
