ID,Experiment,year,section,start date,end date,operation,flag,intensity,plots,amount,unit,operation type,water,water unit,tank mixture,method,variety,dressing,machine,original operation
310,Hoosfield,1968,All plots,06/10/1967,,applied Si as sodium silicate,4,,,400,lb/acre,agronomic fertilization process,,,,,,,,Silicate of soda applied
311,Hoosfield,1968,all plots,06/10/1967,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
314,Hoosfield,1968,barley,25/03/1968,,applied Nitrochalk,4,,,,,agronomic fertilization process,,,,,,,,Nitrochalk applied
321,Hoosfield,1968,potatoes,26/03/1968,,applied Nitrochalk,4,,,,,agronomic fertilization process,,,,,,,,Nitrochalk applied
332,Hoosfield,1969,All plots,04/12/1968,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
334,Hoosfield,1969,all plots,06/12/1968,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
337,Hoosfield,1969,barley,01/04/1969,,applied Nitrochalk,4,,,,,agronomic fertilization process,,,,,,,,Nitrochalk applied
345,Hoosfield,1969,potatoes,09/04/1969,,applied Nitrochalk,4,,,,,agronomic fertilization process,,,,,,,,Nitrochalk applied
356,Hoosfield,1970,All plots,22/10/1969,,fertilizers applied,4,,,,,agronomic fertilization process,,,,,,,,fertilizers applied
357,Hoosfield,1970,All plots,10/11/1969,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
361,Hoosfield,1970,barley,09/04/1970,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
370,Hoosfield,1970,potatoes,29/04/1970,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
379,Hoosfield,1971,All plots,16/10/1970,,"fertilizers, except N, applied",4,,,,,agronomic fertilization process,,,,,,,,"fertilizers, except N, applied"
380,Hoosfield,1971,All plots,21/10/1970,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
383,Hoosfield,1971,All plots,23/03/1971,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
395,Hoosfield,1971,potatoes,02/04/1971,,applied N,4,,,,,agronomic fertilization process,,,,,,,,"N applied, plots rotary cultivated, potatoes machine planted"
403,Hoosfield,1972,All plots,22/09/1971,,"fertilizers, except N, applied",4,,,,,agronomic fertilization process,,,,,,,,"fertilizers, except N, applied"
404,Hoosfield,1972,All plots,05/11/1971,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
406,Hoosfield,1972,All plots,17/04/1972,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
426,Hoosfield,1973,All plots,01/11/1972,,"fertilizers, except N, applied",4,,,,,agronomic fertilization process,,,,,,,,"fertilizers, except N, applied"
427,Hoosfield,1973,All plots,03/11/1972,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
429,Hoosfield,1973,All plots,22/03/1973,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
444,Hoosfield,1974,All plots,02/10/1973,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
445,Hoosfield,1974,all plots,24/10/1973,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,"K, Mg applied"
445,Hoosfield,1974,All plots,24/10/1973,,applied Mg as Kieserite,4,,,35,kgMg/ha,agronomic fertilization process,,,,,,,,
446,Hoosfield,1974,all plots,29/10/1973,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda applied
447,Hoosfield,1974,All plots,19/11/1973,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
449,Hoosfield,1974,All plots,08/04/1974,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
471,Hoosfield,1975,All plots,25/11/1974,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
472,Hoosfield,1975,all plots,08/01/1975,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,"K, silicate of soda, FYM applied"
472,Hoosfield,1975,All plots,08/01/1975,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
472,Hoosfield,1975,All plots,08/01/1975,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,
477,Hoosfield,1975,barley,29/04/1975,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
485,Hoosfield,1975,potatoes,29/04/1975,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
496,Hoosfield,1976,All plots,01/10/1975,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K applied"
496,Hoosfield,1976,all plots,01/10/1975,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
498,Hoosfield,1976,All plots,06/10/1975,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda applied
500,Hoosfield,1976,All plots,13/11/1975,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
505,Hoosfield,1976,barley,26/03/1976,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
513,Hoosfield,1976,potatoes,26/03/1976,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
523,Hoosfield,1977,All plots,25/10/1976,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"all plots P, K, Mg, silicate of soda applied"
523,Hoosfield,1977,all plots,25/10/1976,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
523,Hoosfield,1977,All plots,25/10/1976,,applied Mg as Kieserite,4,,,35,kgMg/ha,agronomic fertilization process,,,,,,,,
523,Hoosfield,1977,All plots,25/10/1976,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
524,Hoosfield,1977,All plots,26/10/1976,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
528,Hoosfield,1977,barley,14/04/1977,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
537,Hoosfield,1977,potatoes,14/04/1977,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
552,Hoosfield,1978,All plots,13/12/1977,,autumn manures applied,4,,,,,agronomic fertilization process,,,,,,,,autumn manures applied
559,Hoosfield,1978,barley,17/05/1978,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
569,Hoosfield,1978,potatoes,11/05/1978,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
579,Hoosfield,1979,All plots,13/11/1978,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, Na applied"
579,Hoosfield,1979,all plots,13/11/1978,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
579,Hoosfield,1979,All plots,13/11/1978,,applied Na,4,,,,,agronomic fertilization process,,,,,,,,
581,Hoosfield,1979,All plots,23/11/1978,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
584,Hoosfield,1979,All plots,18/05/1979,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
590,Hoosfield,1980,All plots,01/12/1979,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, silicate of soda applied"
590,Hoosfield,1980,all plots,01/12/1979,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
590,Hoosfield,1980,All plots,01/12/1979,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
591,Hoosfield,1980,All plots,03/12/1979,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
593,Hoosfield,1980,All plots,16/04/1980,,applied N,4,,,,,agronomic fertilization process,,,,,,,,MW applied
598,Hoosfield,1981,all plots,01/12/1980,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K and silicate of soda applied"
598,Hoosfield,1981,all plots,01/12/1980,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
598,Hoosfield,1981,all plots,01/12/1980,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
599,Hoosfield,1981,all plots,03/12/1980,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
603,Hoosfield,1981,all plots,21/04/1981,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
607,Hoosfield,1982,All plots,12/11/1981,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K applied"
607,Hoosfield,1982,all plots,12/11/1981,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
608,Hoosfield,1982,All plots,13/11/1981,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda applied
610,Hoosfield,1982,All plots,18/11/1981,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
614,Hoosfield,1982,All plots,05/05/1982,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
619,Hoosfield,1983,All plots,08/11/1982,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, Mg and silicate of soda applied"
619,Hoosfield,1983,all plots,08/11/1982,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
619,Hoosfield,1983,All plots,08/11/1982,,applied Mg as Kieserite,4,,,35,kgMg/ha,agronomic fertilization process,,,,,,,,
619,Hoosfield,1983,All plots,08/11/1982,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
620,Hoosfield,1983,All plots,24/11/1982,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,
624,Hoosfield,1983,All plots,23/05/1983,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
629,Hoosfield,1984,All plots,15/11/1983,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, silicate of soda applied"
629,Hoosfield,1984,all plots,15/11/1983,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
629,Hoosfield,1984,All plots,15/11/1983,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
630,Hoosfield,1984,All plots,16/11/1983,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
633,Hoosfield,1984,All plots,16/04/1984,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
638,Hoosfield,1985,All plots,30/10/1984,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda applied
639,Hoosfield,1985,All plots,02/11/1984,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
640,Hoosfield,1985,all plots,26/11/1984,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,K applied
641,Hoosfield,1985,All plots,27/11/1984,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
644,Hoosfield,1985,All plots,22/04/1985,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
648,Hoosfield,1986,All plots,18/11/1985,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,"Silicate of soda, P, Mg applied"
648,Hoosfield,1986,All plots,18/11/1985,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,
648,Hoosfield,1986,All plots,18/11/1985,,applied Mg as Kieserite,4,,,35,kgMg/ha,agronomic fertilization process,,,,,,,,
649,Hoosfield,1986,all plots,20/11/1985,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,"K, FYM applied"
649,Hoosfield,1986,All plots,20/11/1985,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,
652,Hoosfield,1986,All plots,12/05/1986,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
657,Hoosfield,1987,All plots,28/11/1986,,applied P as single superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, silicate of soda applied"
657,Hoosfield,1987,all plots,28/11/1986,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
657,Hoosfield,1987,All plots,28/11/1986,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
658,Hoosfield,1987,All plots,02/12/1986,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
660,Hoosfield,1987,All plots,24/04/1987,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
664,Hoosfield,1988,All plots,11/01/1988,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, K, silicate of soda applied"
664,Hoosfield,1988,all plots,11/01/1988,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
664,Hoosfield,1988,All plots,11/01/1988,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
665,Hoosfield,1988,All plots,15/01/1988,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
667,Hoosfield,1988,All plots,12/04/1988,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
674,Hoosfield,1989,All plots,07/12/1988,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda applied
675,Hoosfield,1989,all plots,08/12/1988,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,"K, Mg applied"
675,Hoosfield,1989,All plots,08/12/1988,,applied Mg as Kieserite,4,,,35,kgMg/ha,agronomic fertilization process,,,,,,,,
676,Hoosfield,1989,All plots,09/12/1988,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
677,Hoosfield,1989,All plots,13/12/1988,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,"FYM applied, ploughed"
679,Hoosfield,1989,All plots,31/03/1989,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
684,Hoosfield,1990,All plots,29/11/1989,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,"P, silicate of soda applied"
684,Hoosfield,1990,All plots,29/11/1989,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,
685,Hoosfield,1990,all plots,30/11/1989,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,K applied
686,Hoosfield,2016,All plots,09/05/2016,,applied Nitrochalk,4,,"plots 113, 124, 211, 222, 313, 321, 412, 421, 611, 621, 631, 712, 721, 732",96,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitrochalk to plots 113, 124, 211, 222, 313, 321, 412, 421, 611, 621, 631, 712, 721, 732"
687,Hoosfield,2016,All plots,09/05/2016,,applied Nitrochalk,4,,"to plots 112, 123, 212, 223, 314, 324, 414, 422, 613, 624, 634, 711, 722, 731",144,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitrochalk to plots 112, 123, 212, 223, 314, 324, 414, 422, 613, 624, 634, 711, 722, 731"
699,Hoosfield,2017,all plots,31/10/2016,,applied K as potassium sulphate,4,,"Plots 634 - 631, 551 - 582, 444 - 411, 344 - 311, 244 - 241, 144 - 141",90,kgK/ha,agronomic fertilization process,217,kg/ha,,,,,,"applied Sulphate of potash to Plots 141 - 144, 241 - 244, 311 - 344, 411 - 444, 551 - 582, 631 - 634"
700,Hoosfield,2017,All plots,31/10/2016,,applied Mg as Kieserite,4,,"plots 634, 533, 632, 631",35,kgMg/ha,agronomic fertilization process,233,kg/ha,,,,,,"applied Kieserite - plots 634, 533, 632, 631"
701,Hoosfield,2017,All plots,31/10/2016,,applied P as triple superphosphate,4,,"plots 634, 633, 632, 631",35,kgP/ha,agronomic fertilization process,215,kg/ha,,,,,,"applied Triple Superphosphate - plots 634, 633, 632, 631"
702,Hoosfield,2017,All plots,08/11/2016,,applied Si as sodium silicate,4,,"plots 433, 333, 233, 133, 432, 332, 232, 132",450,kg/ha,agronomic fertilization process,,,,,,,,"applied silicate of soda - plots 433, 333, 233, 133, 432, 332, 232, 132"
703,Hoosfield,2017,All plots,10/11/2016,,applied FYM,4,,"plots 734, 733, 732, 731, 724, 723, 722, 721",35,t/ha,agronomic fertilization process,,,,,,,,"applied FYM - plots 734, 733, 732, 731, 724, 723, 722, 721"
711,Hoosfield,2017,All plots,23/05/2017,,applied Nitrochalk (27% N),4,,"to Plots 113, 124, 211, 222, 313, 321, 412, 421, 611, 621, 631, 712, 721, 732",48,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitrochalk (27% N) to Plots 113, 124, 211, 222, 313, 321, 412, 421, 611, 621, 631, 712, 721, 732"
712,Hoosfield,2017,All plots,23/05/2017,,applied Nitrochalk (27% N),4,,"to Plots 112, 123, 212, 223, 314, 324, 414, 422, 613, 624, 634, 711, 722, 731",96,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitrochalk (27% N) to Plots 112, 123, 212, 223, 314, 324, 414, 422, 613, 624, 634, 711, 722, 731"
713,Hoosfield,2017,All plots,23/05/2017,,applied Nitrochalk (27% N),4,,"to Plots 114, 122, 213, 224, 312, 323, 411, 424, 612, 622, 632, 714, 723, 733",144,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitrochalk (27% N) to Plots 114, 122, 213, 224, 312, 323, 411, 424, 612, 622, 632, 714, 723, 733"
715,Hoosfield,2017,All plots,24/05/2017,,applied Nitram,4,,"Series AA (except 621 - 624, 721 - 724), C and Strip 5",417,kg/ha,agronomic fertilization process,,,,,,,,"applied Nitram to Series AA (except 621 to 624, 721 to 724), C and Strip 5"
722,Hoosfield,1990,All plots,04/12/1989,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
725,Hoosfield,1990,All plots,10/04/1990,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
731,Hoosfield,1992,All plots,11/12/1991,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Silicate of soda and kieserite applied.
731,Hoosfield,1992,All plots,11/12/1991,,applied Mg as Kieserite,4,,,30,kgMg/ha,agronomic fertilization process,223,kg/ha,,,,,,
732,Hoosfield,1992,All plots,12/12/1991,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P and K applied
732,Hoosfield,1992,all plots,12/12/1991,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
733,Hoosfield,1992,All plots,06/01/1992,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
739,Hoosfield,1992,All plots,06/05/1992,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
744,Hoosfield,1993,All plots,21/12/1992,,applied Si as sodium silicate,4,,,450,kg/ha,agronomic fertilization process,,,,,,,,Si and K applied.
744,Hoosfield,1993,all plots,21/12/1992,,applied K as potassium sulphate,4,,,90,kgK/ha,agronomic fertilization process,,,,,,,,
745,Hoosfield,1993,All plots,22/12/1992,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
746,Hoosfield,1993,All plots,19/01/1993,,applied FYM,4,,,35,t/ha,agronomic fertilization process,,,,,,,,FYM applied
752,Hoosfield,1993,All plots,30/04/1993,,applied N,4,,,,,agronomic fertilization process,,,,,,,,N applied
756,Hoosfield,1994,All plots,19/11/1993,,applied P as triple superphosphate,4,,,35,kgP/ha,agronomic fertilization process,,,,,,,,P applied
