experiment,year,start date,end date,plot,operation,flag,intensity,operation_type,amount,unit,water,water_unit,crop,variety,dressing,machine
R/CS/399,1994,19-Apr-1994,,,Hytane 500 SC,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/399,1994,06-May-1994,,,Radar,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/399,1994,06-May-1994,,,Standon Tridemorph 750,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/399,1994,31-May-1994,,,Mistral,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/399,1994,31-May-1994,,,Radar,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/399,1994,25-Jul-1994,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/399,1994,,,,Soil Winter samples were taken for N analysis dressing the Winter. Soil and crop samples were taken for N analysis dressing the summer.,1,,comment,,,,,,,,
R/CS/420,1995,24-May-1994,,SETDESTR (HP),glyphosate,1,,chemical pest control process,4.0,l/ha,200,l/ha,,,,
R/CS/420,1995,27-May-1994,,"SETDESTR (PG), (PC), (MP), (-P)",topped,1,,mowing process,,,,,,,,
R/CS/420,1995,03-Jun-1994,,SETDESTR (MP),heavy springtine cultivated to 10 cm.,1,1,tillage process,,,,,,,,
R/CS/420,1995,03-Jun-1994,,"SETDESTR (PG), (PC)",ploughed,1,,tillage process,,,,,,,,
R/CS/420,1995,05-Jul-1994,,"SETDESTR (MP), (-P)",topped,1,,mowing process,,,,,,,,
R/CS/420,1995,06-Jul-1994,,SETDESTR (PC),heavy springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/420,1995,19-Jul-1994,,,PK as (0:20:32),1,,agronomic fertilization process,1406,kg/ha,,,,,,
R/CS/420,1995,22-Jul-1994,,SETDESTR (-P),topped,1,,mowing process,,,,,,,,
R/CS/420,1995,01-Aug-1994,,SETDESTR (PC),heavy springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/420,1995,01-Aug-1994,,"SETDESTR (MP), (HP), (-P)",topped,1,,mowing process,,,,,,,,
R/CS/420,1995,12-Aug-1994,,"SETDESTR (MP), (HP), (-P)",ploughed,1,,tillage process,,,,,,,,
R/CS/420,1995,26-Aug-1994,,CROP R,cultivated by rotary grubber (one block only).,1,1,tillage process,,,,,,,,
R/CS/420,1995,26-Aug-1994,,CROP R,springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/420,1995,26-Aug-1994,,CROP KR,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/420,1995,26-Aug-1994,,CROP KR,seed drilled,1,,seeding process,120,seeds/m2,,,,Apex, Lindex-Plus FS,drilled
R/CS/420,1995,27-Sep-1994,,"SETDESTR (PG), CROP W",spring CT,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/420,1995,28-Sep-1994,,CROP W,springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/420,1995,28-Sep-1994,,CROP W,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/420,1995,28-Sep-1994,,CROP W,seed drilled,1,,seeding process,380,seeds/m2,,,,Genesis, Rappor,drilled
R/CS/420,1995,29-Sep-1994,,,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
R/CS/420,1995,02-Nov-1994,,CROP R,Butisan S,1,,chemical pest control process,2.5,l/ha,260,l/ha,,,,
R/CS/420,1995,02-Nov-1994,,CROP R,Laser,1,,chemical pest control process,1.0,l/ha,260,l/ha,,,,
R/CS/420,1995,02-Nov-1994,,CROP R,Atlas Adjuvant Oil,1,,chemical pest control process,2.4,l/ha,260,l/ha,,,,
R/CS/420,1995,21-Nov-1994,,CROP W,Auger,1,,chemical pest control process,2.5,l/ha,200,l/ha,,,,
R/CS/420,1995,21-Nov-1994,,CROP W,Stomp 400,1,,chemical pest control process,2.5,l/ha,200,l/ha,,,,
R/CS/420,1995,21-Nov-1994,,CROP W,Decis,1,,chemical pest control process,200,ml/ha,200,l/ha,,,,
R/CS/420,1995,07-Feb-1995,,CROP W,Birlane 24,1,,chemical pest control process,2.8,l/ha,200,l/ha,,,,
R/CS/420,1995,23-Feb-1995,,"CROP R, NITROGEN N",34.5% N,1,,agronomic fertilization process,174,kg/ha,,,,,,
R/CS/420,1995,13-Mar-1995,,"CROP W, NITROGEN N",34.5% N,1,,agronomic fertilization process,118,kg/ha,,,,,,
R/CS/420,1995,30-Mar-1995,,"CROP R, NITROGEN N",34.5% N,1,,agronomic fertilization process,290,kg/ha,,,,,,
R/CS/420,1995,11-Apr-1995,,CROP R,Barclay Eyetak,1,,chemical pest control process,1.1,l/ha,200,l/ha,,,,
R/CS/420,1995,12-Apr-1995,,"CROP W, NITROGEN N",34.5% N,1,,agronomic fertilization process,348,kg/ha,,,,,,
R/CS/420,1995,03-May-1995,,CROP W,Starane 2,1,,chemical pest control process,0.75,l/ha,200,l/ha,,,,
R/CS/420,1995,03-May-1995,,CROP W,Halo,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/420,1995,20-Jun-1995,,CROP W,Silvacur,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/420,1995,12-Jul-1995,,CROP R,Reglone,1,,chemical pest control process,3.0,l/ha,400,l/ha,,,,
R/CS/420,1995,12-Jul-1995,,CROP R,Vassgro Spreader,1,,chemical pest control process,400,ml/ha,400,l/ha,,,,
R/CS/420,1995,18-Jul-1995,,CROP R,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/420,1995,02-Aug-1995,,CROP W,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/420,1995,,,,(1) Treatment SETDESTR (PG) - glyphosate pre-drilling' was not applied to the plots going into rape. ,1,,comment,,,,,,,,
R/CS/420,1995,,,,(2) Straw was cropped in August 1993 at the started of the set-aside ear. ,1,,comment,,,,,,,,
R/CS/420,1995,,,,(3) Soil and plant samples were taken in November and March for nitrogen content. Weed counts were made in November and March. Samples to assess root and stem base diseases in wheat were taken in April and June. Grain quality was assessed. ,1,,comment,,,,,,,,
R/CS/420,1996,13-Sep-1995,,,ploughed,1,,tillage process,,,,,,,,
R/CS/420,1996,13-Sep-1995,,,furrow pressed,1,1,tillage process,,,,,,,,
R/CS/420,1996,30-Sep-1995,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/420,1996,30-Sep-1995,,,seed drilled,1,,seeding process,380,seeds/m2,,,,Genesis, Sibutol,drilled
R/CS/420,1996,11-Mar-1996,,,34.5% N,1,,agronomic fertilization process,116,kg/ha,,,,,,
R/CS/420,1996,11-Apr-1996,,,34.5% N,1,,agronomic fertilization process,463,kg/ha,,,,,,
R/CS/420,1996,30-Apr-1996,,,Starane 2,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/420,1996,30-Apr-1996,,,barley Holdup,1,,chemical pest control process,2.3,l/ha,200,l/ha,,,,
R/CS/420,1996,13-Jun-1996,,,Alto 100 SL,1,,chemical pest control process,0.6,l/ha,300,l/ha,,,,
R/CS/420,1996,13-Jun-1996,,,Mallard 750 EC,1,,chemical pest control process,0.4,l/ha,300,l/ha,,,,
R/CS/420,1996,09-Jul-1996,,,Wild oats pulled by hand,1,,pest control process,,,,,,,,
R/CS/420,1996,06-Aug-1996,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/420,1996,,,,Samples were taken in July to assess root and stem base diseases.,1,,comment,,,,,,,,
R/CS/437,1996,15-May-1995,,"SETDESTR (MP), (-P)",topped,1,,mowing process,,,,,,,,
R/CS/437,1996,16-May-1995,,"SETDESTR (PG), (PC), (HP)",Roundup Biactive,1,,chemical pest control process,4.0,l/ha,200,l/ha,,,,
