record_id	source_id	sequence	Experiment	harvest_year	plots	start_date_orig	start date	end_date_orig	end_date	type	flag	record	tidy_record	rate	unit	water_volume	water_volume_unit	
	20		R/BK/1	1931	cropped sections		16/10/1930			diary record	1	seed sown	Seed sown					
	21		R/BK/1	1931	cropped sections		17/08/1931		18/08/1931	diary record	1	harvest	Harvest					
	22		R/BK/1	1931	cropped sections		27/08/1931		29/08/1931	diary record	1	carted	Carted					
	23		R/BK/1	1932	all plots		29/08/1931		15/09/1931	diary record	1	ploughed	Ploughed					
	24		R/BK/1	1932	all plots		21/09/1931		26/09/1931	diary record	1	tractor cultivated with disc and tooth harrows	Tractor cultivated with disc and tooth harrows					
	25		R/BK/1	1932	all plots		10/10/1931		12/10/1931	diary record	1	cultivate with thistle bar attached	Cultivate with thistle bar attached					
	26		R/BK/1	1932	all plots		15/10/1931			diary record	1	harrowed	Harrowed					
	27		R/BK/1	1932	all plots		25/02/1931			diary record	1	harrowed	Harrowed					
	28		R/BK/1	1932	cropped sections		13/10/1931			diary record	1	seed sown	Seed sown					
	29		R/BK/1	1932	cropped sections		09/08/1932		10/08/1932	diary record	1	harvest	Harvest					
	30		R/BK/1	1932	cropped sections		16/08/1932		18/08/1932	diary record	1	carted	Carted					
	31		R/BK/1	1933	all plots		19/08/1932		05/09/1932	diary record	1	ploughed	Ploughed					
	32		R/BK/1	1933	all plots		15/09/1932		16/09/1932	diary record	1	cultivated	Cultivated					
	33		R/BK/1	1933	cropped sections		17/10/1932			diary record	1	harrowed	Harrowed					
	34		R/BK/1	1933	cropped sections		08/05/1933			diary record	1	harrowed	Harrowed					
	35		R/BK/1	1933	cropped sections		17/10/1932			diary record	1	seed sown	Seed sown					
	36		R/BK/1	1933	cropped sections		10/10/1932		11/10/1932	diary record	1	manures applied	Manures applied					
	37		R/BK/1	1933	cropped sections		29/03/1933		30/05/1933	diary record	1	manures applied	Manures applied					
	38		R/BK/1	1933	cropped sections		22/05/1933			diary record	1	manures applied	Manures applied					
	39		R/BK/1	1933	cropped sections		27/07/1933		28/07/1933	diary record	1	harvested	Harvested					
	40		R/BK/1	1933	fallow sections		24/04/1933		25/04/1933	diary record	1	ploughed	Ploughed					
	41		R/BK/1	1933	fallow sections		07/07/1933		10/07/1933	diary record	1	ploughed	Ploughed					
	42		R/BK/1	1933	fallow sections		29/03/1933		12/04/1933	diary record	1	cultivated	Cultivated					
	43		R/BK/1	1933	fallow sections		15/09/1932			diary record	1	harrowed	Harrowed					
	44		R/BK/1	1933	fallow sections		15/06/1933			diary record	1	harrowed	Harrowed					
	45		R/BK/1	1933	fallow sections		10/05/1933			diary record	1	rolled	Rolled					
	46		R/BK/1	1933	fallow sections		02/06/1933			diary record	1	rolled	Rolled					
	47		R/BK/1	1934	all plots		08/08/1933		12/08/1933	diary record	1	ploughed	Ploughed					
	48		R/BK/1	1934	all plots		09/10/1933			diary record	1	harrowed	Harrowed					
	49		R/BK/1	1934	cropped sections		12/10/1933		14/10/1933	diary record	1	harrowed	Harrowed					
	50		R/BK/1	1934	cropped sections		05/04/1934		06/04/1934	diary record	1	harrowed	Harrowed					
	51		R/BK/1	1934	cropped sections		12/10/1933		13/10/1934	diary record	1	seed sown	Seed sown					
	52		R/BK/1	1934	cropped sections		09/10/1933			diary record	1	harrowed	Harrowed					
	53		R/BK/1	1934	cropped sections		12/10/1933			diary record	1	harrowed	Harrowed					
	54		R/BK/1	1934	cropped sections		03/04/1934			diary record	1	harrowed	Harrowed					
	55		R/BK/1	1934	cropped sections		27/04/1934			diary record	1	harrowed	Harrowed					
	56		R/BK/1	1934	cropped sections		01/08/1934		03/08/1934	diary record	1	harvested	Harvested					
	57		R/BK/1	1934	fallow sections		10/05/1934			diary record	1	ploughed	Ploughed					
	58		R/BK/1	1934	fallow sections		16/07/1934		17/07/1934	diary record	1	ploughed	Ploughed					
	59		R/BK/1	1934	fallow sections		15/08/1934		21/08/1934	diary record	1	ploughed	Ploughed					
	60		R/BK/1	1934	fallow sections		12/10/1933			diary record	1	harrowed	Harrowed					
	61		R/BK/1	1934	fallow sections		24/02/1934			diary record	1	harrowed	Harrowed					
	62		R/BK/1	1934	fallow sections		05/04/1934		06/04/1934	diary record	1	harrowed	Harrowed					
	63		R/BK/1	1934	fallow sections		14/07/1934			diary record	1	harrowed	Harrowed					
	64		R/BK/1	1934	fallow sections		20/04/1934			diary record	1	cultivated	Cultivated					
	65		R/BK/1	1934	fallow sections		16/06/1934			diary record	1	cultivated	Cultivated					
	66		R/BK/1	1934	fallow sections		18/06/1934			diary record	1	cultivated	Cultivated					
	67		R/BK/1	1934	fallow sections		25/06/1934			diary record	1	cultivated	Cultivated					
	68		R/BK/1	1934	fallow sections		22/06/1934			diary record	1	rolled	Rolled					
	69		R/BK/1	1934	fallow sections		29/06/1934			diary record	1	rolled	Rolled					
	70		R/BK/1	1935	fallow sections		15/08/1934		21/08/1934	diary record	1	rolled	Rolled					
	71		R/BK/1	1935	all plots		20/09/1934		25/09/1934	diary record	1	ploughed	Ploughed					
	72		R/BK/1	1935	all plots		15/08/1934		21/08/1934	diary record	1	ploughed	Ploughed					
	73		R/BK/1	1935	cropped sections		20/10/1934		24/10/1934	diary record	1	harrowed	Harrowed					
	74		R/BK/1	1935	cropped sections		23/10/1934		24/10/1934	diary record	1	seed sown	Seed sown					
	75		R/BK/1	1935	cropped sections		27/03/1935		28/03/1935	diary record	1	manures applied	Manures applied					
	76		R/BK/1	1935	cropped sections		18/10/1934		19/10/1934	diary record	1	manures applied	Manures applied					
	77		R/BK/1	1935	cropped sections		03/05/1935			diary record	1	manures applied	Manures applied					
	78		R/BK/1	1935	cropped sections		06/08/1935		08/08/1935	diary record	1	harvested	Harvested					
	79		R/BK/1	1935	fallow sections		22/07/1935			diary record	1	ploughed	Ploughed					
	80		R/BK/1	1935	fallow sections		03/10/1935		14/10/1935	diary record	1	ploughed	Ploughed					
	81		R/BK/1	1935	fallow sections		20/10/1934		23/10/1934	diary record	1	harrowed	Harrowed					
	82		R/BK/1	1935	fallow sections		11/03/1935			diary record	1	cultivated	Cultivated					
	83		R/BK/1	1935	fallow sections		23/04/1935			diary record	1	cultivated	Cultivated					
	84		R/BK/1	1935	fallow sections		01/05/1935			diary record	1	cultivated	Cultivated					
	85		R/BK/1	1935	fallow sections		29/05/1935			diary record	1	cultivated	Cultivated					
	86		R/BK/1	1935	fallow sections		04/07/1935			diary record	1	cultivated	Cultivated					
	87		R/BK/1	1936	all plots		19/08/1935		22/08/1935	diary record	1	ploughed	Ploughed					
	88		R/BK/1	1936	all plots		02/10/1935		14/10/1935	diary record	1	ploughed	Ploughed					
	89		R/BK/1	1936	cropped sections		07/10/1935		08/10/1935	diary record	1	dung applied	Dung applied					
	90		R/BK/1	1936	all plots		26/09/1935		27/09/1935	diary record	1	harrowed	Harrowed					
	91		R/BK/1	1936	all plots		31/10/1935			diary record	1	harrowed	Harrowed					
	92		R/BK/1	1936	cropped sections		07/11/1935			diary record	1	harrowed	Harrowed					
	93		R/BK/1	1936	cropped sections		27/11/1935			diary record	1	harrowed	Harrowed					
	94		R/BK/1	1936	cropped sections		20/03/1936			diary record	1	harrowed	Harrowed					
	95		R/BK/1	1936	cropped sections		06/04/1936			diary record	1	harrowed	Harrowed					
	96		R/BK/1	1936	cropped sections		06/05/1936			diary record	1	harrowed	Harrowed					
	97		R/BK/1	1936	all plots		26/10/1935			diary record	1	springtine harrowed	Springtine harrowed					
	98		R/BK/1	1936	cropped sections		27/11/1935			diary record	1	springtine harrowed	Springtine harrowed					
	99		R/BK/1	1936	cropped sections		30/10/1935			diary record	1	rolled	Rolled					
	100		R/BK/1	1936	cropped sections		06/05/1936			diary record	1	rolled	Rolled					
	101		R/BK/1	1936	cropped sections		28/10/1935		29/10/1935	diary record	1	manures applied	Manures applied					
	102		R/BK/1	1936	cropped sections		06/11/1935			diary record	1	manures applied	Manures applied					
	103		R/BK/1	1936	cropped sections		15/04/1936			diary record	1	manures applied	Manures applied					
	104		R/BK/1	1936	cropped sections		06/05/1936			diary record	1	manures applied	Manures applied					
	105		R/BK/1	1936	cropped sections		06/11/1935		27/11/1935	diary record	1	seed sown	Seed sown					
	106		R/BK/1	1936	cropped sections		21/08/1936		22/08/1936	diary record	1	harvested	Harvested					
	107		R/BK/1	1936	fallow sections		15/04/1936			diary record	1	ploughed	Ploughed					
	108		R/BK/1	1936	fallow sections		22/07/1936			diary record	1	ploughed	Ploughed					
	109		R/BK/1	1936	fallow sections		10/08/1936			diary record	1	harrowed	Harrowed					
	110		R/BK/1	1936	fallow sections		30/05/1936			diary record	1	cultivated	Cultivated					
	111		R/BK/1	1936	fallow sections		29/06/1936			diary record	1	cultivated	Cultivated					
	112		R/BK/1	1936	fallow sections		10/08/1936			diary record	1	cultivated	Cultivated					
	113		R/BK/1	1937	all plots		15/09/1936		24/09/1936	diary record	1	ploughed	Ploughed					
	114		R/BK/1	1937	cropped sections		23/09/1936			diary record	1	dung applied	Dung applied					
	115		R/BK/1	1937	all plots		08/10/1936			diary record	1	cultivated	Cultivated					
	116		R/BK/1	1937	all plots		15/10/1936			diary record	1	tractor spring-tine harrowed	Tractor spring-tine harrowed					
	117		R/BK/1	1937	all plots		16/10/1936			diary record	1	tractor disc harrowed dung plots	Tractor disc harrowed dung plots					
	118		R/BK/1	1937	cropped sections		17/10/1936			diary record	1	springtine harrowed	Springtine harrowed					
	119		R/BK/1	1937	cropped sections		20/10/1936		21/10/1936	diary record	1	harrowed	Harrowed					
	120		R/BK/1	1937	cropped sections		06/10/1936		07/10/1936	diary record	1	manures applied	Manures applied					
	121		R/BK/1	1937	cropped sections		01/05/1937		02/05/1937	diary record	1	manures applied	Manures applied					
	122		R/BK/1	1937	cropped sections		10/05/1937			diary record	1	manures applied	Manures applied					
	123		R/BK/1	1937	cropped sections		20/10/1936		21/10/1936	diary record	1	seed sown	Seed sown					
	124		R/BK/1	1937	cropped sections		09/08/1937		11/08/1937	diary record	1	harvested	Harvested					
	125		R/BK/1	1937	fallow sections		17/10/1936			diary record	1	tractor rolled and harrowed then spring-tine harrowed	Tractor rolled and harrowed					
	125		R/BK/1	1937	fallow sections		17/10/1936			diary record	1	tractor rolled and harrowed then spring-tine harrowed	Springtine harrowed					
	126		R/BK/1	1937	fallow sections		02/04/1937		27/04/1937	diary record	1	springtine harrowed	Springtine harrowed					
	127		R/BK/1	1937	fallow sections		10/05/1937			diary record	1	ploughed	Ploughed					
	128		R/BK/1	1937	fallow sections		27/05/1937			diary record	1	cultivated	Cultivated					
	129		R/BK/1	1937	fallow sections		06/08/1937			diary record	1	cultivated	Cultivated					
	130		R/BK/1	1937	fallow sections		10/05/1937			diary record	1	Nitrate of soda applied to plot 16	Nitrate of soda applied to plot 16					
	131		R/BK/1	1938	all plots		06/09/1937		29/09/1937	diary record	1	ploughed	Ploughed					
	132		R/BK/1	1938	cropped sections		22/09/1937			diary record	1	dung applied	Dung applied					
	133		R/BK/1	1938	cropped sections		14/10/1937		16/10/1937	diary record	1	cultivated	Cultivated					
	134		R/BK/1	1938	cropped sections		04/11/1937		06/11/1937	diary record	1	harrowed	Harrowed					
	135		R/BK/1	1938	cropped sections		15/03/1938			diary record	1	harrowed	Harrowed					
	136		R/BK/1	1938	cropped sections		19/10/1937			diary record	1	springtine harrowed	Springtine harrowed					
	137		R/BK/1	1938	all plots		19/10/1937			diary record	1	rolled	Rolled					
	138		R/BK/1	1938	cropped sections		04/11/1937		06/11/1937	diary record	1	seed sown	Seed sown					
	139		R/BK/1	1938	cropped sections		16/03/1938			diary record	1	rolled	Rolled					
	140		R/BK/1	1938	cropped sections		12/10/1937		14/10/1937	diary record	1	manures applied	Manures applied					
	141		R/BK/1	1938	cropped sections		11/03/1938			diary record	1	manures applied	Manures applied					
	142		R/BK/1	1938	cropped sections		07/04/1938			diary record	1	manures applied	Manures applied					
	143		R/BK/1	1938	cropped sections		05/08/1938			diary record	1	harvested	Harvested					
	144		R/BK/1	1938	fallow sections		07/06/1938		11/06/1938	diary record	1	ploughed	Ploughed					
	145		R/BK/1	1938	fallow sections		14/10/1937		16/10/1937	diary record	1	cultivated	Cultivated					
	146		R/BK/1	1938	fallow sections		19/10/1937			diary record	1	springtine harrowed	Springtine harrowed					
	147		R/BK/1	1938	fallow sections		05/03/1938			diary record	1	springtine harrowed	Springtine harrowed					
	148		R/BK/1	1938	fallow sections		02/04/1938			diary record	1	springtine harrowed	Springtine harrowed					
	149		R/BK/1	1938	fallow sections		05/05/1938			diary record	1	springtine harrowed	Springtine harrowed					
	150		R/BK/1	1938	fallow sections		15/08/1938			diary record	1	springtine harrowed	Springtine harrowed					
	151		R/BK/1	1938	fallow sections		05/05/1938			diary record	1	rolled	Rolled					
	152		R/BK/1	1948	cropped sections		22/09/1947		24/09/1947	diary record	1	Ploughed	Ploughed					
	153		R/BK/1	1948	cropped sections		24/09/1947			diary record	1	Dung applied	Dung applied					
	154		R/BK/1	1948	cropped sections		13/10/1947		15/10/1947	diary record	1	Artificials applied	Artificials applied					
	155		R/BK/1	1948	cropped sections		22/10/1947			diary record	1	rolled	Rolled					
	156		R/BK/1	1948	cropped sections		22/10/1947			diary record	1	springtine harrowed	Springtine harrowed					
	157		R/BK/1	1948	cropped sections		23/10/1947			diary record	1	Tooth harrowed	Tooth harrowed					
	158		R/BK/1	1948	cropped sections		24/10/1947		25/10/1947	diary record	1	Seed drilled	Seed drilled					
	159		R/BK/1	1948	cropped sections		25/10/1947			diary record	1	Harrowed in	Harrowed in					
	160		R/BK/1	1948	cropped sections		12/04/1948			diary record	1	Harrowed	Harrowed					
	161		R/BK/1	1948	cropped sections		20/04/1948			diary record	1	Ring rolled	Ring rolled					
	162		R/BK/1	1948	cropped sections		27/04/1948		28/04/1948	diary record	1	Nitrogenous fertilisers applied	Nitrogenous fertilisers applied					
	163		R/BK/1	1948	cropped sections		07/05/1948			diary record	1	Second dressing of nitrate of soda applied to plot 16	Second dressing of nitrate of soda applied to plot 16					
	164		R/BK/1	1948	cropped sections		15/06/1948		30/07/1948	diary record	1	Wild oats hand pulled various days	Wild oats hand pulled various days					
	165		R/BK/1	1948	cropped sections		19/08/1948		20/08/1948	diary record	1	Harvested	Harvested					
	166		R/BK/1	1948	fallow sections		22/09/1947		24/09/1947	diary record	1	Ploughed	Ploughed					
	167		R/BK/1	1948	fallow sections		22/10/1947			diary record	1	Rolled and springtine harrowed	Rolled					
	167		R/BK/1	1948	fallow sections		22/10/1947			diary record	1	Rolled and springtine harrowed	Springtine harrowed					
	168		R/BK/1	1948	fallow sections		23/10/1947		25/10/1947	diary record	1	Tooth harrowed	Tooth harrowed					
	169		R/BK/1	1948	fallow sections		12/04/1948			diary record	1	Springtine harrowed	Springtine harrowed					
	170		R/BK/1	1948	fallow sections		20/04/1948			diary record	1	Thistles cut	Thistles cut					
	171		R/BK/1	1948	fallow sections		25/05/1948		27/05/1948	diary record	1	Ploughed	Ploughed					
	172		R/BK/1	1948	fallow sections		09/06/1948			diary record	1	Ring rolled	Ring rolled					
	173		R/BK/1	1948	fallow sections		01/07/1948			diary record	1	Thistles cut	Thistles cut					
	174		R/BK/1	1948	fallow sections		14/07/1948		15/07/1948	diary record	1	Ploughed	Ploughed					
	175		R/BK/1	1948	fallow sections		06/08/1948			diary record	1	Rolled and springtine harrowed	Rolled					
	175		R/BK/1	1948	fallow sections		06/08/1948			diary record	1	Rolled and springtine harrowed	Springtine harrowed					
	176		R/BK/1	1949	cropped sections		02/09/1948		16/09/1948	diary record	1	Ploughed	Ploughed					
	177		R/BK/1	1949	cropped sections		11/09/1948		12/09/1948	diary record	1	Dung applied	Dung applied					
	178		R/BK/1	1949	cropped sections		22/10/1948			diary record	1	Springtine harrowed	Springtine harrowed					
	179		R/BK/1	1949	cropped sections		11/11/1948			diary record	1	Harrowed	Harrowed					
	180		R/BK/1	1949	cropped sections		11/11/1948		13/11/1948	diary record	1	Seed drilled	Seed drilled					
	181		R/BK/1	1949	cropped sections		11/11/1948		15/11/1948	diary record	1	Artificials applied	Artificials applied					
	182		R/BK/1	1949	cropped sections		13/11/1948		15/11/1948	diary record	1	Harrowed in	Harrowed in					
	183		R/BK/1	1949	cropped sections		14/04/1949			diary record	1	Harrowed	Harrowed					
	184		R/BK/1	1949	cropped sections		19/04/1949			diary record	1	Ring rolled	Ring rolled					
	185		R/BK/1	1949	cropped sections		27/04/1949			diary record	1	Nitrogenous fertilisers applied	Nitrogenous fertilisers applied					
	186		R/BK/1	1949	cropped sections		17/05/1949		23/05/1949	diary record	1	Weeds hand pulled	Weeds hand pulled					
	187		R/BK/1	1949	cropped sections		23/05/1949			diary record	1	Second dressing of nitrate of soda applied to plot 16	Second dressing of nitrate of soda applied to plot 16					
	188		R/BK/1	1949	cropped sections		27/06/1949		06/07/1949	diary record	1	Wild oats hand pulled various days	Wild oats hand pulled various days					
	189		R/BK/1	1949	cropped sections		25/07/1949		27/07/1949	diary record	1	Wild oats hand pulled various days	Wild oats hand pulled various days					
	190		R/BK/1	1949	cropped sections		05/08/1949		06/08/1949	diary record	1	Harvested	Harvested					
	191		R/BK/1	1949	fallow sections		02/09/1948		16/09/1948	diary record	1	Ploughed	Ploughed					
	192		R/BK/1	1949	fallow sections		22/10/1948			diary record	1	Springtine harrowed	Springtine harrowed					
	193		R/BK/1	1949	fallow sections		24/01/1949		31/01/1949	diary record	1	Ploughed	Ploughed					
	194		R/BK/1	1949	fallow sections		22/03/1949			diary record	1	Springtine harrowed	Springtine harrowed					
	195		R/BK/1	1949	fallow sections		14/04/1949			diary record	1	Springtine harrowed	Springtine harrowed					
	196		R/BK/1	1949	fallow sections		30/05/1949			diary record	1	Thistles cut	Thistles cut					
	197		R/BK/1	1949	fallow sections		27/06/1949			diary record	1	Thistles cut	Thistles cut					
	198		R/BK/1	1949	fallow sections		04/07/1949		05/07/1949	diary record	1	Ploughed	Ploughed					
	199		R/BK/1	1949	fallow sections		18/07/1949			diary record	1	Harrowed	Harrowed					
	200		R/BK/1	1949	fallow sections		20/07/1949			diary record	1	Ring rolled and Harrowed	Ring rolled					
	200		R/BK/1	1949	fallow sections		20/07/1949			diary record	1	Ring rolled and Harrowed	Harrowed					
	201		R/BK/1	1950	cropped sections		24/08/1949		29/08/1949	diary record	1	Ploughed all except dung plots	Ploughed all except dung plots					
	202		R/BK/1	1950	cropped sections		05/09/1949		06/09/1949	diary record	1	Dung applied and ploughed in	Dung applied					
	202		R/BK/1	1950	cropped sections		05/09/1949		06/09/1949	diary record	1	Dung applied and ploughed in	Ploughed in					
	203		R/BK/1	1950	cropped sections		05/09/1949		08/09/1949	diary record	1	"Harrowed, seed drilled and harrowed twice"	Harrowed					
	203		R/BK/1	1950	cropped sections		05/09/1949		08/09/1949	diary record	1	"Harrowed, seed drilled and harrowed twice"	Seed drilled					
	203		R/BK/1	1950	cropped sections		05/09/1949		08/09/1949	diary record	1	"Harrowed, seed drilled and harrowed twice"	Harrowed twice					
	204		R/BK/1	1950	cropped sections		15/10/1949		01/11/1949	diary record	1	Springtine harrowed	Springtine harrowed					
	205		R/BK/1	1950	cropped sections		03/11/1949		04/11/1949	diary record	1	Artificials applied	Artificials applied					
	206		R/BK/1	1950	cropped sections		04/11/1949		08/11/1949	diary record	1	Springtine harrowed	Springtine harrowed					
	207		R/BK/1	1950	cropped sections		20/04/1950			diary record	1	Nitrogenous fertilisers applied	Nitrogenous fertilisers applied					
	208		R/BK/1	1950	cropped sections		27/04/1950			diary record	1	Harrowed	Harrowed					
	209		R/BK/1	1950	cropped sections		01/05/1950			diary record	1	Rolled	Rolled					
	210		R/BK/1	1950	cropped sections		04/05/1950			diary record	1	Second dressing of nitrate of soda applied to plot 16	Second dressing of nitrate of soda applied to plot 16					
	211		R/BK/1	1950	cropped sections		08/08/1950			diary record	1	Harvested	Harvested					
	212		R/BK/1	1950	fallow sections		24/08/1949		29/08/1949	diary record	1	Ploughed all except dung plots	Ploughed all except dung plots					
	213		R/BK/1	1950	fallow sections		05/09/1949		06/09/1949	diary record	1	Ploughed dung plots	Ploughed dung plots					
	214		R/BK/1	1950	fallow sections		15/10/1949		01/11/1949	diary record	1	Springtine harrowed	Springtine harrowed					
	215		R/BK/1	1950	fallow sections		04/11/1949		08/11/1949	diary record	1	Springtine harrowed	Springtine harrowed					
	216		R/BK/1	1950	fallow sections		12/12/1949			diary record	1	Ploughed	Ploughed					
	217		R/BK/1	1950	fallow sections		02/01/1950		07/01/1950	diary record	1	Ploughed	Ploughed					
	218		R/BK/1	1950	fallow sections		13/03/1950			diary record	1	Springtine harrowed	Springtine harrowed					
	219		R/BK/1	1950	fallow sections		22/04/1950			diary record	1	Springtine harrowed	Springtine harrowed					
	220		R/BK/1	1950	fallow sections		13/05/1950			diary record	1	Springtine harrowed	Springtine harrowed					
	221		R/BK/1	1950	fallow sections		30/05/1950			diary record	1	Thistlebarred	Thistle-barred					
	222		R/BK/1	1950	fallow sections		02/08/1950		03/08/1950	diary record	1	Ploughed	Ploughed					
	223		R/BK/1	1950	fallow sections		08/08/1950			diary record	1	Springtine harrowed	Springtine harrowed					
	224		R/BK/1	1950	fallow sections		11/08/1950			diary record	1	"Springtined, disced and ring rolled"	Springtined					
	224		R/BK/1	1950	fallow sections		11/08/1950			diary record	1	"Springtined, disced and ring rolled"	Disced					
	224		R/BK/1	1950	fallow sections		11/08/1950			diary record	1	"Springtined, disced and ring rolled"	Ring rolled					
	225		R/BK/1	1951	cropped sections		24/08/1950			diary record	1	Ploughed all except dung plots	Ploughed all except dung plots					
	226		R/BK/1	1951	cropped sections		08/09/1950			diary record	1	Dung applied and ploughed in	Dung applied					
	226		R/BK/1	1951	cropped sections		08/09/1950			diary record	1	Dung applied and ploughed in	Ploughed in					
	227		R/BK/1	1951	cropped sections		23/10/1950			diary record	1	Autumn application of artificials	Autumn application of artificials					
	228		R/BK/1	1951	cropped sections		25/10/1950			diary record	1	Seed drilled at 3 bushels per acre	Seed drilled	3	bushels/acre			
	229		R/BK/1	1951	cropped sections		11/04/1951			diary record	1	Spring application of nitrogenous fertilisers	Spring application of nitrogenous fertilisers					
	230		R/BK/1	1951	cropped sections		08/05/1951			diary record	1	Second dressing of nitrate of soda applied to plot 16	Second dressing of nitrate of soda applied to plot 16					
	231		R/BK/1	1951	cropped sections		21/08/1951			diary record	1	Harvested	Harvested					
	232		R/BK/1	1951	fallow sections		24/08/1950			diary record	1	Ploughed	Ploughed					
	233		R/BK/1	1951	fallow sections		24/04/1951			diary record	1	Ploughed	Ploughed					
	234		R/BK/1	1951	fallow sections		09/07/1951			diary record	1	Ploughed	Ploughed					
	235		R/EX/4	1949	all plots		03/01/1949		10/01/1949	diary record	1	ploughed	Ploughed					
	236		R/EX/4	1949	all plots		22/03/1949			diary record	1	Springtined	Springtined					
	237		R/EX/4	1949	all plots		23/03/1949			diary record	1	Drilled	Drilled					
	238		R/EX/4	1949	all plots		24/03/1949			diary record	1	"Sulphate of ammonia applied, harrowed in"	Sulphate of ammonia applied					
	238		R/EX/4	1949	all plots		24/03/1949			diary record	1	"Sulphate of ammonia applied, harrowed in"	Harrowed in					
	239		R/EX/4	1949	all plots		01/04/1949			diary record	1	Rolled	Rolled					
	240		R/EX/4	1949	all plots		09/08/1949			diary record	1	Harvested	Harvested					
	241		R/EX/4	1949	Variety					diary record	1	Plumage Archer	Plumage Archer					
	242		R/EX/4	1950	all plots		30/08/1949		01/09/1949	diary record	1	ploughed	Ploughed					
	243		R/EX/4	1950	all plots		14/10/1949			diary record	1	Springtined	Springtined					
	244		R/EX/4	1950	all plots		16/12/1949			diary record	1	ploughed	Ploughed					
	245		R/EX/4	1950	all plots		08/03/1950			diary record	1	Springtined	Springtined					
	246		R/EX/4	1950	all plots		11/03/1950			diary record	1	Springtined	Springtined					
	247		R/EX/4	1950	all plots		14/03/1950			diary record	1	Harrowed	Harrowed					
	248		R/EX/4	1950	all plots		15/03/1950			diary record	1	Sulphate of ammonia drilled	Sulphate of ammonia drilled					
	249		R/EX/4	1950	all plots		15/03/1950			diary record	1	"seed drilled, harrowed in, rolled"	Seed drilled					
	249		R/EX/4	1950	all plots		15/03/1950			diary record	1	"seed drilled, harrowed in, rolled"	Harrowed in					
	249		R/EX/4	1950	all plots		15/03/1950			diary record	1	"seed drilled, harrowed in, rolled"	Rolled					
	250		R/EX/4	1950	all plots		30/05/1950			diary record	1	Thistles cut	Thistles cut					
	251		R/EX/4	1950	all plots		07/08/1950			diary record	1	Harvested	Harvested					
	252		R/EX/4	1950	variety 					diary record	1	Plumage Archer	Plumage Archer					
	253		R/EX/4	1951	all plots		29/08/1950			diary record	1	ploughed	Ploughed					
	254		R/EX/4	1951	all plots		27/01/1951			diary record	1	ploughed	Ploughed					
	255		R/EX/4	1951	all plots		16/04/1951			diary record	1	Seed drilled at 3 bushels per acre	Seed drilled	3	bushels/acre			
	256		R/EX/4	1951	all plots		16/04/1951			diary record	1	Sulphate of ammonia drilled	Sulphate of ammonia drilled					
	257		R/EX/4	1951	all plots		03/09/1951			diary record	1	Plumage Archer	Plumage Archer					
	258		R/HB/2	1948	all plots		18/09/1947		20/09/1947	diary record	1	Shallow ploughed	Shallow ploughed					
	259		R/HB/2	1948	all plots		22/11/1947		28/11/1947	diary record	1	ploughed	Ploughed					
	260		R/HB/2	1948	all plots		24/11/1947			diary record	1	dung applied	Dung applied					
	261		R/HB/2	1948	all plots		01/03/1948		05/03/1948	diary record	1	springtine harrowed	Springtine harrowed					
	262		R/HB/2	1948	all plots		10/03/1948		11/03/1948	diary record	1	Artificials applied	Artificials applied					
	263		R/HB/2	1948	all plots		27/03/1948			diary record	1	thistles cleared	Thistles cleared					
