source_id,experiment,harvest_year,plots,start_date,end_date,record_type,record_orig,flag,record,rate,unit,water_volume,water_volume_unit,prefix
18,W/CS/326,1987,far field i,05-Jun-87,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 200 1 applied,1,Propiconazole,0.12,kg/ha,200,l/ha,
18,W/CS/326,1987,far field i,05-Jun-87,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 200 1 applied,1,Tridemorph,0.52,kg/ha,200,l/ha,
19,W/CS/326,1987,far field i,30-Jun-87,,diary record,propiconazole at 0.12 kg with carbendazim and maneb (as Septal at 2.5 kg) in 200 1 applied,1,Propiconazole,0.12,kg/ha,200,l/ha,
19,W/CS/326,1987,far field i,30-Jun-87,,diary record,propiconazole at 0.12 kg with carbendazim and maneb (as Septal at 2.5 kg) in 200 1 applied,1,"Septal (Carbendazim, Maneb)",2.5,kg/ha,200,l/ha,
20,W/CS/326,1987,far field i,07-Sep-87,,diary record,combine harvested,1,Combine harvested,,,,,
21,R/CS/326,1988,great knott iii,29-Sep-87,,diary record,paraquat at 0.60 kg ion in 200 1 applied,1,Paraquat,0.60,kg ion/ha,220,l/ha,
22,R/CS/326,1988,great knott iii,23-Oct-87,,diary record,spring-tine cultivated,1,Spring-tine cultivated,,,,,
23,R/CS/326,1988,great knott iii,24-Oct-87,,diary record,"seed sown, harrowed",1,Seed sown,,,,,
23,R/CS/326,1988,great knott iii,24-Oct-87,,diary record,"seed sown, harrowed",1,Harrowed,,,,,
24,R/CS/326,1988,great knott iii,08-Dec-87,,diary record,Tri-allate at 2.2 kg applied,1,Tri-allate,2.2,kg/ha,,,
25,R/CS/326,1988,great knott iii,24-Feb-88,,diary record,"N applied, 'Nitram' at 116 kg",1,Nitram,116,kgN/ha,,,
26,R/CS/326,1988,great knott iii,22-Apr-88,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
27,R/CS/326,1988,great knott iii,17-Mar-88,,diary record,Isoproturon at 2.1 kg in 200 1 applied,1,Isoproturon,2.1,kg/ha,200,l/ha,
28,R/CS/326,1988,great knott iii,06-May-88,,diary record,Fluroxypyr at 0.20 kg applied with Prochloraz at 0.40 kg and carbendazim at 0.15 kg applied,1,Fluroxypyr,0.20,kg/ha,200,l/ha,
28,R/CS/326,1988,great knott iii,06-May-88,,diary record,Fluroxypyr at 0.20 kg applied with Prochloraz at 0.40 kg and carbendazim at 0.15 kg applied,1,Prochloraz,0.40,kg/ha,200,l/ha,
28,R/CS/326,1988,great knott iii,06-May-88,,diary record,Fluroxypyr at 0.20 kg applied with Prochloraz at 0.40 kg and carbendazim at 0.15 kg applied,1,Carbendazim,0.15,kg/ha,200,l/ha,
29,R/CS/326,1988,great knott iii,03-Jun-88,,diary record,propiconazole at 0.12 kg and Tridemorph at 0.25 kg in 200 1 applied,1,Propiconazole,0.12,kg/ha,200,l/ha,
29,R/CS/326,1988,great knott iii,03-Jun-88,,diary record,propiconazole at 0.12 kg and Tridemorph at 0.25 kg in 200 1 applied,1,Tridemorph,0.25,kg/ha,200,l/ha,
30,R/CS/326,1988,great knott iii,23-Jun-88,,diary record,"Carbendazim at 0.25 kg, maneb at 1.6 kg with propiconazole at 0.22 kg in 200 1 applied",1,Carbendazim,0.25,kg/ha,200,l/ha,
30,R/CS/326,1988,great knott iii,23-Jun-88,,diary record,"Carbendazim at 0.25 kg, maneb at 1.6 kg with propiconazole at 0.22 kg in 200 1 applied",1,Maneb,1.6,kg/ha,200,l/ha,
30,R/CS/326,1988,great knott iii,23-Jun-88,,diary record,"Carbendazim at 0.25 kg, maneb at 1.6 kg with propiconazole at 0.22 kg in 200 1 applied",1,Propiconazole,0.22,kg/ha,200,l/ha,
31,W/CS/326,1988,far field i,25-Sep-87,,diary record,glyphosate  at 1.1 kg in 200 1 applied,1,Glyphosate,1.1,kg/ha,200,l/ha,
32,W/CS/326,1988,far field i,03-Oct-87,,diary record, Heavy spring-tine cultivated twice to 10 cm,1,Heavy spring-tine cultivated twice to 10 cm,,,,,
33,W/CS/326,1988,far field i,22-Oct-87,,diary record,glyphosate at 0.27 kg in 200 1,1,Glyphosate,0.27,kg/ha,200,l/ha,
34,W/CS/326,1988,far field i,29-Oct-87,,diary record,power harrowed with crumbler attached,1,Power harrowed with crumbler attached,,,,,
35,W/CS/326,1988,far field i,07-Dec-87,,diary record,spring-tine cultivated,1,Spring-tine cultivated,,,,,
36,W/CS/326,1988,far field i,09-Dec-87,,diary record,spiked harrowed with crumbler attached seed sown,1,Spiked harrowed with crumbler attached,,,,,
36,W/CS/326,1988,far field i,09-Dec-87,,diary record,spiked harrowed with crumbler attached seed sown,1,Seed sown,,,,,
37,W/CS/326,1988,far field i,08-Mar-88,,diary record,"N applied, 'Nitram' at 116 kg",1,Nitram,116,kgN/ha,,,
38,W/CS/326,1988,far field i,03-May-88,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
39,W/CS/326,1988,far field i,26-Apr-88,,diary record,"Isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l applied",1,Isoproturon,2.1,kg/ha,220,l/ha,
39,W/CS/326,1988,far field i,26-Apr-88,,diary record,"Isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l applied",1,Bromoxynil,0.20,kg/ha,220,l/ha,
39,W/CS/326,1988,far field i,26-Apr-88,,diary record,"Isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l applied",1,Ioxynil,0.20,kg/ha,220,l/ha,
39,W/CS/326,1988,far field i,26-Apr-88,,diary record,"Isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l applied",1,Mecoprop,1.6,kg/ha,220,l/ha,
40,W/CS/326,1988,far field i,22-Jun-88,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.25 kg in 220 1 applied,1,Propiconazole,0.12,kg/ha,220,l/ha,
40,W/CS/326,1988,far field i,22-Jun-88,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.25 kg in 220 1 applied,1,Tridemorph,0.25,kg/ha,220,l/ha,
41,W/CS/326,1988,far field i,16-Aug-88,,diary record,glyphosate at 1.1 kg in 200 1 applied,1,Glyphosate,1.1,kg/ha,200,l/ha,
42,W/CS/326,1988,far field i,25-Aug-88,,diary record,combine harvested,1,Combine harvested,,,,,
43,R/CS/326,1989,great knott iii,06-Sep-88,,diary record,Magnesian limestone applied  at 5.0 t,1,Magnesian limestone applied,5.0,tonnes/ha,,,
44,R/CS/326,1989,great knott iii,14-Sep-88,,diary record,ploughed,1,Ploughed,,,,,
45,R/CS/326,1989,great knott iii,29-Sep-88,,diary record,PK applied (0:18:36) at 920 kg,2,PK applied (0:18:36),920,kg/ha,,,
46,R/CS/326,1989,great knott iii,18-Oct-88,,diary record,paraquat at 0.60 kg ion in 200 1 applied,1,Paraquat,0.60,kg ion/ha,220,l/ha,
47,R/CS/326,1989,great knott iii,19-Oct-88,,diary record,"rotary harrowed, seed sown, harrowed",1,Rotary harrowed,,,,,
47,R/CS/326,1989,great knott iii,19-Oct-88,,diary record,"rotary harrowed, seed sown, harrowed",1,Seed sown,,,,,
47,R/CS/326,1989,great knott iii,19-Oct-88,,diary record,"rotary harrowed, seed sown, harrowed",1,Harrowed,,,,,
48,R/CS/326,1989,great knott iii,29-Oct-88,,diary record,Isoproturon at 2.5 kg in 200 1 applied,1,Isoproturon,2.5,kg/ha,200,l/ha,
49,R/CS/326,1989,great knott iii,21-Feb-89,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
50,R/CS/326,1989,great knott iii,14-Apr-89,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
51,R/CS/326,1989,great knott iii,15-Apr-89,,diary record,Metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l applied,1,Metsulfuron-methyl,6.0,g/ha,200,l/ha,
51,R/CS/326,1989,great knott iii,15-Apr-89,,diary record,Metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l applied,1,Fluroxypyr,0.15,kg/ha,200,l/ha,
52,R/CS/326,1989,great knott iii,19-May-89,,diary record,Chlorathalonil at 1.0 kg in 200 1 applied,1,Chlorothalonil,1.0,kg/ha,200,l/ha,
53,R/CS/326,1989,great knott iii,20-Jun-89,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 200 1 applied,1,Propiconazole,0.12,kg/ha,200,l/ha,
53,R/CS/326,1989,great knott iii,20-Jun-89,,diary record,propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 200 1 applied,1,Tridemorph,0.52,kg/ha,200,l/ha,
54,R/CS/326,1989,great knott iii,05-Aug-89,,diary record,combine harvested,1,Combine harvested,,,,,
55,W/CS/326,1989,far field i,16-Sep-88,,diary record,PK applied (0:18:36) at 920 kg,2,PK applied (0:18:36),920,kg/ha,,,
56,W/CS/326,1989,far field i,20-Sep-88,,diary record,"subsoiler with tines 140 cm apart, 40 cm deep",1,"Subsoiler with tines 140 cm apart, 40 cm deep",,,,,
57,W/CS/326,1989,far field i,03-Oct-88,,diary record,rolled,1,Rolled,,,,,
58,W/CS/326,1989,far field i,19-Oct-88,,diary record,paraquat at 0.80 kg ion in 220 1 applied,1,Paraquat,0.80,kg ion/ha,220,l/ha,
59,W/CS/326,1989,far field i,21-Oct-88,,diary record,"spring-tine cultivated with crumbler attached, seed sown, harrowed",1,Spring-tine cultivated with crumbler attached,,,,,
59,W/CS/326,1989,far field i,21-Oct-88,,diary record,"spring-tine cultivated with crumbler attached, seed sown, harrowed",1,Seed sown,,,,,
59,W/CS/326,1989,far field i,21-Oct-88,,diary record,"spring-tine cultivated with crumbler attached, seed sown, harrowed",1,Harrowed,,,,,
60,W/CS/326,1989,far field i,08-Dec-88,,diary record,Isoproturon at 1.5 kg in 220 1 applied,1,Isoproturon applied,1.5,kg/ha,220,l/ha,
61,W/CS/326,1989,far field i,08-Mar-89,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
62,W/CS/326,1989,far field i,28-Apr-89,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
63,W/CS/326,1989,far field i,23-May-89,,diary record,Chlorothalonil at 1.0 kg in 220 1 applied,1,Chlorothalonil,1.0,kg/ha,220,l/ha,
64,W/CS/326,1989,far field i,22-Jun-89,,diary record,"propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 220 1, applied",1,Propiconazole,0.12,kg/ha,220,l/ha,
64,W/CS/326,1989,far field i,22-Jun-89,,diary record,"propiconazole at 0.12 kg with Tridemorph at 0.52 kg in 220 1, applied",1,Tridemorph,0.52,kg/ha,220,l/ha,
65,W/CS/326,1989,far field i,04-Aug-89,,diary record,combine harvested,1,Combine harvested,,,,,
66,R/CS/326,1990,great knott iii,22-Aug-89,,diary record,ploughed,1,Ploughed,,,,,
67,R/CS/326,1990,great knott iii,02-Oct-89,,diary record,"paraquat at 0.40 kg ion with a wetting agent, 'Enhance' at 100 ml, in 200 1 applied",1,Paraquat,0.40,kg ion/ha,200,l/ha,
67,R/CS/326,1990,great knott iii,02-Oct-89,,diary record,"paraquat at 0.40 kg ion with a wetting agent, 'Enhance' at 100 ml, in 200 1 applied",1,Enhance (wetting agent),100,ml/ha,200,l/ha,
68,R/CS/326,1990,great knott iii,04-Oct-89,,diary record,rotary harrowed,1,Rotary harrowed,,,,,
69,R/CS/326,1990,great knott iii,05-Oct-89,,diary record,seed sown,1,Seed sown,,,,,
70,R/CS/326,1990,great knott iii,06-Oct-89,,diary record,Harrowed and rolled,1,Harrowed,,,,,
70,R/CS/326,1990,great knott iii,06-Oct-89,,diary record,Harrowed and rolled,1,Rolled,,,,,
71,R/CS/326,1990,great knott iii,22-Nov-89,,diary record,chlortoluron at 3.0 kg with cyanazine at 0.75 kg in 400 1 applied,1,Chlortoluron,3.0,kg/ha,400,l/ha,
71,R/CS/326,1990,great knott iii,22-Nov-89,,diary record,chlortoluron at 3.0 kg with cyanazine at 0.75 kg in 400 1 applied,1,Cyanazine,0.75,kg/ha,400,l/ha,
72,R/CS/326,1990,great knott iii,23-Feb-90,,diary record,Isoproturon at 2.1 kg in 200 1  applied,1,Isoproturon,2.1,kg/ha,200,l/ha,
73,R/CS/326,1990,great knott iii,02-Mar-90,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
74,R/CS/326,1990,great knott iii,12-Apr-90,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
75,R/CS/326,1990,great knott iii,30-Apr-90,,diary record,Fluroxypyr at 0.20 kg with fenoxaprop-ethyl at 0.18 kg in 200 l applied,1,Fluroxypyr,0.20,kg/ha,200,l/ha,
75,R/CS/326,1990,great knott iii,30-Apr-90,,diary record,Fluroxypyr at 0.20 kg with fenoxaprop-ethyl at 0.18 kg in 200 l applied,1,Fenoxaprop-ethyl,0.18,kg/ha,200,l/ha,
76,R/CS/326,1990,great knott iii,31-May-90,,diary record,Chlorothalonil at 1.0 kg with propiconazole at 0.12 kg in 200 1 applied,1,Chlorothalonil,1.0,kg/ha,200,l/ha,
76,R/CS/326,1990,great knott iii,31-May-90,,diary record,Chlorothalonil at 1.0 kg with propiconazole at 0.12 kg in 200 1 applied,1,Propiconazole,0.12,kg/ha,200,l/ha,
77,R/CS/326,1990,great knott iii,13-Aug-90,,diary record,combine harvested,1,Combine harvested,,,,,
78,W/CS/326,1990,far field i,30-Aug-89,,diary record,Heavy-tine cultivated,1,Heavy-tine cultivated,,,,,
79,W/CS/326,1990,far field i,11-Sep-89,,diary record,Heavy-tine cultivated,1,Heavy-tine cultivated,,,,,
80,W/CS/326,1990,far field i,21-Sep-90,,diary record,rotary cultivated,1,Rotary cultivated,,,,,
81,W/CS/326,1990,far field i,06-Oct-90,,diary record,"subsoiler with vibrating tines 50 cm apart and 40 cm deep, glyphosate at 0.36 kg in 220 1 applied",1,Subsoiled with vibrating tines 50 cm apart and 40 cm deep,,,,,
81,W/CS/326,1990,far field i,06-Oct-90,,diary record,"subsoiler with vibrating tines 50 cm apart and 40 cm deep, glyphosate at 0.36 kg in 220 1 applied",1,Glyphosate,0.36,kg/ha,220,l/ha,
82,W/CS/326,1990,far field i,07-Oct-90,,diary record,"rotary harrowed with crumbler attached, seed sown",1,Rotary harrowed with crumbler attached,,,,,
82,W/CS/326,1990,far field i,07-Oct-90,,diary record,"rotary harrowed with crumbler attached, seed sown",1,Seed sown,,,,,
83,W/CS/326,1990,far field i,11-Dec-90,,diary record,Isoproturon at 0.5 kg with isoxaben at 75 g in 220 1 applied,1,Isoproturon,0.5,kg/ha,220,l/ha,
83,W/CS/326,1990,far field i,11-Dec-90,,diary record,Isoproturon at 0.5 kg with isoxaben at 75 g in 220 1 applied,1,Isoxaben,75,g/ha,220,l/ha,
84,W/CS/326,1990,far field i,23-Feb-90,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
85,W/CS/326,1990,far field i,05-Apr-90,,diary record,"N applied, 'Nitram' at 560 kg",1,Nitram,560,kgN/ha,,,
86,W/CS/326,1990,far field i,24-Apr-90,,diary record,Metsulfuron-methyl at 6.0 g in 220 l applied,1,Metsulfuron-methyl,6.0,g/ha,220,l/ha,
87,W/CS/326,1990,far field i,22-May-90,,diary record,Chlorothalonil at 0.50 kg with propiconazole at 0.12 kg in 300 1 applied,1,Chlorothalonil,0.50,kg/ha,300,l/ha,
87,W/CS/326,1990,far field i,22-May-90,,diary record,Chlorothalonil at 0.50 kg with propiconazole at 0.12 kg in 300 1 applied,1,Propiconazole,0.12,kg/ha,300,l/ha,
88,W/CS/326,1990,far field i,06-Aug-90,,diary record,combine harvested,1,Combine harvested,,,,,
89,R/CS/326,1991,great knott iii,24-Aug-90,,diary record,ploughed and rolled,1,Ploughed,,,,,
89,R/CS/326,1991,great knott iii,24-Aug-90,,diary record,ploughed and rolled,1,Rolled,,,,,
90,R/CS/326,1991,great knott iii,08-Oct-90,,diary record,glyphosate at 0.27 kg in 200 1 applied,1,Glyphosate,0.27,kg/ha,200,l/ha,
91,R/CS/326,1991,great knott iii,12-Oct-90,,diary record,"rotary harrowed, seed sown and harrowed",1,Rotary harrowed,,,,,
91,R/CS/326,1991,great knott iii,12-Oct-90,,diary record,"rotary harrowed, seed sown and harrowed",1,Seed sown,,,,,
91,R/CS/326,1991,great knott iii,12-Oct-90,,diary record,"rotary harrowed, seed sown and harrowed",1,Harrowed,,,,,
92,R/CS/326,1991,great knott iii,15-Oct-90,,diary record,rolled,1,Rolled,,,,,
93,R/CS/326,1991,great knott iii,02-Nov-90,,diary record,Tri-allate at 2.2 kg applied,1,Tri-allate,2.2,kg/ha,,,
94,R/CS/326,1991,great knott iii,15-Nov-90,,diary record,Isoproturon at 1.3 kg and pendimethalin at 1.3 kg in 200 l applied,1,Isoproturon,1.3,kg/ha,200,l/ha,
94,R/CS/326,1991,great knott iii,15-Nov-90,,diary record,Isoproturon at 1.3 kg and pendimethalin at 1.3 kg in 200 l applied,1,Pendimethalin,1.3,kg/ha,200,l/ha,
95,R/CS/326,1991,great knott iii,04-Mar-91,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
96,R/CS/326,1991,great knott iii,03-Apr-91,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
97,R/CS/326,1991,great knott iii,12-Apr-91,,diary record,P and K applied,1,PK applied,,,,,
98,R/CS/326,1991,great knott iii,24-Apr-91,,diary record,Fenpropimorph at 0.38 kg in 200 1 applied,1,Fenpropimorph,0.38,kg/ha,200,l/ha,
99,R/CS/326,1991,great knott iii,11-Jun-91,,diary record,propiconazole at 0.25 kg in 200 1 applied,1,Propiconazole,0.25,kg/ha,200,l/ha,
100,R/CS/326,1991,great knott iii,21-Aug-91,,diary record,combine harvested,1,Combine harvested,,,,,
101,W/CS/326,1991,far field i,23-Aug-91,,diary record,Magnesian limestone at 7.5 t applied,1,Magnesian limestone applied,7.5,tonnes/ha,,,
102,W/CS/326,1991,far field i,11-Sep-91,,diary record,glyphosate at 0.27 kg in 200 1 applied,1,Glyphosate,0.27,kg/ha,200,l/ha,
103,W/CS/326,1991,far field i,24-Sep-91,,diary record,disced twice,1,Disced twice,,,,,
104,W/CS/326,1991,far field i,02-Oct-91,,diary record,"Tri-allate at 1.7 kg in 220 1 applied, rotary harrowed, seed sown",1,Tri-allate,1.7,kg/ha,220,l/ha,
104,W/CS/326,1991,far field i,02-Oct-91,,diary record,"Tri-allate at 1.7 kg in 220 1 applied, rotary harrowed, seed sown",1,Rotary harrowed,,,,,
104,W/CS/326,1991,far field i,02-Oct-91,,diary record,"Tri-allate at 1.7 kg in 220 1 applied, rotary harrowed, seed sown",1,Seed sown,,,,,
105,W/CS/326,1991,far field i,27-Nov-91,,diary record,Pendimathalin at 1.3 kg with isoproturon at 1.2 kg applied with Deltamathrin at 5.0 g in 220 l applied,1,Pendimethalin,1.3,kg/ha,220,l/ha,
105,W/CS/326,1991,far field i,27-Nov-91,,diary record,Pendimathalin at 1.3 kg with isoproturon at 1.2 kg applied with Deltamathrin at 5.0 g in 220 l applied,1,Isoproturon,1.2,kg/ha,220,l/ha,
105,W/CS/326,1991,far field i,27-Nov-91,,diary record,Pendimathalin at 1.3 kg with isoproturon at 1.2 kg applied with Deltamathrin at 5.0 g in 220 l applied,1,Deltamathrin,5.0,g/ha,220,l/ha,
106,W/CS/326,1991,far field i,15-Mar-91,,diary record,"N applied, 'Nitram' at 120 kg",1,Nitram,120,kgN/ha,,,
107,W/CS/326,1991,far field i,17-Apr-91,,diary record,"N applied, 'Nitram' at 580 kg",1,Nitram,580,kgN/ha,,,
108,W/CS/326,1991,far field i,24-Apr-91,,diary record,Fenpropimorph at 0.38 kg in 210 1 applied,1,Fenpropimorph,0.38,kg/ha,210,l/ha,
109,W/CS/326,1991,far field i,20-Jun-91,,diary record,Fenpropimorph at 0.38 kg with chlorothalonil at 0.49 kg and flutriafol at 78 g in 300 l applied,1,Fenpropimorph,0.38,kg/ha,300,l/ha,
109,W/CS/326,1991,far field i,20-Jun-91,,diary record,Fenpropimorph at 0.38 kg with chlorothalonil at 0.49 kg and flutriafol at 78 g in 300 l applied,1,Chlorothalonil,0.49,kg/ha,300,l/ha,
109,W/CS/326,1991,far field i,20-Jun-91,,diary record,Fenpropimorph at 0.38 kg with chlorothalonil at 0.49 kg and flutriafol at 78 g in 300 l applied,1,Flutriafol,78,g/ha,300,l/ha,
110,W/CS/326,1991,far field i,22-Aug-91,,diary record,combine harvested,1,Combine harvested,,,,,
111,R/BK/1,1968,all sections,11-Sep-67,,diary record,Ground Chalk applied (including extra chalking),1,Ground Chalk applied (including extra chalking),,,,,
112,R/BK/1,1968,all sections,18-Sep-67,,diary record,FYM applied,1,FYM applied,,,,,
113,R/BK/1,1968,all sections,19-Sep-67,,diary record,"plots 1 - 3 ploughed, all autumn fertilizers applied",1,Plots 1 - 3 ploughed,,,,,
113,R/BK/1,1968,all sections,19-Sep-67,,diary record,"plots 1 - 3 ploughed, all autumn fertilizers applied",1,Autumn fertilizers applied,,,,,
114,R/BK/1,1968,all sections,20-Sep-67,,diary record,remaining plots ploughed,1,Remaining plots ploughed,,,,,
115,R/BK/1,1968,winter wheat,07-Dec-67,,diary record,seed drilled at 180 lb,1,Seed drilled,180,lb/acre,,,
116,R/BK/1,1968,winter wheat,10-Apr-68,,diary record,'Nitro-Chalk' applied (plot 20 omitted in error),1,Nitro-Chalk applied (plot 20 omitted in error),,,,,
117,R/BK/1,1968,winter wheat,04-May-68,,diary record,all sections except 8 and 9 sprayed with ioxynil at 9 oz and mecoprop at 27 oz in 20 gals,1,All sections except 8 and 9 sprayed with ioxynil,9,oz/acre,20,gallons/acre,all sections except 8 and 9 sprayed with 
117,R/BK/1,1968,winter wheat,04-May-68,,diary record,all sections except 8 and 9 sprayed with ioxynil at 9 oz and mecoprop at 27 oz in 20 gals,1,All sections except 8 and 9 sprayed with mecoprop,27,oz/acre,20,gallons/acre,all sections except 8 and 9 sprayed with 
