ï»¿source_id,experiment,harvest_year,plot,start year,orig_record,record,flag,amount,unit,water_volume,water_unit,suffix
7488,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,23-Jun-92,LN1 and LLN1 only: NK as (25:0:16) at 300 kg. LC1 and LLC1 only: muriate of potash at 90 kg.,LN1 and LLN1 only: NK as (25:0:16),1,,,300,kg/ha,
7488,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,23-Jun-92,LN1 and LLN1 only: NK as (25:0:16) at 300 kg. LC1 and LLC1 only: muriate of potash at 90 kg.,LC1 and LLC1 only: muriate of potash,1,,,90,kg/ha,
7489,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,15-Sep-92,second cut.,Second cut,1,,,,,
7490,W/RN/3,1992,grass ley and clover grass ley first year rotation LN1 LC1 LLN1 and LLC1:,16-Sep-92,Produce removed.,Produce removed,1,,,,,
7491,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,11-Oct-92,LLN5 only: Dolomite at 5.0 t.,LLN5 only: Dolomite,1,5.0,t/ha,,,
7492,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,06-Mar-92,PK as (0:16:36) at 470 kg. NK ao (25:0:16) at 300 kg.,PK as (0:16:36),1,,,470,kg/ha,
7492,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,06-Mar-92,PK as (0:16:36) at 470 kg. NK ao (25:0:16) at 300 kg.,NK as (25:0:16),1,,,300,kg/ha,
7493,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,18-Jun-92,first cut.,First cut,1,,,,,
7494,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,22-Jun-92,Produce removed.,Produce removed,1,,,,,
7495,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,23-Jun-92,NK as (25:0:16) at 300 kg.,NK as (25:0:16),1,,,300,kg/ha,
7496,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,15-Sep-92,second cut.,Second cut,1,,,,,
7497,W/RN/3,1992,grass ley second third fifth sixth seventh and eighth year rotation LLN2-3 LLN2-3 and LLN2-8:,17-Sep-92,Produce removed.,Produce removed,1,,,,,
7498,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,11-Oct-91,LLC5 only: Dolomite at 5.0 t.,LLC5 only: Dolomite,1,5.0,t/ha,,,
7499,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,06-Mar-92,PK as (0:16:36) at 470 kg. muriate of potash at 90 kg.,PK as (0:16:36),1,,,470,kg/ha,
7499,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,06-Mar-92,PK as (0:16:36) at 470 kg. muriate of potash at 90 kg.,Muriate of potash,1,,,90,kg/ha,
7500,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,18-Jun-92,first cut.,First cut,1,,,,,
7501,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,22-Jun-92,Produce removed.,Produce removed,1,,,,,
7502,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,23-Jun-92,muriate of potash at 90 kg.,Muriate of potash,1,,,90,kg/ha,
7503,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,15-Sep-92,second cut.,Second cut,1,,,,,
7504,W/RN/3,1992,clover grass ley second third fifth sixth seventh and eighth year rotation LLC2-3 LLC2-3 and LLC2-8:,16-Sep-92,Produce removed.,Produce removed,1,,,,,
7505,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,08-Oct-91,ploughed.,Ploughed,1,,,,,
7506,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,06-Mar-92,NPK as (20:10:10) at 400 kg.,NPK as (20:10:10),1,,,400,kg/ha,
7507,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,13-Mar-92,"rotary cultivated with crumbler attached. Alexis, dressed Baytan, drilled at 157 kg.",Rotary cultivated with crumbler attached,1,,,,,
7507,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,13-Mar-92,"rotary cultivated with crumbler attached. Alexis, dressed Baytan, drilled at 157 kg.","Alexis, dressed Baytan, drilled",1,157,kg,,,
7508,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,20-May-92,Deloxil at l.0 l. Duplosan new System CMPP at 2.0 1 and Calixin at 0.50 1 in 200 l.,Deloxil,1,1.0,l/ha,200,l/ha,
7508,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,20-May-92,Deloxil at l.0 l. Duplosan new System CMPP at 2.0 1 and Calixin at 0.50 1 in 200 l.,Duplosan new System CMPP,1,2.0,l/ha,,,
7508,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,20-May-92,Deloxil at l.0 l. Duplosan new System CMPP at 2.0 1 and Calixin at 0.50 1 in 200 l.,Calixin,1,0.50,l/ha,200,l/ha,
7509,W/RN/3,1992,spring barley first and second treatment crop rotation AB.,06-Aug-92,combine harvested.,Combine harvested,1,,,,,
7510,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,30-Oct-91,"Punch broadcast at 163 kg, ploughed.",Punch broadcast,1,163,kg/ha,,,
7510,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,30-Oct-91,"Punch broadcast at 163 kg, ploughed.",Ploughed,1,,,,,
7511,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,19-Peb-92,Carbatamex at 3.0 kg in 200 l.,Carbatamex,1,3.0,kg/ha,200,l/ha,
7512,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,14-May-92,Chiltern ley at 2.0 1 and late at l.0.kg with Vassgro Spreader at 0.03 1 in 200 l.,Chiltern Ole,1,2.0,l/ha,200,l/ha,
7512,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,14-May-92,Chiltern ley at 2.0 1 and late at l.0.kg with Vassgro Spreader at 0.03 1 in 200 l.,Benlate,1,1.0,kg/ha,200,l/ha,
7512,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,14-May-92,Chiltern ley at 2.0 1 and late at l.0.kg with Vassgro Spreader at 0.03 1 in 200 l.,Vassgro Spreader,1,0.03,l/ha,200,l/ha,
7513,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,15-May-92,Decis at 0.30 1 in 200 l.,Decis,1,0.30,l/ha,200,l/ha,
7514,W/RN/3,1992,w beans third treatment crop rotation AF and AB:,04-Sep-92,combine harvested.,Combine harvested,1,,,,,
7515,W/RN/3,1992,fallow first and second treatment year rotation AF:,08-Oct-92,ploughed.,Ploughed,1,,,,,
7516,W/RN/3,1992,fallow first and second treatment year rotation AF:,05-May-92,rotary cultivated.,Rotary cultivated,1,,,,,
7517,W/RN/3,1992,Winter wheat first test crop W:,02-Oct-91,ploughed and rolled.,Ploughed,1,,,,,
7517,W/RN/3,1992,Winter wheat first test crop W:,02-Oct-91,ploughed and rolled.,Rolled,1,,,,,
7518,W/RN/3,1992,Winter wheat first test crop W:,03-Oct-91,PK as (0:24:24) at 260 kg.,PK as (0:24:24),1,,,260,kg/ha,
7519,W/RN/3,1992,Winter wheat first test crop W:,03-Oct-91,Yaltox at 150 kg.,Yaltox,1,150,kg/ha,,,
7520,W/RN/3,1992,Winter wheat first test crop W:,03-Oct-91,rotary cultivated,Rotary cultivated,1,,,,,
7521,W/RN/3,1992,Winter wheat first test crop W:,03-Oct-91,drilled Mercia at 140 kg.,Drilled Mercia,1,140,kg/ha,,,
7522,W/RN/3,1992,Winter wheat first test crop W:,30-Oct-91,Stomp 400 at 2.5 l. Arelon WDG at 0.50 kg and Decis at 0.20 1 in 200 l.,Stomp 400,1,2.5,l/ha,200,l/ha,
7522,W/RN/3,1992,Winter wheat first test crop W:,30-Oct-91,Stomp 400 at 2.5 l. Arelon WDG at 0.50 kg and Decis at 0.20 1 in 200 l.,Arelon WDG,1,0.50,kg/ha,200,l/ha,
7522,W/RN/3,1992,Winter wheat first test crop W:,30-Oct-91,Stomp 400 at 2.5 l. Arelon WDG at 0.50 kg and Decis at 0.20 1 in 200 l.,Decis,1,0.20,l/ha,200,l/ha,
7523,W/RN/3,1992,Winter wheat first test crop W:,13-Apr-92,LN7. 140 and 210: applied as 27% N.,N70 27.0% N,1,70,kgN/ha,,,
7523,W/RN/3,1992,Winter wheat first test crop W:,13-Apr-92,LN7. 140 and 210: applied as 27% N.,N140 27.0% N,1,140,kgN/ha,,,
7523,W/RN/3,1992,Winter wheat first test crop W:,13-Apr-92,LN7. 140 and 210: applied as 27% N.,N210 27.0% N,1,210,kgN/ha,,,
7524,W/RN/3,1992,Winter wheat first test crop W:,03-May-92,during at l.0 1 in 300 l.,Dorin,1,1.0,l/ha,300,l/ha,
7525,W/RN/3,1992,Winter wheat first test crop W:,15-May-92,during at l.0 1 and ally at 0.03 kg in 300 l.,Dorin,1,1.0,l/ha,300,l/ha,
7525,W/RN/3,1992,Winter wheat first test crop W:,15-May-92,during at l.0 1 and ally at 0.03 kg in 300 l.,Ally,1,0.03,kg/ha,300,l/ha,
7526,W/RN/3,1992,Winter wheat first test crop W:,09-Jun-92,Impact Excel at 2.0 1 in 200 l.,Impact Excel,1,2.0,l/ha,200,l/ha,
7527,W/RN/3,1992,Winter wheat first test crop W:,29-Jul-92,Barclay Gallup at 2.0 1 and Team at 0.30 1 in 300 l.,Barclay Gallup,1,2.0,l/ha,300,l/ha,
7527,W/RN/3,1992,Winter wheat first test crop W:,29-Jul-92,Barclay Gallup at 2.0 1 and Team at 0.30 1 in 300 l.,Team,1,0.30,l/ha,300,l/ha,
7528,W/RN/3,1992,Winter wheat first test crop W:,29-Aug-92,combine harvested.,Combine harvested,1,,,,,
7529,W/RN/3,1992,"Winter rye, second test crop R:",08-Oct-91,ploughed.,Ploughed,1,,,,,
7530,W/RN/3,1992,"Winter rye, second test crop R:",11-Oct-91,Dolomite at 5.0 t.,Dolomite,1,5.0,t/ha,,,
7531,W/RN/3,1992,"Winter rye, second test crop R:",11-Oct-91,PK as (0:24:24) at 260 kg.,PK as (0:24:24),1,,,260,kg/ha,
7532,W/RN/3,1992,"Winter rye, second test crop R:",11-Oct-91,Yaltox at 150 kg.,Yaltox,1,150,kg/ha,,,
7533,W/RN/3,1992,"Winter rye, second test crop R:",11-Oct-91,rotary cultivated,Rotary cultivated,1,,,,,
7534,W/RN/3,1992,"Winter rye, second test crop R:",11-Oct-91,Manod drilled at 110 kg.,Manod drilled,1,110,kg,,,
7535,W/RN/3,1992,"Winter rye, second test crop R:",16-Jan-92,Stomp 400 at 3.3 1 in 200 l.,Stomp 400,1,3.3,l/ha,200,l/ha,
7536,W/RN/3,1992,"Winter rye, second test crop R:",16-Apr-92,N30 27% N##60##90: applied as .,N30 27.0% N,1,30,kgN/ha,,,
7536,W/RN/3,1992,"Winter rye, second test crop R:",16-Apr-92,N30 27% N##60##90: applied as .,N60 27.0% N,1,60,kgN/ha,,,
7536,W/RN/3,1992,"Winter rye, second test crop R:",16-Apr-92,N30 27% N##60##90: applied as .,N90 27.0% N,1,90,kgN/ha,,,
7537,W/RN/3,1992,"Winter rye, second test crop R:",31-Jul-92,combine harvested.,Combine harvested,1,,,,,
7538,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",14-Sep-92,ploughed.,Ploughed,1,,,,,
7539,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LN1 and LLN1 only: 34.5% N at 220 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 15 kg and Beret RVP timothy at 15 kg.",LN1 and LLN1 only: 34.5% N,1,,,220,kg/ha,
7539,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LN1 and LLN1 only: 34.5% N at 220 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 15 kg and Beret RVP timothy at 15 kg.",LN1 and LLN1 only: rotary harrowed with crumbler attached,1,,,,,
7539,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LN1 and LLN1 only: 34.5% N at 220 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 15 kg and Beret RVP timothy at 15 kg.",LN1 and LLN1 only: drilled Rossa meadow fescue at-15 kg and Beret RVP timothy at-15 kg,1,,,,,
7540,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LC1 and LLC1 only: 34.5% N at 145 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 12 kg, Beret RVP timothy at 14 kg and Huia white clover at 4 kg.",LC1 and LLC1 only: 34.5% N,1,,,145,kg/ha,
7540,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LC1 and LLC1 only: 34.5% N at 145 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 12 kg, Beret RVP timothy at 14 kg and Huia white clover at 4 kg.",Rotary harrowed with crumbler attached,1,,,,,
7540,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",16-Sep-92,"LC1 and LLC1 only: 34.5% N at 145 kg. rotary harrowed with crumbler attached, drilled Rossa meadow fescue at 12 kg, Beret RVP timothy at 14 kg and Huia white clover at 4 kg.","Drilled Rossa meadow fescue at-12 kg, Beret RVP timothy at-14 kg and Huia white clover at-4 kg",1,,,,,
7541,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",03-Mar-93,PK as (0:18:36) at 560 kg.,PK as (0:18:36),1,,,560,kg/ha,
7542,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",04-Mar-93,LN1 and LLN1 only: NK as (25:09:16) at 300 kg.,LN1 and LLN1 only: NK as (25:09:16),1,,,300,kg/ha,
7543,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",04-Mar-93,LC1 and LLC1 only: muriate of potash at 90 kg.,LC1 and LLC1 only: muriate of potash,1,,,90,kg/ha,
7544,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",05-Mar-93,harrowed.,Harrowed,1,,,,,
7545,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",08-Jun-93,first cut.,First cut,1,,,,,
7546,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",09-Jun-93,Produce removed.,Produce removed,1,,,,,
7547,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",01-Jul-93,LN1 and LLN1 only: NK as (25:0:16) at 300 kg.,LN1 and LLN1 only: NK as (25:0:16),1,,,300,kg/ha,
7548,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",01-Jul-93,LC1 and LLC1 only: muriate of potash at 90 kg.,LC1 and LLC1 only: muriate of potash,1,,,90,kg/ha,
7549,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",30-Jul-93,Setter 33 at 5.0 2 in 200 l.,Setter 33,1,5.0,l/ha,200,l/ha,
7550,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",15-Sep-93,second cut.,Second cut,1,,,,,
7551,W/RN/3,1993,"grass ley and clover grass ley first year rotation LN1, LC1 LLN1 and LLC1:",22-Sep-93,Produce removed.,Produce removed,1,,,,,
7552,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,06-Oct-92,LLN5 only: Dolomite at 5.0 t.,LLN5 only: Dolomite,1,5.0,t/ha,,,
7553,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,03-Mar-93,PK as (0:18:36) at 560 kg.,PK as (0:18:36),1,,,560,kg/ha,
7554,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,04-Mar-93,NK as (25:0:16) at 300 kg.,NK as (25:0:16),1,,,300,kg/ha,
7555,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,05-Mar-93,harrowed.,Harrowed,1,,,,,
7556,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,08-Jun-93,first cut.,First cut,1,,,,,
7557,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,09-Jun-93,Produce removed.,Produce removed,1,,,,,
7558,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,01-Jul-93,NK as (25:0:16) at 300 kg.,NK as (25:0:16),1,,,300,kg/ha,
7559,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,30-Jul-93,Setter 33 at 5.0 1 in 200 l.,Setter 33,1,5.0,l/ha,200,l/ha,
7560,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,15-Sep-93,second cut.,Second cut,1,,,,,
7561,W/RN/3,1993,grass ley second to eighth year rotation LLN2-3 LLN2-8:,22-Sep-93,Produce removed.,Produce removed,1,,,,,
7562,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,06-Oct-92,LLC5 only: Dolomite at 5.0 t.,LLC5 only: Dolomite,1,5.0,t/ha,,,
7563,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,03-Mar-93,PK as (0:18:36) at 560 kg.,PK as (0:18:36),1,,,560,kg/ha,
7564,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,04-Mar-93,muriate of potash at 90 kg.,Muriate of potash,1,,,90,kg/ha,
7565,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,05-Mar-93,harrowed.,Harrowed,1,,,,,
7566,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,08-Jun-93,first cut.,First cut,1,,,,,
7567,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,09-Jun-93,Produce removed.,Produce removed,1,,,,,
7568,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,01-Jul-93,muriate of potash at 90 kg.,Muriate of potash,1,,,90,kg/ha,
7569,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,30-Jul-93,Setter 33 at 5.0 1 in 200 l.,Setter 33,1,5.0,l/ha,200,l/ha,
7570,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,15-Sep-93,second cut.,Second cut,1,,,,,
7571,W/RN/3,1993,clover grass ley second to eighth year rotation LLC2-3 and LLC2-8:,22-Sep-93,Produce removed.,Produce removed,1,,,,,
7572,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,14-Sep_92,ploughed.,Ploughed,1,,,,,
7573,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,03-Mar-93,NPK as (20:10:10) at 400 kg.,NPK as (20:10:10),1,,,400,kg/ha,
7574,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,04-Mar-93,"rotary harrowed with crumbler attached, Alexis, dressed Baytan, drilled at 160 kg, harrowed.",Rotary harrowed with crumbler attached,1,,,,,
7574,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,04-Mar-93,"rotary harrowed with crumbler attached, Alexis, dressed Baytan, drilled at 160 kg, harrowed.","Alexis, dressed Baytan, drilled",1,160,kg,,,
7574,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,04-Mar-93,"rotary harrowed with crumbler attached, Alexis, dressed Baytan, drilled at 160 kg, harrowed.",Harrowed,1,,,,,
7575,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,22-Jun-93,during at l.0 1 in 200 l.,Dorin,1,1.0,l/ha,200,l/ha,
7576,W/RN/3,1993,spring barley first and second treatment crop rotation AB:,16-Aug-93,combine harvested.,Combine harvested,1,,,,,
7577,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,30-Oct-92,"PK as (0:24:24) at 168 kg, Punch broadcast at 180 kg, ploughed.",PK as (0:24:24),1,,,168,kg/ha,
7577,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,30-Oct-92,"PK as (0:24:24) at 168 kg, Punch broadcast at 180 kg, ploughed.",Punch broadcast,1,180,kg/ha,,,
7577,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,30-Oct-92,"PK as (0:24:24) at 168 kg, Punch broadcast at 180 kg, ploughed.",Ploughed,1,,,,,
7578,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,24-Feb-93,Carbatamex at 3.0 kg in 200 l.,Carbatamex,1,3.0,kg/ha,200,l/ha,
7579,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,15-Jun-93,late at l.0 kg with Chiltern Chorothalonil 500 at 2.0 1 in 300 l.,Benlate,1,1.0,kg/ha,300,l/ha,
7579,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,15-Jun-93,late at l.0 kg with Chiltern Chorothalonil 500 at 2.0 1 in 300 l.,Chiltern Chorothalonil 500,1,2.0,l/ha,300,l/ha,
7580,W/RN/3,1993,Winter beans third treatment crop rotation AF and AB:,01-Sep-93,combine harvested.,Combine harvested,1,,,,,
7581,W/RN/3,1993,fallow first and second treatment year rotation AF:,14-Sep-92,ploughed.,Ploughed,1,,,,,
7582,W/RN/3,1993,fallow first and second treatment year rotation AF:,04-Mar-93,rotary cultivated with crumbler attached.,Rotary cultivated with crumbler attached,1,,,,,
