Experiment,Year,Treatment,start date,end date,operation,,,,
R/CS/311,1986,FUNGCIDE FULL,01-Jul-1986,,"Propiconazole at 0.12 kg with carbendazim, Mancozeb (as Septal at 2.5 kg) ín 200 l",,,,
R/CS/311,1986,INSCTCDE CYP+PIR,13-Nov-1985,,Cypermethrin at 0.025 kg in 200 l,,,,
R/CS/311,1986,INSCTCDE CYP+PIR,01-Jul-1986,,Pirimicarb at 0.14 kg in 500 l,,,,
R/CS/311,1986,All plots,16-Sep-1985,,PK applied,,,,
R/CS/311,1986,All plots,08-Oct-1985,,paraquat applied,,,,
R/CS/311,1986,All plots,10-Oct-1985,,seed sown,,,,
R/CS/311,1986,All plots,14-Mar-1986,,First N applied,,,,
R/CS/311,1986,All plots,27-Apr-1986,,second N applied,,,,
R/CS/311,1986,All plots,29-Apr-1986,,Weedkillers applied,,,,
R/CS/311,1986,All plots,20-Aug-1986,,combine harvested,,,,
R/CS/311,1986,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1987,STRAW BURNT,08-Sep-1986,,Burnt,,,,
R/CS/311,1987,STRAW BALED,21-Aug-1986,,Baled and removed,,,,
R/CS/311,1987,STRAW CHOPPED,21-Aug-1986,,chopped,,,,
R/CS/311,1987,CULTTIME EARLY,09-Sep-1986,,cultivated by rotary grubber,,,,
R/CS/311,1987,CULTTIME LATER,26-Sept-1986,,cultivated by rotary grubber,,,,
R/CS/311,1987,CULTTIME EARLY AUT N,09-Sep-1986,,50 kg N as Nitram,,,,
R/CS/311,1987,CULTTIME LATER AUT N,25-Sep-1986,,50 kg N as Nitram,,,,
R/CS/311,1987,FUNGCIDE FULL,14-Apr-1987,,"Triadimefon at 0.125 kg, carbendazim at 0.25 kg in 500 1 on",,,,
R/CS/311,1987,FUNGCIDE FULL,27-Apr-1987,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 1 on",,,,
R/CS/311,1987,FUNGCIDE FULL,28-May-1987,,Propiconazole at 0.125 kg in 200 l,,,,
R/CS/311,1987,FUNGCIDE FULL,23-Jun-1987,,Propiconazole at 0.125 kg with carbendazim at 0.25 kg and Mancozeb at 1.5 kg in 200 l,,,,
R/CS/311,1987,INSECTCDE PIR,23-Jun-1987,,Pirimicarb at 0.14 kg in 200 1 on,,,,
R/CS/311,1987,MOLLCIDE METHCARB,29-Sep-1986,,"Methiocarb at 0.22 kg, as pellets, broadcast",,,,
R/CS/311,1987,All plots,03-Oct-1986,,paraquat applied,,,,
R/CS/311,1987,All plots,06-Oct-1986,,rotary harrowed,,,,
R/CS/311,1987,All plots,07-Oct-1986,,seed sown,,,,
R/CS/311,1987,All plots,19-Mar-1987,,First N applied,,,,
R/CS/311,1987,All plots,31-Mar-1987,,Isoproturon applied,,,,
R/CS/311,1987,All plots,18-Apr-1987,,"second N, clopyralíd, ioxynil and mecoprop applied",,,,
R/CS/311,1987,All plots,19-Aug-1987,,combine harvested,,,,
R/CS/311,1987,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1988,STRAW BURNT,21-Aug-1987,,Burnt and disced,,,,
R/CS/311,1988,STRAW BALED,20-Aug-1987,,Baled and removed,,,,
R/CS/311,1988,STRAW CHOPPED,21-Aug-1987,,chopped,,,,
R/CS/311,1988,CULTTIME EARLY,01-Sep-1987,,cultivated by rotary grubber on,,,,
R/CS/311,1988,CULTTIME LATER,16-Sep-1987,,cultivated by rotary grubber on,,,,
R/CS/311,1988,CULTTIME EARLY AUT N,29-Aug-1987,,50 kg N as Nitram,,,,
R/CS/311,1988,CULTTIME LATER AUT N,16-Sep-1987,,50 kg N as Nitram,,,,
R/CS/311,1988,FUNGCIDE FULL,21-Apr-1988,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 l",,,,
R/CS/311,1988,FUNGCIDE FULL,25-May-1988,,Propiconazole at 0.125 kg in 260 1 on,,,,
R/CS/311,1988,FUNGCIDE FULL,20-Jun-1988,,Propiconazole at 0.125 kg with carbendazim at 0.25 kg and Mancozeb at 1.6 kg in 260 l,,,,
R/CS/311,1988,INSCTCDE FON+PIR,21-Jan-1988,,Fonofos at 1.4 kg in 200 1 on,,,,
R/CS/311,1988,INSCTCDE FON+PIR,20-Jun-1988,,pirimicarb at 0.14 kg in 260 1 on,,,,
R/CS/311,1988,MOLLICDE METHCARB,1986,,"Residual effects of molluscicide applied for crop, Methiocarb at 0.22 kg in autumn",,,,
R/CS/311,1988,All plots,30-Sep-1987,,First glyphosate applied,,,,
R/CS/311,1988,All plots,26-Oct-1987,,"springtine cultivated, seed sown",,,,
R/CS/311,1988,All plots,09-Dec-1987,,Tri-allate applied,,,,
R/CS/311,1988,All plots,24-Feb-1988,,First N applied,,,,
R/CS/311,1988,All plots,17-Mar-1988,,Isoproturon applied,,,,
R/CS/311,1988,All plots,22-Apr-1988,,second N applied,,,,
R/CS/311,1988,All plots,06-May-1988,,Fluroxypyr applied,,,,
R/CS/311,1988,All plots,09-Aug-1988,,Second glyphosate applied,,,,
R/CS/311,1988,All plots,25-Aug-1988,,combine harvested,,,,
R/CS/311,1988,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1989,STRAW BURNT,06-Sep-1988,,Burnt,,,,
R/CS/311,1989,STRAW BALED,30-Aug-1988,,Baled and removed,,,,
R/CS/311,1989,STRAW CHOPPED,06-Sep-1988,,chopped,,,,
R/CS/311,1989,CULTTIME EARLY,13-Sep-1988,,cultivated by rotary grubber on,,,,
R/CS/311,1989,CULTTIME LATER,29-Sep-1988,,cultivated by rotary grubber on,,,,
R/CS/311,1989,CULTTIME EARLY AUT N,13-Sep-1988,,50 kg N as Nitram,,,,
R/CS/311,1989,CULTTIME LATER AUT N,29-Sep-1988,,50 kg N as Nitram,,,,
R/CS/311,1989,FUNGCIDE FULL,15-Apr-1989,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 1 on",,,,
R/CS/311,1989,FUNGCIDE FULL,24-May-1989,,Propiconazole at 0.125 kg in 200 1 on,,,,
R/CS/311,1989,FUNGCIDE FULL,13-Jun-1989,,Propiconazole at 0.125 kg with carbendazim at 0.25 kg and Mancozeb at 1.6 kg in 200 1 on,,,,
R/CS/311,1989,INSCTCDE FON+PIR,26-Jan-1989,,Fonofos at 1.4 kg in 200 1 on,,,,
R/CS/311,1989,INSCTCDE FON+PIR,13-Jun-1989,,pirimicarb at 0.14 kg in 200 1 on,,,,
R/CS/311,1989,MOLLCIDE METHCARB,1986,,"Residual effects of molluscicide applied for crop, Methiocarb at 0.22 kg in autumn",,,,
R/CS/311,1989,All plots,07-Sep-1988,,Magnesian limestone applied,,,,
R/CS/311,1989,All plots,29-Sep-1988,,PK applied,,,,
R/CS/311,1989,All plots,18-Oct-1988,,paraquat applied,,,,
R/CS/311,1989,All plots,19-Oct-1988,,"rotary harrowed, seed sown",,,,
R/CS/311,1989,All plots,22-Oct-1988,,Chlortoluron applied,,,,
R/CS/311,1989,All plots,23-Feb-1989,,First N applied,,,,
R/CS/311,1989,All plots,15-Apr-1989,,second N applied,,,,
R/CS/311,1989,All plots,26-Apr-1989,,Metsulfuron-methyl with fluroxypyr applied,,,,
R/CS/311,1989,All plots,8-Aug-1989,,combine harvested,,,,
R/CS/311,1989,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1990,STRAW BURNT,16-Aug-1989,,Burnt and disced,,,,
R/CS/311,1990,STRAW BALED,16-Aug-1989,,Baled and removed,,,,
R/CS/311,1990,STRAW CHOPPED,16-Aug-1989,,chopped,,,,
R/CS/311,1990,CULTTIME EARLY,16-Aug-1989,,cultivated by rotary grubber on,,,,
R/CS/311,1990,CULTTIME LATER,30-Aug-1989,,cultivated by rotary grubber on,,,,
R/CS/311,1990,FUNGCIDE FULL,24-Nov-1989,,"Triadimefon at 0.12 kg, carbendazim at 0.25 kg in 200 1 on",,,,
R/CS/311,1990,FUNGCIDE FULL,9-Apr-1990,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 1 on",,,,
R/CS/311,1990,FUNGCIDE FULL,17-May-1990,,Propiconazole at 0.125 kg in 200 1 on,,,,
R/CS/311,1990,FUNGCIDE FULL,14-Jun-1990,,Propiconazole at 0.125 kg with carbendazim at 0.25 kg and Mancozeb at 1.6 kg in 200 1 on,,,,
R/CS/311,1990,INSCTCDE CYP+PIR,01-Nov-1989,,Cypermethrin at 25 g in 200 1 on,,,,
R/CS/311,1990,INSCTCDE CYP+PIR,14-Jun-1990,,Pirimicarb at 0.14 kg in 200 1 on,,,,
R/CS/311,1990,MOLLCIDE METHCARB,06-Oct-1989,,Methiocarb at 0.22 kg on,,,,
R/CS/311,1990,All plots,21-Sep-1989,,glyphosate applied,,,,
R/CS/311,1990,All plots,05-Oct-1989,,"rotary harrowed, seed sown ",,,,
R/CS/311,1990,All plots,10-Nov-1989,,Chlorotoluron with cyanazine applied,,,,
R/CS/311,1990,All plots,02-Mar-1990,,First N applied,,,,
R/CS/311,1990,All plots,12-Apr-1990,,second N applied,,,,
R/CS/311,1990,All plots,03-May-1990,,Remaining weedkillers applied,,,,
R/CS/311,1990,All plots,11-Aug-1990,,combine harvested,,,,
R/CS/311,1990,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1991,STRAW BURNT,22-Aug-1990,,Burnt and disced,,,,
R/CS/311,1991,STRAW BALED,21-Aug-1990,,Baled and removed,,,,
R/CS/311,1991,STRAW CHOPPED,22-Aug-1990,,chopped,,,,
R/CS/311,1991,CULLTIME EARLY,23-Aug-1990,,cultivated by rotary grubber on,,,,
R/CS/311,1991,CULTTIME LATER,14-Sep-1990,,cultivated by rotary grubber on,,,,
R/CS/311,1991,FUNGCIDE FULL,03-Dec-1990,,"Triadimefon at 0.12 kg, carbendazim at 0.25 kg in 200 1 on",,,,
R/CS/311,1991,FUNGCIDE FULL,12-Apr-1991,,"Prochloraz at 0.40 kg, carbendazim at 0.15 kg in 200 1 on",,,,
R/CS/311,1991,FUNGCIDE FULL,20-June-1991,,Propiconazole at 0.12 kg with chlorothalonil at 0.50 kg in 200 1 on,,,,
R/CS/311,1991,INSCTCDE CYP+PIR,06-Nov-1990,,Cypermethrin at 25 g in 200 1 on,,,,
R/CS/311,1991,INSCTCDE CYP+PIR,02-Jul-1991,,Pirimicarb at 0.14 kg in 200 1 on,,,,
R/CS/311,1991,MOLLCIDE METHCARB,11-Oct-1990,,Methiocarb at 0.22 kg on,,,,
R/CS/311,1991,All plots,08-Oct-1990,,First glyphosate applied,,,,
R/CS/311,1991,All plots,10-Oct-1990,,"rotary harrowed, seed sown",,,,
R/CS/311,1991,All plots,02-Nov-1990,,Tri-allate applied,,,,
R/CS/311,1991,All plots,13-Nov-1990,,Bifenox and chlorotoluron applied,,,,
R/CS/311,1991,All plots,04-Mar-1991,,First N applied,,,,
R/CS/311,1991,All plots,05-Apr-1991,,second N applied,,,,
R/CS/311,1991,All plots,13-Aug-1991,,sections glyphosate applied,,,,
R/CS/311,1991,All plots,20-Aug-1991,,combine harvested,,,,
R/CS/311,1991,Note,,,Growth was measured and incidence of pests and diseases assessed at intervals during the season. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1992,STRAW BALED,22-AUG-1991,,straw baled and removed,,,,
R/CS/311,1992,STRAW BURNT,27-AUG-1991,,straw burnt,,,,
R/CS/311,1992,STRAW CHOPPED,27-AUG-1991,,straw chopped with trailed straw chopper,,,,
R/CS/311,1992,STRAW BURNT,28-AUG-1991,,disced,,,,
R/CS/311,1992,CULTTIME EARLY,28-AUG-1991,,Cultivated by rotary grubber,,,,
R/CS/311,1992,,23-SEP-1991,,(0:16:36) at 1040 kg,,,,
R/CS/311,1992,CULTTIME LATER,11-Oct-1991,,Cultivated by rotary grubber,,,,
R/CS/311,1992,,12-Oct-1991,,Rotary harrowed,,,,
R/CS/311,1992,,12-Oct-1991,,Haven drilled at 220kg,,,,
R/CS/311,1992,,12-Oct-1991,,Rolled,,,,
R/CS/311,1992,MOLLCIDE METHCARB,18-Oct-1991,,Draza at 5.5kg,,,,
R/CS/311,1992,INSCTCDE CYP+PIR,12-Nov-1991,,Ripcord at 0.20 l in 200 l,,,,
R/CS/311,1992,,27-Nov-1991,,Stefes IPU at 2.5 l and Stomp 400 at 3.3 l in 200 l,,,,
R/CS/311,1992,FUNGCIDE FULL,14-Jan-1992,,Bayleton BM at 1.0 kg in 200 l,,,,
R/CS/311,1992,34.5% N at 120 kg,25-Feb-1992,,,,,,
R/CS/311,1992,34.5% N at 580 kg,14-Apr-1992,,,,,,
R/CS/311,1992,FUNGCIDE FULL,15-May-1992,,Sportak 45 at 0.90 l in 200 l,,,,
R/CS/311,1992,Terpal at 2.0 l with Farmon Blue at 0.80 l in 200 l,20-May-1992,,,,,,
R/CS/311,1992,FUNGCIDE FULL,04-Jun-1992,,Radar at 0.50 l in 200 l,,,,
R/CS/311,1992,FUNGCIDE FULL,22-Jun-1992,,Radar at 0.50 l and Chiltern Chlorothalonil 500 at 1.0 l in 200 l,,,,
R/CS/311,1992,INSCTCDE CYP+PIR,22-Jun-1992,,Aphox at 0.28 kg in 200 l,,,,
R/CS/311,1992,Roundup at 4.0 l in 200 l,28-Jul-1992,,,,,,
R/CS/311,1992,Combine harvested,19-Aug-1992,,,,,,
R/CS/311,1992,Note,,,Growth was measured and incidence of disease assessed at intervals during the season. Incidence of stem-borers was assessed in spring. Ears of volunteers were counted prior to harvest and components of yield were measured.,,,,
R/CS/311,1993,STRAW BALED,18-Aug-1992,, straw baled and removed.,,,,
R/CS/311,1993,STRAW BURNT,18-Aug-1992,, straw burnt and ash incorporated with disced.,,,,
R/CS/311,1993,STRAW CHOPPED,18-Aug-1992,, straw chopped with trailed straw chopper.,T,,,
R/CS/311,1993,,13-Oct-1992,,Gramoxone 100 at 2.0 1 with Vassgro Spreader at 0.10 1 in 200 1.,B,,,
R/CS/311,1993,,09-Mar-1993,,"cultivated by rotary grubber to 10 cm, springtine cultivated.",B,,,
R/CS/311,1993,,10-Mar-1993,,"rotary harrowed, ",,,,
R/CS/311,1993,,10-Mar-1993,,"Canon, dressed Cerevax, drilled at 400 seed per square metre.",B,,,
R/CS/311,1993,,12-Mar-1993,,Rolled.,B,,,
R/CS/311,1993,,23-Apr-1993,,34.5% N at 290 kg.,B,,,
R/CS/311,1993,,18-May-1993,,Ally at 30 g and Starane 2 at 1.0 1 in 200 1.,B,,,
R/CS/311,1993,,25-Aug-1993,,combine harvested. ,,,,
R/CS/311,1993,note,,,(1) flowering to ploughed wheat earthed in the autumn Winter wheat was not sown and was replaced by spring wheat. ,,,,
R/CS/311,1993,note,,,(2). Foot and root rots were measured in July. fertilizers ear were counted in June and thousand grain weights were measured at harvest. R/CS/311,1994,26-Aug-93,STRAW BALED,straw baled and removed.
R/CS/311,1994,STRAW CHOPPED,26-Aug-1993,, straw chopped with trailed chopper.,T,,,
R/CS/311,1994,STRAW BURNT,27-Aug-1993,, straw burnt and ash incorporated with discs.,T,,,
R/CS/311,1994,,02-Sep-1993,,PK as (0:18:36) at 300 kg.,B,,,
R/CS/311,1994,CULTIVTN PLOUGHED,18-Oct-1993,, ploughed.,T,,,
R/CS/311,1994,CULTIVTN SHA CULT,25-Oct-1993,, Heavy springtine cultivated twice.,T,,,
R/CS/311,1994,,26-Oct-1993,,Heavy springtine cultivated.,B,,,
R/CS/311,1994,,27-Oct-1993,,"Heavy springtine cultivated, rotary harrowed, ",,,,
R/CS/311,1994,,27-Oct-1993,,"Soissons, dressed Cerevax, drilled at 380 seed per m.",B,,,
R/CS/311,1994,,28-Oct-1993,,Draza at 5.5 kg.,B,,,
R/CS/311,1994,,19-Apr-1994,,Briotril Plus 19/19 at 2.0 1 with Hytane 500 SC at 2.0 1 in 200 1. ;,B,,,
R/CS/311,1994,,23-Jun-1994,,Cyclone at 1.0 1 with Mallard 750 EC at 0.5 1 in 200 1.,B,,,
R/CS/311,1994,,06-Aug-1994,,combine harvested. 62,B,,,
R/CS/311,1994,Note,,,Established plants were counted in January. Numbers of ears of volunteers and grass weeds were counted in July and components of yield were measured. Crop was sampled in July to measure dieseases affecting the stem bases and roots.,,,,
R/CS/311,1995,,08-Aug-1994,,STRAW BALED, straw baled and removed.,,,
R/CS/311,1995,,08-Aug-1994,,STRAW BURNT,straw burnt and ash incorporated with discs.,,,
R/CS/311,1995,,08-Aug-1994,,STRAW CHOPPED, straw chopped with trailed chopper.,,,
R/CS/311,1995,,02-Sep-1994,,PK as (0:20:32) at 1317 kg.,B,,,
R/CS/311,1995,,06-Sep-1994,,Sting CT at 2.0 1 in 200 1. X,B,,,
R/CS/311,1995,CULTIVTN P,04-Oct-1994,, ploughed.,,,,
R/CS/311,1995,"CULTIVTN S, S(P)",04-Oct-1994,, Heavy springtine cultivated twice.,T,,,
R/CS/311,1995,,07-Oct-1994,,rotary harrowed.,,,,
R/CS/311,1995,"CULTIVTN S, S(P)",07-Oct-1994,, cultivated by rotary grubber.,,,,
R/CS/311,1995,,07-Oct-1994,,rotary harrowed,,,,
R/CS/311,1995,,07-Oct-1994,,"Soissons, dressed Beret 050FS, drilled at 380 seed per m'.",B,,,
R/CS/311,1995,,18-Nov-1994,,Auger at 3.0 l1 with Stomp 400 at 2.5 1 in 200 1. .,B,,,
R/CS/311,1995,,25-Nov-1994,,Atlas Dimethoate 40 at 850 ml in 200 1.,B,,,
R/CS/311,1995,,10-Mar-1995,,34.5% N at 118 kg. ,,,,
R/CS/311,1995,,l1-Apr-1995,,34.5% N at 580 kg.,B,,,
R/CS/311,1995,,03-May-1995,,Halo at 2.0 1 in 200 1. 68,B,,,
R/CS/311,1995,,16-Jun-1995,,Bravo 500 at 1.0 1 with Silvacur at 0.5 1 in 300 1.,B,,,
R/CS/311,1995,,04-Aug-1995,,combine harvested. ,,,,
R/CS/311,1995,note,,,(1) All plots were shallow cultivated until the rotational ploughing was introduced in autumn 1993,,,,
R/CS/311,1995,note,,, (2) Ears of volunteers and grass weeds were counted in June. Crop sampled were taken in April and June to measure disease affecting the stem bases and roots. ,,,,
R/CS/311,1996,STRAW BALED,08-Aug-1995,,straw baled and removed.,T,,,
R/CS/311,1996,STRAW CHOPPED,08-Aug-1995,, straw chopped with trailed chopper,,,,
R/CS/311,1996,STRAW BURNT,10-Aug-1995,, straw burnt and ash incorporated with discs.,T,,,
R/CS/311,1996,,29-Sep-1995,,Gramoxone 100 at 3.0 1 in 200 1.,B,,,
R/CS/311,1996,CULTIVTN P,04-Oct-1995,, ploughed. ,,,,
R/CS/311,1996,CULTIVTN S,04-Oct-1995,, Heavy springtine cultivated twice.,T,,,
R/CS/311,1996,,16-Oct-1995,,rotary harrowed twice,,,,
R/CS/311,1996,,16-Oct-1995,,"Soissons, dressed Sibutol, drilled at 400 seed per m^.",B,,,
R/CS/311,1996,,30-Oct-1995,,Avadex BW Granular at 22.5 kg. 67,B,,,
R/CS/311,1996,,13-Nov-1995,,MSS Iprofile at 2.6 l with Stomp 400 SC at 2.6 1 in 200 1.,B,,,
R/CS/311,1996,,07-Mar-1996,,34.5% N at 116 kg.,B,,,
R/CS/311,1996,,15-Apr-1996,,34.5% N at 493 kg.,B,,,
R/CS/311,1996,,13-Jun-1996,,Alto 100 SL at 0.6 1 with Mallard 750 EC at 0.41 in 300 1.,B,,,
R/CS/311,1996,,08-Aug-1996,,combine harvested. ,,,,
R/CS/311,1996,note,,, Samples were taken in July to assess root and stem base diseases. ,,,,
R/CS/311,1997,STRAW BALED,08-Aug-1996,, straw baled and removed.,T,,,
R/CS/311,1997,STRAW CHOPPED,08-Aug-1996,, straw chopped with trailer chopper.,T,,,
R/CS/311,1997,STRAW BURNT,20-Aug-1996,, straw burnt and ash incorporated with discs.,T,,,
R/CS/311,1997,,30-Sep-1996,,Gramoxone 100 at 3.0 1 in 200 1.,B,,,
R/CS/311,1997,,09-Oct-1996,,CULTIVTN P, ploughed. ,,,
R/CS/311,1997,,09-Oct-1996,,CULTIVTN S, Heavy spring cultivated.,,,
R/CS/311,1997,,10-Oct-1996,,rotary harrowed twice,,,,
R/CS/311,1997,,10-Oct-1996,,"Soissons, dressed Sibutol and Gammasan 30, drilled at 380 seed per m*.",B,,,
R/CS/311,1997,,15-Nov-1996,,Avadex Excel 15G at 15.0 kg.,B,,,
R/CS/311,1997,,27-Nov-1996,,Stefes IPU at 1.0 1 with Stomp 400 SC at 2.5 1 in 200 1. 65,B,,,
R/CS/311,1997,,03-Mar-1997,,34.5% N at 116 kg.,B,,,
R/CS/311,1997,,04-Apr-1997,,34.5% N at 580 kg.,B,,,
R/CS/311,1997,,08-Aug-1997,,combine harvested. ,,,,
R/CS/311,1997,note,,, Plant samples were taken in July to assess root and stem base diseases. ,,,,
R/CS/311,1998,STRAW BALED,ll-Aug-1997,,straw baled and removed.,,,,
R/CS/311,1998,STRAW BURNT,ll-Aug-1997,,straw burnt and ash incorporated.,,,,
R/CS/311,1998,STRAW CHOPPED,ll-Aug-1997,, straw chopped with trailed chopper,,,,
R/CS/311,1998,,12-Aug-1997,,disced.,B,,,
R/CS/311,1998,,05-Sep-1997,,Scythe LC at 1.5 1 with Vassgro not Ionic at 1.0 1 in 200).,B,,,
R/CS/311,1998,,11-Oct-1997,,Scythe LC at 3.01 in 200 1.,B,,,
R/CS/311,1998,,14-Oct-1997,,Heavy springtine cultivated to 10 cm.,B,,,
R/CS/311,1998,,14-Oct-1997,,rotary harrowed,,,,
R/CS/311,1998,,14-Oct-1997,,"Soissons, dressed Anchor, drilled at 400 seed per m.",B,,,
R/CS/311,1998,,16-Oct-1997,,Draza at 5.5 kg. 62,B,,,
R/CS/311,1998,,13-Jan-1998,,Hawk at 2.5 1 with Sprayprover at 1.0 1 in 200 1.,B,,,
R/CS/311,1998,,17-Feb-1998,,34.5% N at 120 kg.,B,,,
R/CS/311,1998,,16-Mar-1998,,Ally at 20 g with MSS Optica at 1.0 1 in 200 i.,B,,,
R/CS/311,1998,,28-Apr-1998,,34.5% N at 580 kg. ,,,,
R/CS/311,1998,,28-Apr-1998,,Tripart Brevis at 1.5 1 in 200 1.,B,,,
R/CS/311,1998,,29-May-1998,,Folicur at 0.7 1 in 200 1.,B,,,
R/CS/311,1998,CULTIVTN S P95,04-Jun-1998,, Roundup at 3.0 1 in 200 1.,T,,,
R/CS/311,1998,,12-Jun-1998,,Bavistin DF at 0.5 kg with Folicur at 0.5 l in 100 1l.,B,,,
R/CS/311,1998,,08-Aug-1998,,combine harvested. ,,,,
R/CS/311,1998,note,,, (1) Plant samples were taken in July to assess root and stem base diseases. ,,,,
R/CS/311,1998,note,,,"(3) All CULTIVTN S P95 plots were destroyed with herbicide to reduce brome infestation in readiness for modifications to the experiment, these are omitted from the table of results. ",,,,
R/CS/311,1999,BA,12-Aug-1998,,straw baled and removed,,,,
R/CS/311,1999,CH,12-Aug-1998,,straw chopped and incorporated,T,,,
R/CS/311,1999,BU,19-Aug-1998,,straw burnt and ash incorporated to 10cm.,T,,,
R/CS/311,1999,,02-Sep-1998,,Flexitined.,B,,,
R/CS/311,1999,,22-Sep-1998,,Flexitined.,,,,
R/CS/311,1999,,22-Sep-1998,,rotary harrowed.,B,,,
R/CS/311,1999,"-,G,WR",23-Sep-1998,,"Hereward, tr. Beret Gold, drilled at 380 seed with the Massey Ferguson 30 drill.",T,,,
R/CS/311,1999,"-,G,WR",24-Sep-1998,,Rolled.,T,,,
R/CS/311,1999,"-,G,WR",26-Sep-1998,,Hardy at 7.5 kg.,T,,,
R/CS/311,1999,RAS,18-Nov-1998,,Roundup at 3.0 1 in 200 1.,,,,
R/CS/311,1999,"-,G,WR",18-Nov-1998,,Avadex BW Granular at 22.5 kg.,T,,,
R/CS/311,1999,"-,G,WR",01-Dec-1998,,Amazon at 1.0 1 in 200 1.,,,,
R/CS/311,1999,"-,G,WR",01-Dec-1998,,Isogard at 2.0 1 in 200 1.,,,,
R/CS/311,1999,"-,G,WR",01-Dec-1998,,Stefes Cypermethrin 2 at 250 ml in 200 l,,,,
R/CS/311,1999,"-,G,WR",01-Dec-1998,,Cropoil at 1.0 1 in 200 2.,T,,,
