Experiment,year,site,new_start_date,new_end_date,operation,operation_type,intensity,flag,old_operations,amount,unit,water volume,water volume unit,plot,tank_mixture,crop,variety,machine,dressing
CS326,2006,R/CS/326,24/04/2006,,Double Top,agronomic fertilization process,,2,Double top at 435 kg (140 kg N).,140,kgN/ha,435,kg/ha,,,,,,
CS326,2007,R/CS/326,16/03/2007,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,40,kgN/ha,148,kg/ha,,,,,,
CS326,2007,R/CS/326,26/04/2007,,Nitraprill,agronomic fertilization process,,2,Nitraprill,150,kgN/ha,435,kg/ha,,,,,,
CS326,2008,R/CS/326,18/03/2008,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,40,kgN/ha,148,kg/ha,,,,,,
CS326,2008,R/CS/326,18/04/2008,,Nitraprill,agronomic fertilization process,,2,Nitraprill,159,kgN/ha,460,kg/ha,,,,,,
CS326,2008,R/CS/326,05/05/2008,,Manganese Sulphate 32% Premium,agronomic fertilization process,,2,Manganese Sulphate 32% Premium 5.00,5,kg/ha,,,,,,,,
CS326,2009,R/CS/326,03/03/2009,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,50,kgN/ha,185,kg/ha,,,,,,
CS326,2009,R/CS/326,21/04/2009,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,60,kgN/ha,174,kg/ha,,,,,,
CS326,2010,R/CS/326,12/03/2010,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,50,kgN/ha,185,kg/ha,,,,,,
CS326,2010,R/CS/326,15/04/2010,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,80,kgN/ha,232,kg/ha,,,,,,
CS326,2010,R/CS/326,18/05/2010,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,60,kgN/ha,174,kg/ha,,,,,,
CS326,2011,R/CS/326,13/09/2010,,Lime - Applied by contractors,liming process,,2,Lime - Applied by contractors,4,t/ha,,,,,,,,
CS326,2011,R/CS/326,09/03/2011,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer,36,kgN/ha,133,kg/ha,,,,,,
CS326,2011,R/CS/326,08/04/2011,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram fertiliser,90,kgN/ha,262,kg/ha,,,,,,
CS326,2011,R/CS/326,10/05/2011,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram,90,kgN/ha,261,kg/ha,,,,,,
CS326,2012,R/CS/326,12/04/2012,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram fertiliser,90,kgN/ha,262,kg/ha,,,,,,
CS326,2012,R/CS/326,17/05/2012,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram,90,kgN/ha,262,kg/ha,,,,,,
CS326,2012,R/CS/326,13/10/2012,,Spread MOP onto Stubble,agronomic fertilization process,,2,Spread MOP onto Stubble,227,kg/ha,,,,,,,,
CS326,2013,R/CS/326,13/10/2012,,Spread MOP,agronomic fertilization process,,2,Spread MOP,227,kg/ha,,,,,,,,
CS326,2013,R/CS/326,25/04/2013,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (second N application),90,kgN/ha,261,kg/ha,,,,,,
CS326,2014,R/CS/326,07/03/2014,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer (1st N application),40,kgN/ha,148,kg/ha,,,,,,
CS326,2014,R/CS/326,01/04/2014,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram Fertilizer (2nd N application),90,kgN/ha,261,kg/ha,,,,,,
CS326,2014,R/CS/326,23/04/2014,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (3rd N application),90,kgN/ha,261,kg/ha,,,,,,
CS326,2015,R/CS/326,12/03/2015,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied DoubleTop (27 %N) Fertilizer,40,kgN/ha,148,kg/ha,,,,,,
CS326,2015,R/CS/326,31/03/2015,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5 %N) Fertiliser to Winter Wheat,262,kg/ha,,,,,,,,
CS326,2015,R/CS/326,30/04/2015,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N),26,kg/ha,,,,,,,,
CS326,2016,R/CS/326,08/03/2016,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer (27% N); Applied with Kuhn Aerospreader,40,kgN/ha,148,kg/ha,,,,,Kuhn Aerospreader,
CS326,2016,R/CS/326,01/04/2016,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N),260,kg/ha,,,,,,,,
CS326,2016,R/CS/326,14/04/2016,,muriate of potash,agronomic fertilization process,,2,Applied MOP; Applied to wheat only,250,kg/ha,,,,,,,,
CS326,2016,R/CS/326,14/04/2016,,triple superphosphate,agronomic fertilization process,,2,Applied TSP,298,kg/ha,,,,,,,,
CS326,2016,R/CS/326,25/04/2016,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N),260,kg/ha,,,,,,,,
CS326,2017,R/CS/326,09/03/2017,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,applied Double Top,40,kgN/ha,148,kg/ha,,,,,,
CS326,2017,R/CS/326,04/04/2017,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N) winter wheat only,260,kg/ha,,,,,,,,
CS326,2017,R/CS/326,04/05/2017,,nitram (34.5 % N),agronomic fertilization process,,2,applied Nitram to winter wheat,90,kgN/ha,260,kg/ha,,,,,,
CS326,1987,W/CS/326,31/03/1987,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1987,W/CS/326,16/04/1987,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,207,kgN/ha,600,kg/ha,,,,,,
CS326,1988,W/CS/326,08/03/1988,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,40,kgN/ha,116,kg/ha,,,,,,
CS326,1988,W/CS/326,03/05/1988,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1989,W/CS/326,16/09/1988,,PK (0:18:36),agronomic fertilization process,,2,PK applied,920,kg/ha,,,,,,,,
CS326,1989,W/CS/326,08/03/1989,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1989,W/CS/326,28/04/1989,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,204,kgN/ha,590,kg/ha,,,,,,
CS326,1990,W/CS/326,23/02/1990,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1990,W/CS/326,05/04/1990,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,193,kgN/ha,560,kg/ha,,,,,,
CS326,1991,W/CS/326,23/08/1990,,magnesian limestone,liming process,,2,Magnesian limestone applied,7.5,t/ha,,,,,,,,
CS326,1991,W/CS/326,15/03/1991,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,41,kgN/ha,120,kg/ha,,,,,,
CS326,1991,W/CS/326,17/04/1991,,nitram (34.5 % N),agronomic fertilization process,,2,N applied,200,kgN/ha,580,kg/ha,,,,,,
CS326,1992,W/CS/326,06/01/1992,,PK (0:16:36),agronomic fertilization process,,2,PK as (0:16:36) at 740 kg,740,kg/ha,,,,,,,,
CS326,1992,W/CS/326,16/01/1992,,PK (0:16:36),agronomic fertilization process,,2,PK as (0:16:36) at 300 kg,300,kg/ha,,,,,,,,
CS326,1992,W/CS/326,21/02/1992,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 220 kg,220,kg/ha,,,,,,,,
CS326,1992,W/CS/326,31/03/1992,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 290 kg,290,kg/ha,,,,,,,,
CS326,1993,W/CS/326,16/03/1993,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 120 kg,120,kg/ha,,,,,,,,
CS326,1993,W/CS/326,30/04/1993,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 460 kg,460,kg/ha,,,,,,,,
CS326,1994,W/CS/326,14/03/1994,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 116 kg,116,kg/ha,,,,,,,,
CS326,1994,W/CS/326,04/05/1994,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 348 kg,348,kg/ha,,,,,,,,
CS326,1995,W/CS/326,08/09/1994,,PK (0:20:32),agronomic fertilization process,,2,PK as (0:20:32) at 781 kg,781,kg/ha,,,,,,,,
CS326,1995,W/CS/326,15/03/1995,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 116 kg,116,kg/ha,,,,,,,,
CS326,1995,W/CS/326,28/04/1995,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 464 kg,464,kg/ha,,,,,,,,
CS326,1996,W/CS/326,08/03/1996,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 116 kg,116,kg/ha,,,,,,,,
CS326,1996,W/CS/326,25/04/1996,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 348 kg,348,kg/ha,,,,,,,,
CS326,1998,W/CS/326,11/02/1998,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 145 kg,145,kg/ha,,,,,,,,
CS326,1998,W/CS/326,19/03/1998,,Mn As Phosyn Manganese,agronomic fertilization process,,2,Mn and Cu as Phosyn Manganese at 2.0 l with Profol Copper at 0.25 l in 200 l,2,l/ha,200,l/ha,,1,,,,
CS326,1998,W/CS/326,19/03/1998,,Cu Profol Copper,agronomic fertilization process,,2,Mn and Cu as Phosyn Manganese at 2.0 l with Profol Copper at 0.25 l in 200 l,0.25,l/ha,200,l/ha,,1,,,,
CS326,1998,W/CS/326,30/03/1998,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 377 kg,377,kg/ha,,,,,,,,
CS326,1999,W/CS/326,18/02/1999,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 145 kg,145,kg/ha,,,,,,,,
CS326,1999,W/CS/326,02/04/1999,,nitram (34.5 % N),agronomic fertilization process,,2,34.5% N at 377 kg,377,kg/ha,,,,,,,,
CS326,2000,W/CS/326,27/04/2000,,"Sulphan (30.0% N, 7.6%)",agronomic fertilization process,,2,"Sulphan (30.0% N, 7.6%) at 333 kg",100,kgN/ha,333,kg/ha,,,,,,
CS326,2001,W/CS/326,01/09/2000,,muriate of potash,agronomic fertilization process,,2,Muriate of potash at 200 kg,200,kg/ha,100,l/ha,,,,,,
CS326,2001,W/CS/326,30/03/2001,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30.0% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2001,W/CS/326,30/03/2001,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30.0% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2001,W/CS/326,30/04/2001,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30.0% N, 7.6% S at 333 kg",99,kgN/ha,333,kg/ha,,,,,,
CS326,2001,W/CS/326,30/04/2001,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30.0% N, 7.6% S at 333 kg",99,kgN/ha,333,kg/ha,,,,,,
CS326,2002,W/CS/326,03/08/2001,,muriate of potash,agronomic fertilization process,,2,Muriate of potash at 250 kg,250,kg/ha,100,l/ha,,,,,,
CS326,2002,W/CS/326,12/03/2002,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2002,W/CS/326,12/03/2002,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2002,W/CS/326,07/05/2002,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 333 kg",99,kgN/ha,333,kg/ha,,,,,,
CS326,2002,W/CS/326,07/05/2002,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 333 kg",99,kgN/ha,333,kg/ha,,,,,,
CS326,2003,W/CS/326,16/09/2002,,muriate of potash,agronomic fertilization process,,2,Muriate of potash at 250 kg,250,kg/ha,200,l/ha,,,,,,
CS326,2003,W/CS/326,24/03/2003,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2003,W/CS/326,02/05/2003,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 333 kg",99,kgN/ha,333,kg/ha,,,,,,
CS326,2004,W/CS/326,29/09/2003,,muriate of potash,agronomic fertilization process,,2,Muriate of potash at 250 kg,250,kg/ha,200,l/ha,,,,,,
CS326,2004,W/CS/326,12/03/2004,,Cutonic Copper Ultra,agronomic fertilization process,,2,Cutonic copper Ultra at 0.25 l in 200 l,0.25,l/ha,200,l/ha,,1,,,,
CS326,2004,W/CS/326,18/03/2004,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2004,W/CS/326,03/05/2004,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 467 kg",140,kgN/ha,467,kg/ha,,,,,,
CS326,2005,W/CS/326,09/04/2005,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 167 kg",50,kgN/ha,167,kg/ha,,,,,,
CS326,2005,W/CS/326,14/05/2005,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"Sulphur Gold 30% N, 7.6% S at 467 kg",140,kgN/ha,467,kg/ha,,,,,,
CS326,2006,W/CS/326,17/03/2006,,Sulphur Gold (30 % N; 7.6 % S),agronomic fertilization process,,2,"N Sulphur 30% N, 7.6% S at 185 kg",55,kgN/ha,185,kg/ha,,,,,,
CS326,2006,W/CS/326,25/04/2006,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,"Double top 27% N, 12 S at 481 kg",130,kgN/ha,481,kg/ha,,,,,,
CS326,2007,W/CS/326,30/09/2006,,muriate of potash,agronomic fertilization process,,2,Muriate of Potash,200,kg/ha,,,,,,,,
CS326,2007,W/CS/326,01/10/2006,,triple superphosphate,agronomic fertilization process,,2,Triple Superphosphate,300,kg/ha,,,,,,,,
CS326,2007,W/CS/326,15/03/2007,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top 148.00 kg/ha,40,kgN/ha,148,kg/ha,,,,,,
CS326,2007,W/CS/326,02/05/2007,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,140,kgN/ha,518,kg/ha,,,,,,
CS326,2007,W/CS/326,20/05/2007,,Sedema Manganese Sulphate 5.00,agronomic fertilization process,,2,Sedema Manganese Sulphate 5.00,5,l/ha,200,l/ha,,,,,,
CS326,2008,W/CS/326,05/03/2008,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,36,kgN/ha,133,kg/ha,,,,,,
CS326,2008,W/CS/326,10/05/2008,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,144,kgN/ha,533,kg/ha,,,,,,
CS326,2008,W/CS/326,05/06/2008,,Manganese Sulphate,agronomic fertilization process,,2,Manganese Sulphate,5,kg/ha,200,l/ha,,,,,,
CS326,2009,W/CS/326,11/03/2009,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,50,kgN/ha,185,kg/ha,,,,,,
CS326,2009,W/CS/326,29/04/2009,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,50,kgN/ha,145,kg/ha,,,,,,
CS326,2009,W/CS/326,10/05/2009,,Headland Manganese 500,agronomic fertilization process,,2,"Headland Manganese 500 1,00 L in",1,l/ha,200,l/ha,,,,,,
CS326,2009,W/CS/326,05/06/2009,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,40,kgN/ha,116,kg/ha,,,,,,
CS326,2010,W/CS/326,18/03/2010,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Double Top,50,kgN/ha,185,kg/ha,,,,,,
CS326,2010,W/CS/326,15/04/2010,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram - Winter wheat,80,kgN/ha,232,kg/ha,,,,,,
CS326,2010,W/CS/326,17/05/2010,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram 34.5%,115,kg/ha,,,,,,,,
CS326,2011,W/CS/326,03/03/2011,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Broadcast Double Top,50,kgN/ha,185,kg/ha,,,,,broadcast,
CS326,2011,W/CS/326,28/03/2011,,Manganese,agronomic fertilization process,,2,Sprayed wheat with Manganese,1.5,l/ha,200,l/ha,,1,,l/ha,Sprayed,
CS326,2011,W/CS/326,18/04/2011,,nitram (34.5 % N),agronomic fertilization process,,2,Broadcast Nitram 34.5% N,262,kg/ha,,,,,,,Broadcast,
CS326,2011,W/CS/326,16/05/2011,,nitram (34.5 % N),agronomic fertilization process,,2,Broadcast Nitram 34.5% N,116,kg/ha,,,,,,,Broadcast,
CS326,2012,W/CS/326,28/03/2012,,Double Top,agronomic fertilization process,,2,Double Top applied @ 148 kg/ha= 40 kg/ha N,40,kgN/ha,148,kg/ha,,,,,,
CS326,2012,W/CS/326,10/05/2012,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram,70,kgN/ha,203,kg/ha,,,,,,
CS326,2012,W/CS/326,13/05/2012,,Spray Mn,agronomic fertilization process,,2,Spray Mn,2,l/ha,200,l/ha,,,,,,
CS326,2012,W/CS/326,24/05/2012,,nitram (34.5 % N),agronomic fertilization process,,2,Nitram applied as per plan,70,kgN/ha,203,kg/ha,,,,,,
CS326,2013,W/CS/326,19/04/2013,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer,40,kgN/ha,148,kg/ha,,,,,,
CS326,2013,W/CS/326,09/05/13.,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram,70,kgN/ha,203,kg/ha,,,,,,
CS326,2013,W/CS/326,31/05/2013,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram,70,kgN/ha,203,kg/ha,,,,,,
CS326,2014,W/CS/326,28/03/2014,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer (1st N application),40,kgN/ha,148,kg/ha,,,,,,
CS326,2014,W/CS/326,16/04/2014,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (2nd N application),70,kgN/ha,203,kg/ha,,,,,,
CS326,2014,W/CS/326,07/05/2014,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (3rd N application),70,kgN/ha,203,kg/ha,,,,,,
CS326,2015,W/CS/326,26/03/2015,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer (27% N),40,kgN/ha,148,kg/ha,,,,,,
CS326,2015,W/CS/326,14/04/2015,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N),203,kg/ha,,,,,,,,
CS326,2015,W/CS/326,01/05/2015,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N),203,kg/ha,,,,,,,,
CS326,2016,W/CS/326,26/02/2016,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,Applied Double Top Fertilizer,40,kgN/ha,148,kg/ha,,,,,,
CS326,2016,W/CS/326,04/04/2016,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N) Fertiliser,203,kg/ha,,,,,,,,
CS326,2016,W/CS/326,29/04/2016,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N) Fertiliser,203,kg/ha,,,,,,,,
CS326,2017,W/CS/326,08/03/2017,,Double Top (27 % N; 30 % SO3),agronomic fertilization process,,2,applied Double Top Fertiliser,40,kgN/ha,148,kg/ha,,,,,,
CS326,2017,W/CS/326,10/04/2017,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N) Fertiliser,203,kg/ha,,,,,,,,
CS326,2017,W/CS/326,25/04/2017,,nitram (34.5 % N),agronomic fertilization process,,2,Applied Nitram (34.5% N) Fertiliser,203,kg/ha,,,,,,,,
